"Fishery","Likelihood","Divisor","Record cap","Epsilon scale","Flag161","Fishery name"
3,"square_fita",51,1000,1,0,"LL.DWFN.1c"
4,"square_fita",164,1000,1,0,"LL.DWFN.1d"
6,"square_fita",89,1000,1,0,"LL.PICT.1cd"
7,"square_fita",29,1000,1,0,"LL.AZ.1abcd"
8,"square_fita",372,1000,1,0,"LL.DWFN.1ef"
9,"square_fita",212,1000,1,0,"LL.PICT.1ef"
10,"square_fita",125,1000,1,0,"LL.AZ.1ef"
11,"square_fita",27,1000,1,0,"TR.ALL.1e"
12,"square_fita",37,1000,1,0,"TR.ALL.1f"
13,"square_fita",358,1000,1,0,"DN.ALL.1ef"
14,"square_fita",123,1000,1,0,"LL.EPO.2a"
15,"square_fita",241,1000,1,0,"LL.EPO.2b"
16,"square_fita",450,1000,1,0,"LL.EPO.2c"
17,"square_fita",1,1000,1,0,"TR.EPO.2abc"
18,"square_fita",746,1000,1,0,"LL.INDEX.1abcd.1954-2022"
19,"square_fita",55,1000,1,0,"TR.INDEX.1ef.NZ-troll"
20,"square_fita",61,1000,1,0,"LL.INDEX.2abc.1954-2022"
