"axis","series","bin_unit","bin","variance","predicted","observed","fitted_predicted","lower","upper","unit","n_samples","probability","effective_sample_size","effective_size_type","effective_size_definition","uncertainty","scope","region","group"
"length","F10_R1","cm",31,,0,0.391343267469579,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",33,,0,0.0602587690664134,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",35,,0,0,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",37,,0,2.07221434197189,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",39,,0,1.98822439605912,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",41,,2.59580224648563e-08,5.2269833175792,2.59580224648563e-08,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",43,,2.75704567291363e-07,4.30801480226102,2.75704567291363e-07,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",45,,1.20456659137951e-06,1.68632604820766,1.20456659137951e-06,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",47,,2.3541595161442e-06,4.92801033908876,2.3541595161442e-06,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",49,,2.97321501491259e-06,9.09016693754964,2.97321501491259e-06,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",51,,2.07610414142013,26.598308976606,2.07610414142013,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",53,240519.872139876,10.3184025372958,63.2789817935778,10.3184025372958,0,971.540117015257,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",55,271254.393283321,36.4350751349285,97.1520236009864,36.4350751349285,0,1057.22525030818,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",57,300865.507879536,93.4343228190932,160.289016299652,93.4343228190932,0,1168.49825537681,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",59,332777.026294213,201.377231994858,271.104941710892,201.377231994858,0,1332.01830810268,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",61,402407.929877566,400.905332844043,494.654513625528,400.905332844043,0,1644.22085665344,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",63,484451.175665439,700.770726315955,809.789708264894,700.770726315955,0,2064.95518670085,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",65,705229.537539026,1065.1841912318,1508.53338410223,1065.1841912318,0,2711.12168323851,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",67,701471.874779236,1489.47915316346,1678.95974448238,1489.47915316346,0,3131.02577779511,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",69,707038.688651999,2013.21686435593,1910.76758967561,2013.21686435593,365.169532786162,3661.26419592569,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",71,762556.338444361,2570.0678081117,2527.55877907376,2570.0678081117,858.53961009879,4281.5960061246,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",73,869150.052940173,3005.54042195054,3378.34219413801,3005.54042195054,1178.30093644958,4832.77990745149,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",75,941537.406225305,3172.86576439696,3704.16383846194,3172.86576439696,1271.05684282842,5074.67468596549,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",77,933149.440026302,3133.56958749558,3736.46588713048,3133.56958749558,1240.25103336508,5026.88814162609,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F10_R1","cm",79,867245.15273437,3026.26480970429,3570.75190806718,3026.26480970429,1201.02878615126,4851.50083325732,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
