"fishery","likelihood","divisor","record_cap","epsilon_scale","flag161"
3,"square_fita",51,1000,1,0
4,"square_fita",164,1000,1,0
6,"square_fita",89,1000,1,0
7,"square_fita",29,1000,1,0
8,"square_fita",372,1000,1,0
9,"square_fita",212,1000,1,0
10,"square_fita",125,1000,1,0
11,"square_fita",27,1000,1,0
12,"square_fita",37,1000,1,0
13,"square_fita",358,1000,1,0
14,"square_fita",123,1000,1,0
15,"square_fita",241,1000,1,0
16,"square_fita",450,1000,1,0
17,"square_fita",1,1000,1,0
18,"square_fita",746,1000,1,0
19,"square_fita",55,1000,1,0
20,"square_fita",61,1000,1,0
