"record","period","region","fishery","group","likelihood","raw_sample_size","standardized_sample_size","input_sample_size","effective_sample_size","effective_fraction"
594,57,1,3,3,"square_fita",127.399019585812,2.49801999187866,2.49801999187866,,
595,58,1,3,3,"square_fita",682.260527918206,13.3776574101609,13.3776574101609,,
596,60,1,3,3,"square_fita",1864.55521196866,19.6078431372549,19.6078431372549,,
597,61,1,3,3,"square_fita",329.280002871195,6.45647064453324,6.45647064453324,,
598,62,1,3,3,"square_fita",597.540001515408,11.7164706179492,11.7164706179492,,
599,63,1,3,3,"square_fita",1817.39197787377,19.6078431372549,19.6078431372549,,
600,65,1,3,3,"square_fita",2087.29244368581,19.6078431372549,19.6078431372549,,
601,66,1,3,3,"square_fita",236.77333389585,4.64261439011471,4.64261439011471,,
602,67,1,3,3,"square_fita",443.488408187806,8.69585114093738,8.69585114093738,,
603,68,1,3,3,"square_fita",1540.30199196981,19.6078431372549,19.6078431372549,,
604,70,1,3,3,"square_fita",1475.62223501106,19.6078431372549,19.6078431372549,,
605,71,1,3,3,"square_fita",269.688804648363,5.28801577741887,5.28801577741887,,
607,73,1,3,3,"square_fita",830.31811559488,16.2807473646055,16.2807473646055,,
611,78,1,3,3,"square_fita",507.826097212818,9.95737445515329,9.95737445515329,,
612,80,1,3,3,"square_fita",187.271580910163,3.67199178255222,3.67199178255222,,
613,81,1,3,3,"square_fita",137.074723032051,2.68773966729512,2.68773966729512,,
614,82,1,3,3,"square_fita",121.43872985362,2.38115156575725,2.38115156575725,,
615,83,1,3,3,"square_fita",273.258539474971,5.35801057794061,5.35801057794061,,
616,85,1,3,3,"square_fita",660.905487963732,12.9589311365438,12.9589311365438,,
619,88,1,3,3,"square_fita",114.212346826878,2.23945778091918,2.23945778091918,,
620,90,1,3,3,"square_fita",638.211416228453,12.5139493378128,12.5139493378128,,
621,91,1,3,3,"square_fita",113.637918606336,2.22819448247718,2.22819448247718,,
622,92,1,3,3,"square_fita",291.465371762348,5.7150072894578,5.7150072894578,,
623,93,1,3,3,"square_fita",460.981425686957,9.03885148405799,9.03885148405799,,
624,95,1,3,3,"square_fita",326.696955442747,6.40582265574013,6.40582265574013,,
625,96,1,3,3,"square_fita",77.4206847691782,1.5180526425329,1.5180526425329,,
626,97,1,3,3,"square_fita",276.604410815184,5.42361589833694,5.42361589833694,,
627,98,1,3,3,"square_fita",663.500877015585,13.0098211179526,13.0098211179526,,
628,100,1,3,3,"square_fita",832.993374450948,16.3332034206068,16.3332034206068,,
629,101,1,3,3,"square_fita",282.310241326211,5.53549492796493,5.53549492796493,,
630,102,1,3,3,"square_fita",225.99770364538,4.43132752245842,4.43132752245842,,
