"metric","x","value","group","x_unit","unit","definition","display_name","fishery","fishery_name","group_label"
"maturity",1,0.000578111311353546,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",2,0.000578073038798088,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",3,0.0048644853396056,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",4,0.257206668803637,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",5,0.738878372083691,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",6,0.954760122329888,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",7,0.99949998416818,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",8,0.990174777359729,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",9,0.968486619323625,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",10,0.947986919753718,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",11,0.931674667803792,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"maturity",12,0.919471043628136,"all","model age class","relative","Model reproductive coefficient at age","Reproductive coefficient",,,"all"
"natural_mortality",1,0.67377355619087,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",2,0.537720990521196,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",3,0.452567267674763,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",4,0.392393308751968,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",5,0.346436580055244,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",6,0.331516117359363,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",7,0.321887435616761,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",8,0.31552246030897,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",9,0.311247784090315,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",10,0.308346328115821,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",11,0.30636274715619,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",12,0.305000000114291,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"growth",1,45.53826,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",2,57.0602151000371,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",3,67.7964969508011,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",4,78.1931666483611,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",5,88.5659227384467,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",6,92.5519869964111,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",7,95.320512663548,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",8,97.2433954555856,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",9,98.5789359838184,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
