"fishery","region","role","first_year","last_year","unit"
1,1,"Catch",1954,2022,"fish"
2,1,"Catch",1954,2022,"fish"
3,1,"Catch",1954,2022,"fish"
4,1,"Catch",1954,2022,"fish"
5,1,"Catch",1992,2022,"fish"
6,1,"Catch",1982,2022,"fish"
7,1,"Catch",1987,2022,"fish"
8,1,"Catch",1954,2022,"fish"
9,1,"Catch",1984,2022,"fish"
10,1,"Catch",1985,2022,"fish"
11,1,"Catch",1982,2022,"t"
12,1,"Catch",1987,2022,"t"
13,1,"Catch",1983,1990,"t"
14,2,"Catch",1957,2022,"fish"
15,2,"Catch",1961,2021,"fish"
16,2,"Catch",1963,2021,"fish"
17,2,"Catch",1986,2006,"t"
18,1,"Index",1954,2022,"relative index"
19,1,"Index",1992,2022,"relative index"
20,2,"Index",1954,2022,"relative index"
