"parameter","position","value","scale"
"selectivity_coff",1,-999.797602074523,"optimizer"
"selectivity_coff",2,247.026273412972,"optimizer"
"selectivity_coff",3,375.677623807898,"optimizer"
"selectivity_coff",4,54.0465653992382,"optimizer"
"selectivity_coff",5,306.725285306688,"optimizer"
"selectivity_coff",6,363.37254111476,"optimizer"
"selectivity_coff",7,73.0102338082596,"optimizer"
"selectivity_coff",8,361.542771967175,"optimizer"
"selectivity_coff",9,311.214496016108,"optimizer"
"selectivity_coff",10,109.698805832312,"optimizer"
"selectivity_coff",11,372.140623102417,"optimizer"
"selectivity_coff",12,271.441326878882,"optimizer"
"selectivity_coff",13,-999.695999954311,"optimizer"
"selectivity_coff",14,51.0007431611695,"optimizer"
"selectivity_coff",15,380.514246193297,"optimizer"
"selectivity_coff",16,-999.652529515024,"optimizer"
"selectivity_coff",17,179.018400036395,"optimizer"
"selectivity_coff",18,379.374822841649,"optimizer"
"selectivity_coff",19,-999.73617470081,"optimizer"
"selectivity_coff",20,281.776769340168,"optimizer"
"selectivity_coff",21,370.529759166691,"optimizer"
"selectivity_coff",22,-999.777842418058,"optimizer"
"selectivity_coff",23,245.501914432113,"optimizer"
"selectivity_coff",24,375.828532958007,"optimizer"
"selectivity_coff",25,158.425149488244,"optimizer"
"selectivity_coff",26,290.359879243943,"optimizer"
"selectivity_coff",27,367.564550691072,"optimizer"
"selectivity_coff",28,111.62882687059,"optimizer"
"selectivity_coff",29,333.446923909129,"optimizer"
"selectivity_coff",30,348.640143810048,"optimizer"
"selectivity_coff",31,166.254767717105,"optimizer"
"selectivity_coff",32,360.134780199021,"optimizer"
"selectivity_coff",33,311.913743548843,"optimizer"
"selectivity_coff",34,194.03009403628,"optimizer"
"selectivity_coff",35,342.588257427579,"optimizer"
"selectivity_coff",36,337.769901508693,"optimizer"
"selectivity_coff",37,126.210989780416,"optimizer"
"selectivity_coff",38,199.595312282112,"optimizer"
"selectivity_coff",39,378.308665420099,"optimizer"
"selectivity_coff",40,143.186633629802,"optimizer"
"selectivity_coff",41,108.715384851316,"optimizer"
"selectivity_coff",42,379.727825482653,"optimizer"
"selectivity_coff",43,159.949661186731,"optimizer"
"selectivity_coff",44,248.36662969112,"optimizer"
"selectivity_coff",45,374.641761298477,"optimizer"
"selectivity_coff",46,221.537172543285,"optimizer"
"selectivity_coff",47,294.059041471484,"optimizer"
"selectivity_coff",48,363.908593613179,"optimizer"
"selectivity_coff",49,184.327248592048,"optimizer"
"selectivity_coff",50,300.359865520337,"optimizer"
"selectivity_coff",51,334.427654093717,"optimizer"
"selectivity_coff",52,355.591727186274,"optimizer"
"selectivity_coff",53,-127.591352490074,"optimizer"
"selectivity_coff",54,160.113350479114,"optimizer"
"selectivity_coff",55,357.735182304833,"optimizer"
"selectivity_coff",56,356.523140904055,"optimizer"
"selectivity_coff",57,211.335607130092,"optimizer"
"selectivity_coff",58,314.161658179891,"optimizer"
"selectivity_coff",59,339.661289463654,"optimizer"
"selectivity_coff",60,343.118567473837,"optimizer"
"selectivity_coff",61,253.679338630174,"optimizer"
"selectivity_coff",62,374.890455979109,"optimizer"
"selectivity_coff",63,36.7290672203175,"optimizer"
"selectivity_coff",64,208.081168622402,"optimizer"
"selectivity_coff",65,376.848063261398,"optimizer"
"selectivity_coff",66,188.052128289176,"optimizer"
"selectivity_coff",67,311.046587633211,"optimizer"
"selectivity_coff",68,361.476615872431,"optimizer"
"selectivity_coff",69,99.3306773611506,"optimizer"
"selectivity_coff",70,-999.571953431128,"optimizer"
"selectivity_coff",71,276.113741245203,"optimizer"
"selectivity_coff",72,371.647818153494,"optimizer"
"selectivity_coff",73,184.812334507076,"optimizer"
"selectivity_coff",74,365.924914147054,"optimizer"
"selectivity_coff",75,293.781048686628,"optimizer"
"selectivity_coff",76,124.765977751202,"optimizer"
"selectivity_coff",77,376.450038701735,"optimizer"
"selectivity_coff",78,233.396925555956,"optimizer"
"selectivity_coff",79,163.730892368304,"optimizer"
"selectivity_coff",80,371.22681548575,"optimizer"
"selectivity_coff",81,272.731025970435,"optimizer"
"selectivity_coff",82,101.49116836198,"optimizer"
"selectivity_coff",83,206.122234451452,"optimizer"
"selectivity_coff",84,378.211286951753,"optimizer"
"selectivity_coff",85,248.252414124809,"optimizer"
"selectivity_coff",86,375.534985151011,"optimizer"
"selectivity_coff",87,-29.0915544666221,"optimizer"
"selectivity_coff",88,320.048193306216,"optimizer"
"selectivity_coff",89,319.823568558505,"optimizer"
"selectivity_coff",90,319.53387471943,"optimizer"
"recruit_dev",91,27.9846319330939,"optimizer"
"recruit_dev",92,27.107316884035,"optimizer"
"recruit_dev",93,11.6053918391511,"optimizer"
"recruit_dev",94,18.9304585201905,"optimizer"
"recruit_dev",95,-11.0829221967237,"optimizer"
"recruit_dev",96,-28.8620605869633,"optimizer"
"recruit_dev",97,4.75025006022597,"optimizer"
"recruit_dev",98,16.560929829637,"optimizer"
"recruit_dev",99,24.6739407987877,"optimizer"
"recruit_dev",100,-6.05356721656401,"optimizer"
"recruit_dev",101,-45.8115882016152,"optimizer"
"recruit_dev",102,0.414831740908549,"optimizer"
"recruit_dev",103,-7.72058925362954,"optimizer"
"recruit_dev",104,-4.86137539629555,"optimizer"
"recruit_dev",105,-10.2635673614362,"optimizer"
"recruit_dev",106,-17.987993447798,"optimizer"
"recruit_dev",107,-16.0993141739629,"optimizer"
"recruit_dev",108,-15.3304921313296,"optimizer"
"recruit_dev",109,2.40807897855703,"optimizer"
"recruit_dev",110,18.3460115514966,"optimizer"
"recruit_dev",111,-4.4963180387305,"optimizer"
"recruit_dev",112,-24.0952759750824,"optimizer"
"recruit_dev",113,-24.484086004447,"optimizer"
"recruit_dev",114,-18.6140958263071,"optimizer"
"recruit_dev",115,-9.63222984192289,"optimizer"
"recruit_dev",116,1.80227554310992,"optimizer"
"recruit_dev",117,-4.36271114084555,"optimizer"
"recruit_dev",118,-10.8010849663246,"optimizer"
"recruit_dev",119,-7.33099116437337,"optimizer"
"recruit_dev",120,-1.17281753475849,"optimizer"
"recruit_dev",121,-24.1235990285458,"optimizer"
"recruit_dev",122,-7.72023691409124,"optimizer"
"recruit_dev",123,-3.09148498100586,"optimizer"
"recruit_dev",124,2.30487345714988,"optimizer"
"recruit_dev",125,6.95067854590013,"optimizer"
"recruit_dev",126,-15.4333011273375,"optimizer"
"recruit_dev",127,7.48927577160714,"optimizer"
"recruit_dev",128,-3.48099531555066,"optimizer"
"recruit_dev",129,-0.178858954997636,"optimizer"
"recruit_dev",130,6.64688583685632,"optimizer"
"recruit_dev",131,10.3714637842149,"optimizer"
"recruit_dev",132,-6.53924851514918,"optimizer"
"recruit_dev",133,-4.89715155622603,"optimizer"
"recruit_dev",134,-19.5462964038211,"optimizer"
"recruit_dev",135,19.2011038200932,"optimizer"
"recruit_dev",136,-24.5723517098294,"optimizer"
"recruit_dev",137,12.0144023119052,"optimizer"
"recruit_dev",138,16.5708634489148,"optimizer"
"recruit_dev",139,13.4895975489282,"optimizer"
"recruit_dev",140,-6.16542915303345,"optimizer"
"recruit_dev",141,-1.90526763659305,"optimizer"
"recruit_dev",142,9.18939647165178,"optimizer"
"recruit_dev",143,19.8192123523628,"optimizer"
"recruit_dev",144,2.35848753120883,"optimizer"
"recruit_dev",145,10.2561469105294,"optimizer"
"recruit_dev",146,16.5043985235173,"optimizer"
"recruit_dev",147,17.43008980191,"optimizer"
"recruit_dev",148,3.01275419629162,"optimizer"
"recruit_dev",149,3.11846439707058,"optimizer"
"recruit_dev",150,11.8102526517415,"optimizer"
"recruit_dev",151,9.05343085131728,"optimizer"
"recruit_dev",152,-5.41107834586603,"optimizer"
"recruit_dev",153,-11.1312861448676,"optimizer"
"recruit_dev",154,20.1701198352445,"optimizer"
"recruit_dev",155,13.2795351703808,"optimizer"
"recruit_dev",156,11.0078631559641,"optimizer"
"recruit_dev",157,6.57016244467743,"optimizer"
"log_mean_recruitment",158,11.1453570837873,"optimizer"
"sv21",159,-993.571584233544,"optimizer"
"age_pars3",160,-71.5391971167974,"optimizer"
"age_pars3",161,-86.4306503521292,"optimizer"
"age_pars3",162,-59.0829524999865,"optimizer"
"vb_coff",163,-934.662647631072,"optimizer"
"vb_coff",164,1211.88121963321,"optimizer"
"var_coff",165,-384.45086712447,"optimizer"
