"structure","region","polygon","longitude","latitude","ring"
"2024","Region 1","1",140,0,"1"
"2024","Region 1","1",210,0,"1"
"2024","Region 1","1",210,-5,"1"
"2024","Region 1","1",230,-5,"1"
"2024","Region 1","1",230,-50,"1"
"2024","Region 1","1",140,-50,"1"
"2024","Region 2","2",210,0,"1"
"2024","Region 2","2",290,0,"1"
"2024","Region 2","2",290,-50,"1"
"2024","Region 2","2",230,-50,"1"
"2024","Region 2","2",230,-5,"1"
"2024","Region 2","2",210,-5,"1"
"2021","Region 1","1",140,0,"1"
"2021","Region 1","1",210,0,"1"
"2021","Region 1","1",210,-5,"1"
"2021","Region 1","1",230,-5,"1"
"2021","Region 1","1",230,-10,"1"
"2021","Region 1","1",140,-10,"1"
"2021","Region 2","2",140,-10,"1"
"2021","Region 2","2",230,-10,"1"
"2021","Region 2","2",230,-25,"1"
"2021","Region 2","2",140,-25,"1"
"2021","Region 3","3",140,-25,"1"
"2021","Region 3","3",230,-25,"1"
"2021","Region 3","3",230,-50,"1"
"2021","Region 3","3",140,-50,"1"
"2021","Region 4","4",210,0,"1"
"2021","Region 4","4",290,0,"1"
"2021","Region 4","4",290,-50,"1"
"2021","Region 4","4",230,-50,"1"
"2021","Region 4","4",230,-5,"1"
"2021","Region 4","4",210,-5,"1"
