"Resource","Figures and tables","Viewer or website"
"Workflow demonstration","[PDF report](https://kyuhank.github.io/assessment-workflow-demo/main.pdf)","[HTML report](https://kyuhank.github.io/assessment-workflow-demo/main.html)"
"Diagnostic model","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/diagnostic/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/diagnostic/comparison.html)"
"Uncertainty ensemble","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/ensemble/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/ensemble/comparison.html)"
"Additional output examples","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/formats/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/formats/comparison.html)"
"Hindcasting","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/hindcast/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/hindcast/comparison.html)"
"Jitter analysis","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/jitter/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/jitter/comparison.html)"
"Likelihood profiles","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/profiles/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/profiles/comparison.html)"
"Projection scenarios","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/projection/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/projection/comparison.html)"
"Retrospective analysis","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/retrospective/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/retrospective/comparison.html)"
"Self-test recovery","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/selftest/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/selftest/comparison.html)"
"Sensitivity analysis","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/sensitivity/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/sensitivity/comparison.html)"
"Stepwise development","[Figures and tables](https://kyuhank.github.io/assessment-workflow-demo/artifacts/stepwise/report.html)","[Interactive viewer](https://kyuhank.github.io/assessment-workflow-demo/artifacts/stepwise/comparison.html#overview)"
"Published outputs","[Public repository](https://github.com/kyuhank/assessment-workflow-demo)","[Browse supplementary outputs](https://kyuhank.github.io/assessment-workflow-demo/outputs.html)"
