"time","metric","group","value","unit","definition","initial_state","display_name","model","label"
1954.08333333333,"spawning_biomass","all",1368346.68460641,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1954.33333333333,"spawning_biomass","all",1247699.51338166,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1954.58333333333,"spawning_biomass","all",1135679.88242768,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1954.75,"spawning_biomass","all",1305815.64365251,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1954.83333333333,"spawning_biomass","all",1226655.42178889,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1955.08333333333,"spawning_biomass","all",1190039.5479577,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1955.33333333333,"spawning_biomass","all",1128879.2684099,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1955.58333333333,"spawning_biomass","all",1068753.6191374,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1955.75,"spawning_biomass","all",1282626.13002402,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1955.83333333333,"spawning_biomass","all",1204829.50448904,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1956.08333333333,"spawning_biomass","all",1169997.09862732,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1956.33333333333,"spawning_biomass","all",1110187.24840141,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1956.58333333333,"spawning_biomass","all",1051134.5746671,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1956.75,"spawning_biomass","all",1268269.44528987,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1956.83333333333,"spawning_biomass","all",1191343.7317511,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1957.08333333333,"spawning_biomass","all",1155874.05626754,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1957.33333333333,"spawning_biomass","all",1095425.16028317,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1957.58333333333,"spawning_biomass","all",1036777.57569824,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1957.75,"spawning_biomass","all",1254849.03148886,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1957.83333333333,"spawning_biomass","all",1183944.6333212,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1958.08333333333,"spawning_biomass","all",1128599.58856696,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1958.33333333333,"spawning_biomass","all",1075283.00076471,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1958.58333333333,"spawning_biomass","all",1021836.19838298,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1958.75,"spawning_biomass","all",1237657.79152491,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1958.83333333333,"spawning_biomass","all",1167736.22452288,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1959.08333333333,"spawning_biomass","all",1108446.69942806,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1959.33333333333,"spawning_biomass","all",1054110.40155736,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1959.58333333333,"spawning_biomass","all",1001472.42247533,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1959.75,"spawning_biomass","all",1186108.17731172,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1959.83333333333,"spawning_biomass","all",1119063.25898881,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1960.08333333333,"spawning_biomass","all",1063767.90163256,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1960.33333333333,"spawning_biomass","all",1010935.40777986,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1960.58333333333,"spawning_biomass","all",957837.207524292,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1960.75,"spawning_biomass","all",1094731.57486376,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1960.83333333333,"spawning_biomass","all",1032702.29943586,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1961.08333333333,"spawning_biomass","all",979918.159805785,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1961.33333333333,"spawning_biomass","all",930021.267760797,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1961.58333333333,"spawning_biomass","all",880559.536563478,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1961.75,"spawning_biomass","all",989827.100224997,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1961.83333333333,"spawning_biomass","all",933699.073103343,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1962.08333333333,"spawning_biomass","all",883355.843363473,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1962.33333333333,"spawning_biomass","all",836821.811246662,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1962.58333333333,"spawning_biomass","all",789197.568258327,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1962.75,"spawning_biomass","all",827663.834546754,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1962.83333333333,"spawning_biomass","all",780528.431502138,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1963.08333333333,"spawning_biomass","all",736279.366114223,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1963.33333333333,"spawning_biomass","all",694492.572994667,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1963.58333333333,"spawning_biomass","all",650076.505856818,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1963.75,"spawning_biomass","all",684890.514412558,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1963.83333333333,"spawning_biomass","all",645776.907589305,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1964.08333333333,"spawning_biomass","all",605802.048109315,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1964.33333333333,"spawning_biomass","all",570862.47877392,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1964.58333333333,"spawning_biomass","all",535918.571486161,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1964.75,"spawning_biomass","all",633532.795492429,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1964.83333333333,"spawning_biomass","all",597531.413378804,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1965.08333333333,"spawning_biomass","all",564834.23799049,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1965.33333333333,"spawning_biomass","all",533481.146637434,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1965.58333333333,"spawning_biomass","all",501370.976383142,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1965.75,"spawning_biomass","all",660524.149515105,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1965.83333333333,"spawning_biomass","all",623263.976306483,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1966.08333333333,"spawning_biomass","all",588217.995536232,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1966.33333333333,"spawning_biomass","all",554958.070823464,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1966.58333333333,"spawning_biomass","all",518585.051252768,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1966.75,"spawning_biomass","all",672383.374899483,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1966.83333333333,"spawning_biomass","all",634609.331519747,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1967.08333333333,"spawning_biomass","all",595597.693705197,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
1967.33333333333,"spawning_biomass","all",561057.996165177,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","alb","Diagnostic model"
