"Fishery","Region","Role","First year","Last year","Unit","Fishery name","Gear long","Method","Code","Gear","Flag","Area"
1,1,"Catch",1954,2022,"fish","1.LL.DWFN.1a","LL","L","1.LL.DWFN.1a","LL","DWFN","1"
2,1,"Catch",1954,2022,"fish","2.LL.DWFN.1b","LL","L","2.LL.DWFN.1b","LL","DWFN","1"
3,1,"Catch",1954,2022,"fish","3.LL.DWFN.1c","LL","L","3.LL.DWFN.1c","LL","DWFN","1"
4,1,"Catch",1954,2022,"fish","4.LL.DWFN.1d","LL","L","4.LL.DWFN.1d","LL","DWFN","1"
5,1,"Catch",1992,2022,"fish","5.LL.PICT.1ab","LL","L","5.LL.PICT.1ab","LL","PICT","1"
6,1,"Catch",1982,2022,"fish","6.LL.PICT.1ab","LL","L","6.LL.PICT.1ab","LL","PICT","1"
7,1,"Catch",1987,2022,"fish","7.LL.AZ.1ab","LL","L","7.LL.AZ.1ab","LL","AU/NZ","1"
8,1,"Catch",1954,2022,"fish","8.LL.DWFN.1cd","LL","L","8.LL.DWFN.1cd","LL","DWFN","1"
9,1,"Catch",1984,2022,"fish","9.LL.PICT.1cd","LL","L","9.LL.PICT.1cd","LL","PICT","1"
10,1,"Catch",1985,2022,"fish","10.LL.AZ.1cd","LL","L","10.LL.AZ.1cd","LL","AU/NZ","1"
11,1,"Catch",1982,2022,"t","11.TR.ALL1c","TR","L","11.TR.ALL1c","TR","ALL","1"
12,1,"Catch",1987,2022,"t","12.TR.All.1d","TR","L","12.TR.All.1d","TR","ALL","1"
13,1,"Catch",1983,1990,"t","13.DN.All.1cd","DN","L","13.DN.All.1cd","DN","ALL","1"
14,2,"Catch",1957,2022,"fish","14.LL.EPO.2a","LL","L","14.LL.EPO.2a","LL","ALL","2"
15,2,"Catch",1961,2021,"fish","15.LL.EPO.2b","LL","L","15.LL.EPO.2b","LL","ALL","2"
16,2,"Catch",1963,2021,"fish","16.LL.EPO.2c","LL","L","16.LL.EPO.2c","LL","ALL","2"
17,2,"Catch",1986,2006,"t","17.TR.EPO.2abc","TR","L","17.TR.EPO.2abc","TR","ALL","2"
18,1,"Index",1954,2022,"relative index","18.L.INDEX.1abcd","LL","L","18.L.INDEX.1abcd","LL","INDEX","1"
19,1,"Index",1992,2022,"relative index","19.TR.INDEX.1ef","TR","L","19.TR.INDEX.1ef","TR","INDEX","1"
20,2,"Index",1954,2022,"relative index","20.L.INDEX.2abc","LL","L","20.L.INDEX.2abc","LL","INDEX","2"
