"Kind","Series","First","Last","N"
"catch","F1_R1",1954,2022,274
"catch","F10_R1",1985,2022,147
"conditional_age","F10_R1",2010,2010,17
"length","F10_R1",1989,2016,74
"catch","F11_R1",1982,2022,344
"conditional_age","F11_R1",2006,2010,63
"length","F11_R1",1996,2022,143
"catch","F12_R1",1987,2022,161
"length","F12_R1",1987,1998,27
"catch","F13_R1",1983,1990,17
"length","F13_R1",1988,1989,2
"catch","F14_R2",1957,2022,262
"length","F14_R2",1966,2022,119
"catch","F15_R2",1961,2021,229
"length","F15_R2",1968,2021,65
"catch","F16_R2",1963,2021,195
"length","F16_R2",1968,2021,17
"catch","F17_R2",1986,2006,22
"length","F17_R2",1992,1992,1
"length","F18_R1",1965,2022,57
"index","F18_R1_G18",1954,2022,69
"length","F19_R1",1997,2022,25
"index","F19_R1_G19",1992,2022,31
"catch","F2_R1",1954,2022,274
"length","F20_R2",1966,2018,39
"index","F20_R2_G20",1954,2022,69
"catch","F3_R1",1954,2022,275
"conditional_age","F3_R1",2009,2009,4
"length","F3_R1",1965,2022,178
"catch","F4_R1",1954,2022,274
"length","F4_R1",1965,2022,145
"catch","F5_R1",1992,2022,121
"catch","F6_R1",1982,2022,161
"conditional_age","F6_R1",2009,2010,81
"length","F6_R1",1992,2022,116
"catch","F7_R1",1987,2022,135
"conditional_age","F7_R1",2009,2010,30
"length","F7_R1",1993,2013,25
"catch","F8_R1",1954,2022,271
"conditional_age","F8_R1",2010,2010,15
"length","F8_R1",1965,2022,89
"catch","F9_R1",1984,2022,126
"conditional_age","F9_R1",2007,2013,45
"length","F9_R1",1999,2020,17
