"check","status","value","threshold","detail","model","label"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","reference","Reference"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","reference","Reference"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","reference","Reference"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","member-1","Member 1"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","member-1","Member 1"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","member-1","Member 1"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","member-2","Member 2"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","member-2","Member 2"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","member-2","Member 2"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","member-3","Member 3"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","member-3","Member 3"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","member-3","Member 3"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","member-4","Member 4"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","member-4","Member 4"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","member-4","Member 4"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","member-5","Member 5"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","member-5","Member 5"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","member-5","Member 5"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","member-6","Member 6"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","member-6","Member 6"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","member-6","Member 6"
