"year","value"
1980,41266.6150775946
1981,41063.7609163386
1982,40844.3071217672
1983,40611.6781969465
1984,40369.5042384434
1985,40121.5642898834
1986,39871.727371238
1987,39623.8921040625
1988,39381.9258748105
1989,39149.6044855619
1990,38930.553233894
1991,38728.1903413254
1992,38545.6736131127
1993,38385.8511617553
1994,38251.2169631527
1995,38143.8719389444
1996,38065.4911723308
1997,38017.2977689598
1998,38000.0437707722
1999,38013.998420639
2000,38058.9439609164
2001,38134.1790314806
2002,38238.5296142186
2003,38370.3673531878
2004,38527.6349645656
2005,38707.8783398762
2006,38908.2848415317
2007,39125.7271931016
2008,39356.812279415
2009,39597.9340949884
2010,39845.3300145351
2011,40095.1395074743
2012,40343.4643802195
2013,40586.4296061861
2014,40820.2437942846
2015,41041.2583523109
2016,41246.0244220073
2017,41431.3466973419
2018,41594.3332861908
2019,41732.4408373473
2020,41843.5142286667
2021,41925.8201970272
2022,41978.0743853203
