"time","group","facet","metric","value","unit","definition"
2001,"MSY","all","yield",52800,"t","Illustrative yield"
2002,"MSY","all","yield",51496.363355096,"t","Illustrative yield"
2003,"MSY","all","yield",50224.9136136377,"t","Illustrative yield"
2004,"MSY","all","yield",48984.8560781476,"t","Illustrative yield"
2005,"MSY","all","yield",47775.4156722987,"t","Illustrative yield"
2006,"MSY","all","yield",46595.8364564666,"t","Illustrative yield"
2007,"MSY","all","yield",45445.3811552431,"t","Illustrative yield"
2008,"MSY","all","yield",44323.3306966142,"t","Illustrative yield"
2009,"MSY","all","yield",43228.9837625174,"t","Illustrative yield"
2010,"MSY","all","yield",42161.6563504951,"t","Illustrative yield"
2011,"MSY","all","yield",41120.6813461702,"t","Illustrative yield"
2012,"MSY","all","yield",40105.4081062783,"t","Illustrative yield"
2013,"MSY","all","yield",39115.2020519947,"t","Illustrative yield"
2014,"MSY","all","yield",38149.4442723014,"t","Illustrative yield"
2015,"MSY","all","yield",37207.5311371481,"t","Illustrative yield"
2016,"MSY","all","yield",36288.8739201633,"t","Illustrative yield"
2017,"MSY","all","yield",35392.8984306818,"t","Illustrative yield"
2018,"MSY","all","yield",34519.0446548559,"t","Illustrative yield"
2019,"MSY","all","yield",33666.7664056296,"t","Illustrative yield"
2020,"MSY","all","yield",32835.5309813531,"t","Illustrative yield"
2001,"Catch","all","yield",57600,"t","Illustrative yield"
2002,"Catch","all","yield",56177.850932832,"t","Illustrative yield"
2003,"Catch","all","yield",54790.8148512411,"t","Illustrative yield"
2004,"Catch","all","yield",53438.0248125246,"t","Illustrative yield"
2005,"Catch","all","yield",52118.6352788713,"t","Illustrative yield"
2006,"Catch","all","yield",50831.8215888727,"t","Illustrative yield"
2007,"Catch","all","yield",49576.7794420833,"t","Illustrative yield"
2008,"Catch","all","yield",48352.7243963064,"t","Illustrative yield"
2009,"Catch","all","yield",47158.8913772918,"t","Illustrative yield"
2010,"Catch","all","yield",45994.5342005401,"t","Illustrative yield"
2011,"Catch","all","yield",44858.9251049129,"t","Illustrative yield"
2012,"Catch","all","yield",43751.3542977582,"t","Illustrative yield"
2013,"Catch","all","yield",42671.129511267,"t","Illustrative yield"
2014,"Catch","all","yield",41617.5755697834,"t","Illustrative yield"
2015,"Catch","all","yield",40590.0339677979,"t","Illustrative yield"
2016,"Catch","all","yield",39587.86245836,"t","Illustrative yield"
2017,"Catch","all","yield",38610.4346516528,"t","Illustrative yield"
2018,"Catch","all","yield",37657.1396234792,"t","Illustrative yield"
2019,"Catch","all","yield",36727.3815334141,"t","Illustrative yield"
2020,"Catch","all","yield",35820.5792523851,"t","Illustrative yield"
