"model","axis","value","retained","type"
"M1","Steepness",0.6,TRUE,"continuous"
"M2","Steepness",0.615789473684211,TRUE,"continuous"
"M3","Steepness",0.631578947368421,TRUE,"continuous"
"M4","Steepness",0.647368421052632,TRUE,"continuous"
"M5","Steepness",0.663157894736842,FALSE,"continuous"
"M6","Steepness",0.678947368421053,TRUE,"continuous"
"M7","Steepness",0.694736842105263,TRUE,"continuous"
"M8","Steepness",0.710526315789474,TRUE,"continuous"
"M9","Steepness",0.726315789473684,TRUE,"continuous"
"M10","Steepness",0.742105263157895,FALSE,"continuous"
"M11","Steepness",0.757894736842105,TRUE,"continuous"
"M12","Steepness",0.773684210526316,TRUE,"continuous"
"M13","Steepness",0.789473684210526,TRUE,"continuous"
"M14","Steepness",0.805263157894737,TRUE,"continuous"
"M15","Steepness",0.821052631578947,FALSE,"continuous"
"M16","Steepness",0.836842105263158,TRUE,"continuous"
"M17","Steepness",0.852631578947368,TRUE,"continuous"
"M18","Steepness",0.868421052631579,TRUE,"continuous"
"M19","Steepness",0.88421052631579,TRUE,"continuous"
"M20","Steepness",0.9,FALSE,"continuous"
