"metric","level","draw","panel_set","value","weight","axis","unit","definition"
"dynamic_spawning_depletion","Lower",1,"continuous",0.517317678784632,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",1,"continuous",0.567317678784632,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",2,"continuous",0.522743794146055,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",2,"continuous",0.572743794146055,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",3,"continuous",0.461289600644789,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",3,"continuous",0.511289600644789,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",4,"continuous",0.389455800375366,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",4,"continuous",0.439455800375366,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",5,"continuous",0.373286058026949,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",5,"continuous",0.423286058026949,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",6,"continuous",0.427646760144086,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",6,"continuous",0.477646760144086,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",7,"continuous",0.502558927897503,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",7,"continuous",0.552558927897503,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",8,"continuous",0.529148659729871,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",8,"continuous",0.579148659729871,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",9,"continuous",0.482969478819341,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",9,"continuous",0.532969478819341,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",10,"continuous",0.40647831112885,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",10,"continuous",0.45647831112885,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",11,"continuous",0.370000783475944,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",11,"continuous",0.420000783475944,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",12,"continuous",0.407074166559965,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",12,"continuous",0.457074166559965,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",13,"continuous",0.483613362946131,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",13,"continuous",0.533613362946131,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",14,"continuous",0.52924858845559,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",14,"continuous",0.57924858845559,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",15,"continuous",0.502023027212569,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",15,"continuous",0.552023027212569,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",16,"continuous",0.426967734666795,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",16,"continuous",0.476967734666795,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",17,"continuous",0.373088200649635,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",17,"continuous",0.423088200649635,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",18,"continuous",0.389921020258266,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",18,"continuous",0.439921020258266,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",19,"continuous",0.461990176773036,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",19,"continuous",0.511990176773036,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",20,"continuous",0.52303562005821,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",20,"continuous",0.57303562005821,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",21,"continuous",0.516932451082885,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",21,"continuous",0.566932451082885,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",22,"continuous",0.449291895256768,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",22,"continuous",0.499291895256768,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",23,"continuous",0.382302367665986,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",23,"continuous",0.432302367665986,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",24,"continuous",0.37755373103947,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",24,"continuous",0.42755373103947,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",25,"continuous",0.439411859992178,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",25,"continuous",0.489411859992178,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",26,"continuous",0.511004676038368,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",26,"continuous",0.561004676038368,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",27,"continuous",0.52651007427236,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",27,"continuous",0.57651007427236,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",28,"continuous",0.47167246306463,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",28,"continuous",0.52167246306463,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",29,"continuous",0.396909289262963,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",29,"continuous",0.446909289262963,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",30,"continuous",0.370957470072571,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",30,"continuous",0.420957470072571,1,"continuous","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",1,"tag_mixing",0.517317678784632,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",1,"tag_mixing",0.567317678784632,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",2,"tag_mixing",0.522743794146055,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",2,"tag_mixing",0.572743794146055,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",3,"tag_mixing",0.461289600644789,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",3,"tag_mixing",0.511289600644789,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",4,"tag_mixing",0.389455800375366,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",4,"tag_mixing",0.439455800375366,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",5,"tag_mixing",0.373286058026949,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",5,"tag_mixing",0.423286058026949,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",6,"tag_mixing",0.427646760144086,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",6,"tag_mixing",0.477646760144086,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",7,"tag_mixing",0.502558927897503,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",7,"tag_mixing",0.552558927897503,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",8,"tag_mixing",0.529148659729871,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",8,"tag_mixing",0.579148659729871,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",9,"tag_mixing",0.482969478819341,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Higher",9,"tag_mixing",0.532969478819341,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
"dynamic_spawning_depletion","Lower",10,"tag_mixing",0.40647831112885,1,"tag_mixing","ratio","Illustrative dynamic spawning depletion"
