"year","scenario","value","lower","upper"
2023,"Lower catch",0.43,0.344,0.516
2024,"Lower catch",0.438,0.3504,0.5256
2025,"Lower catch",0.446,0.3568,0.5352
2026,"Lower catch",0.454,0.3632,0.5448
2027,"Lower catch",0.462,0.3696,0.5544
2028,"Lower catch",0.47,0.376,0.564
2029,"Lower catch",0.478,0.3824,0.5736
2030,"Lower catch",0.486,0.3888,0.5832
2031,"Lower catch",0.494,0.3952,0.5928
2032,"Lower catch",0.502,0.4016,0.6024
2033,"Lower catch",0.51,0.408,0.612
2034,"Lower catch",0.518,0.4144,0.6216
2035,"Lower catch",0.526,0.4208,0.6312
2023,"Reference catch",0.43,0.344,0.516
2024,"Reference catch",0.432,0.3456,0.5184
2025,"Reference catch",0.434,0.3472,0.5208
2026,"Reference catch",0.436,0.3488,0.5232
2027,"Reference catch",0.438,0.3504,0.5256
2028,"Reference catch",0.44,0.352,0.528
2029,"Reference catch",0.442,0.3536,0.5304
2030,"Reference catch",0.444,0.3552,0.5328
2031,"Reference catch",0.446,0.3568,0.5352
2032,"Reference catch",0.448,0.3584,0.5376
2033,"Reference catch",0.45,0.36,0.54
2034,"Reference catch",0.452,0.3616,0.5424
2035,"Reference catch",0.454,0.3632,0.5448
2023,"Higher catch",0.43,0.344,0.516
2024,"Higher catch",0.424,0.3392,0.5088
2025,"Higher catch",0.418,0.3344,0.5016
2026,"Higher catch",0.412,0.3296,0.4944
2027,"Higher catch",0.406,0.3248,0.4872
2028,"Higher catch",0.4,0.32,0.48
2029,"Higher catch",0.394,0.3152,0.4728
2030,"Higher catch",0.388,0.3104,0.4656
2031,"Higher catch",0.382,0.3056,0.4584
2032,"Higher catch",0.376,0.3008,0.4512
2033,"Higher catch",0.37,0.296,0.444
2034,"Higher catch",0.364,0.2912,0.4368
2035,"Higher catch",0.358,0.2864,0.4296
