"time","group","model","status_type","relative_biomass","relative_f","depletion","depletion_limit","weight"
1954,"Diagnostic model","reference","reference",2.84835535136134,0.25,0.996924372976471,0.2,0
1955,"Diagnostic model","reference","reference",2.82943765467078,0.257006573194641,0.990303179134773,0.2,0
1956,"Diagnostic model","reference","reference",2.81651078849612,0.268825101438127,0.98577877597364,0.2,0
1957,"Diagnostic model","reference","reference",2.80386014854155,0.280039615414304,0.981351051989542,0.2,0
1958,"Diagnostic model","reference","reference",2.78847516142995,0.28892981604504,0.975966306500481,0.2,0
1959,"Diagnostic model","reference","reference",2.75374216094305,0.300814264723271,0.963809756330066,0.2,0
1960,"Diagnostic model","reference","reference",2.72165289214992,0.322853142055848,0.952578512252473,0.2,0
1961,"Diagnostic model","reference","reference",2.68014178259187,0.353969809142493,0.938049623907154,0.2,0
1962,"Diagnostic model","reference","reference",2.6230454766808,0.382153373774342,0.918065916838279,0.2,0
1963,"Diagnostic model","reference","reference",2.54490352485735,0.395234397504818,0.890716233700074,0.2,0
1964,"Diagnostic model","reference","reference",2.48367140149663,0.395720646533791,0.869284990523822,0.2,0
1965,"Diagnostic model","reference","reference",2.47686898947489,0.402669368568814,0.866904146316212,0.2,0
1966,"Diagnostic model","reference","reference",2.44407334256795,0.434707057482599,0.855425669898783,0.2,0
1967,"Diagnostic model","reference","reference",2.35798989176412,0.488930956464799,0.825296462117441,0.2,0
1968,"Diagnostic model","reference","reference",2.2420541755889,0.538583917742745,0.784718961456113,0.2,0
1969,"Diagnostic model","reference","reference",2.16977575894614,0.556365414651803,0.759421515631149,0.2,0
1970,"Diagnostic model","reference","reference",2.12446752030563,0.543384144065351,0.743563632106971,0.2,0
1971,"Diagnostic model","reference","reference",2.03898639281144,0.533706140961031,0.713645237484005,0.2,0
1972,"Diagnostic model","reference","reference",1.94682323321065,0.565062461482797,0.681388131623728,0.2,0
1973,"Diagnostic model","reference","reference",1.83548105903501,0.640511166027082,0.642418370662253,0.2,0
1974,"Diagnostic model","reference","reference",1.73577184286553,0.719473815645494,0.607520145002937,0.2,0
1975,"Diagnostic model","reference","reference",1.75668612247115,0.752086645387647,0.614840142864902,0.2,0
1976,"Diagnostic model","reference","reference",1.91258314592599,0.72820112236166,0.669404101074095,0.2,0
1977,"Diagnostic model","reference","reference",2.03218634707429,0.693235970209872,0.711265221476001,0.2,0
1978,"Diagnostic model","reference","reference",2.04459437937803,0.710272935137765,0.715608032782309,0.2,0
1979,"Diagnostic model","reference","reference",2.00222465328591,0.799503669460664,0.700778628650069,0.2,0
1980,"Diagnostic model","reference","reference",1.93231688306735,0.912863192711266,0.676310909073571,0.2,0
1981,"Diagnostic model","reference","reference",1.82958314482988,0.973405334887971,0.640354100690459,0.2,0
1982,"Diagnostic model","reference","reference",1.79371396257779,0.947791142036014,0.627799886902226,0.2,0
1983,"Diagnostic model","reference","reference",1.86442379032699,0.883805124285222,0.652548326614445,0.2,0
1984,"Diagnostic model","reference","reference",1.94515867538666,0.872122235507163,0.68080553638533,0.2,0
1985,"Diagnostic model","reference","reference",1.98769455389611,0.962098917992038,0.695693093863639,0.2,0
1986,"Diagnostic model","reference","reference",1.97129771335815,1.10960498622339,0.689954199675352,0.2,0
1987,"Diagnostic model","reference","reference",1.94096171184914,1.21103579124516,0.679336599147198,0.2,0
1988,"Diagnostic model","reference","reference",1.89136068317634,1.1983606625115,0.661976239111717,0.2,0
1989,"Diagnostic model","reference","reference",1.81573839560889,1.10816678768049,0.635508438463113,0.2,0
1990,"Diagnostic model","reference","reference",1.81948202993019,1.05531697932222,0.636818710475566,0.2,0
1991,"Diagnostic model","reference","reference",1.81495756275065,1.12864911205499,0.635235146962726,0.2,0
1992,"Diagnostic model","reference","reference",1.81265765131678,1.30324961926471,0.634430177960873,0.2,0
1993,"Diagnostic model","reference","reference",1.82542918845038,1.45542012390275,0.638900215957631,0.2,0
