"multiplier","yield"
0,0
0.05,3804.91769800286
0.1,7238.69934428768
0.15,10328.4957171007
0.2,13099.6920492477
0.25,15576.0156614281
0.3,17779.6372963612
0.35,19731.266512124
0.4,21450.2414731405
0.45,22954.6134583838
0.5,24261.2263885053
0.55,25385.7916567414
0.6,26342.9585325133
0.65,27146.3803915728
0.7,27808.7770123189
0.75,28341.9931644609
0.8,28757.0537035022
0.85,29064.2153725134
0.9,29273.0155013231
0.95,29392.3177825421
1,29430.3552937154
1.05,29394.770925337
1.1,29292.655365431
1.15,29130.5827828729
1.2,28914.6443435714
1.25,28650.479686019
1.3,28343.3064755373
1.35,27997.9481497563
1.4,27618.8599614599
1.45,27210.1534188805
1.5,26775.6192178116
1.55,26318.7487545161
1.6,25842.7543033159
1.65,25350.5879379395
1.7,24844.9592711719
1.75,24328.3520830623
1.8,23803.0399039085
1.85,23271.1006144169
1.9,22734.4301218405
1.95,22194.7551674961
2,21653.645317858
2.05,21112.5241883999
2.1,20572.679946501
2.15,20035.2751370415
2.2,19501.3558717708
2.25,18971.8604211356
2.3,18447.6272449959
2.35,17929.4024965233
2.4,17417.8470315672
2.45,16913.5429538766
2.5,16416.9997247798
2.55,15928.6598642352
2.6,15448.9042685814
2.65,14978.0571688111
2.7,14516.3907517859
2.75,14064.1294654757
2.8,13621.4540280488
2.85,13188.5051594632
2.9,12765.3870530865
2.95,12352.17060383
3,11948.8964082873
