"Quantity","Period","Unit","Mean","Median","Minimum","10%","90%","Maximum"
"Aggregate F","2018–2021","per year",0.0727605668,0.0666473175,0.0222460175,0.03321673,0.1080579,0.1564709
"Aggregate F","2022","per year",0.0691658586,0.06193096,0.02062751,0.03136767,0.1037891,0.1505135
"BMSY","Reference point","t",784953.308,661623.5,329914.9,423327.5,1294901,2209265
"Dynamic unfished spawning potential","2019–2022","t",678391.8385,668472.825,600794.9,623927.9,748152.575,813202.825
"Dynamic unfished spawning potential","2022","t",705075.156,690284.1,615836.1,651226.1,799392.5,901354
"F/F[MSY]","2018–2021","ratio",0.45775399625,0.44848375,0.2049671,0.25301735,0.6382588,0.8500384
"F/F[MSY]","2022","ratio",0.434846389,0.4290719,0.1889444,0.231521,0.6130534,0.8175816
"FMSY","Reference point","per year",0.154933618,0.1585739,0.1063391,0.1227731,0.1820457,0.2029142
"MSY","Reference point","t/year",114723.1877,103156.2,62908.92,75065.68,177164.5,235183.7
"SB/SB[F=0]","2019–2022","ratio",0.513107669486214,0.512403365464098,0.274419782823446,0.390332083222664,0.668344718655934,0.741601807629424
"SB/SB[F=0]","2022","ratio",0.548148759053376,0.5423681711267,0.291744553471573,0.422008995484523,0.703038614109049,0.780948772624296
"SB/SB[MSY]","2019–2022","ratio",3.219164875,3.02569625,1.547769,2.103317,4.890115,6.00759875
"SB/SB[MSY]","2022","ratio",3.58444921,3.315318,1.667887,2.2784,5.46586,6.968188
"SBMSY","Reference point","t",113584.9672,113994.6,60584.37,83583.84,146075.9,167242.3
"Spawning potential","2019–2022","t",349043.11775,335090.8975,222297.725,262404.075,488340.3,604433
"Spawning potential","2022","t",388590.0202,369032.98,237514.93,286938,546096,703911.3
