"Model","Label","Status","Passed","Failed","Unknown"
"diagnostic","Diagnostic model","passed",2,0,0
"ensemble-001","Ensemble 1","failed",0,1,1
"ensemble-002","Ensemble 2","failed",0,1,1
"ensemble-003","Ensemble 3","failed",0,1,1
"ensemble-004","Ensemble 4","failed",0,1,1
"ensemble-005","Ensemble 5","failed",0,1,1
"ensemble-006","Ensemble 6","failed",0,1,1
"ensemble-007","Ensemble 7","failed",0,1,1
"ensemble-008","Ensemble 8","failed",0,1,1
"ensemble-009","Ensemble 9","passed",2,0,0
"ensemble-010","Ensemble 10","failed",0,1,1
"ensemble-011","Ensemble 11","failed",0,1,1
"ensemble-012","Ensemble 12","failed",0,1,1
"ensemble-013","Ensemble 13","passed",2,0,0
"ensemble-014","Ensemble 14","failed",0,1,1
"ensemble-015","Ensemble 15","failed",0,1,1
"ensemble-016","Ensemble 16","failed",0,1,1
"ensemble-017","Ensemble 17","passed",2,0,0
"ensemble-018","Ensemble 18","failed",0,1,1
"ensemble-019","Ensemble 19","passed",2,0,0
"ensemble-020","Ensemble 20","failed",0,1,1
"ensemble-021","Ensemble 21","failed",0,1,1
"ensemble-022","Ensemble 22","failed",0,1,1
"ensemble-023","Ensemble 23","failed",0,1,1
"ensemble-024","Ensemble 24","failed",0,1,1
"ensemble-025","Ensemble 25","failed",0,1,1
"ensemble-026","Ensemble 26","passed",2,0,0
"ensemble-027","Ensemble 27","failed",0,1,1
"ensemble-028","Ensemble 28","failed",0,1,1
"ensemble-029","Ensemble 29","failed",0,1,1
"ensemble-030","Ensemble 30","failed",0,1,1
"ensemble-031","Ensemble 31","failed",0,1,1
"ensemble-032","Ensemble 32","failed",0,1,1
"ensemble-033","Ensemble 33","passed",2,0,0
"ensemble-034","Ensemble 34","failed",0,1,1
"ensemble-035","Ensemble 35","failed",0,1,1
"ensemble-036","Ensemble 36","passed",2,0,0
"ensemble-037","Ensemble 37","failed",0,1,1
"ensemble-038","Ensemble 38","passed",2,0,0
"ensemble-039","Ensemble 39","failed",0,1,1
"ensemble-040","Ensemble 40","passed",2,0,0
"ensemble-041","Ensemble 41","passed",2,0,0
"ensemble-042","Ensemble 42","passed",2,0,0
"ensemble-043","Ensemble 43","passed",2,0,0
"ensemble-044","Ensemble 44","failed",0,1,1
"ensemble-045","Ensemble 45","passed",2,0,0
"ensemble-046","Ensemble 46","failed",0,1,1
"ensemble-047","Ensemble 47","passed",2,0,0
"ensemble-048","Ensemble 48","failed",0,1,1
"ensemble-049","Ensemble 49","failed",0,1,1
"ensemble-050","Ensemble 50","failed",0,1,1
"ensemble-051","Ensemble 51","passed",2,0,0
"ensemble-052","Ensemble 52","failed",0,1,1
"ensemble-053","Ensemble 53","passed",2,0,0
"ensemble-054","Ensemble 54","failed",0,1,1
"ensemble-055","Ensemble 55","failed",0,1,1
"ensemble-056","Ensemble 56","failed",0,1,1
"ensemble-057","Ensemble 57","passed",2,0,0
"ensemble-058","Ensemble 58","failed",0,1,1
"ensemble-059","Ensemble 59","failed",0,1,1
"ensemble-060","Ensemble 60","passed",2,0,0
"ensemble-061","Ensemble 61","failed",0,1,1
"ensemble-062","Ensemble 62","failed",0,1,1
"ensemble-063","Ensemble 63","passed",2,0,0
"ensemble-064","Ensemble 64","failed",0,1,1
"ensemble-065","Ensemble 65","failed",0,1,1
"ensemble-066","Ensemble 66","passed",2,0,0
"ensemble-067","Ensemble 67","failed",0,1,1
"ensemble-068","Ensemble 68","failed",0,1,1
"ensemble-069","Ensemble 69","failed",0,1,1
"ensemble-070","Ensemble 70","failed",0,1,1
"ensemble-071","Ensemble 71","failed",0,1,1
"ensemble-072","Ensemble 72","failed",0,1,1
"ensemble-073","Ensemble 73","failed",0,1,1
"ensemble-074","Ensemble 74","failed",0,1,1
"ensemble-075","Ensemble 75","passed",2,0,0
"ensemble-076","Ensemble 76","passed",2,0,0
"ensemble-077","Ensemble 77","failed",0,1,1
"ensemble-078","Ensemble 78","passed",2,0,0
"ensemble-079","Ensemble 79","failed",0,1,1
"ensemble-080","Ensemble 80","failed",0,1,1
"ensemble-081","Ensemble 81","failed",0,1,1
"ensemble-082","Ensemble 82","failed",0,1,1
"ensemble-083","Ensemble 83","failed",0,1,1
"ensemble-084","Ensemble 84","failed",0,1,1
"ensemble-085","Ensemble 85","failed",0,1,1
"ensemble-086","Ensemble 86","failed",0,1,1
"ensemble-087","Ensemble 87","failed",0,1,1
"ensemble-088","Ensemble 88","failed",0,1,1
"ensemble-089","Ensemble 89","passed",2,0,0
"ensemble-090","Ensemble 90","failed",0,1,1
"ensemble-091","Ensemble 91","failed",0,1,1
"ensemble-092","Ensemble 92","failed",0,1,1
"ensemble-093","Ensemble 93","failed",0,1,1
"ensemble-094","Ensemble 94","passed",2,0,0
"ensemble-095","Ensemble 95","passed",2,0,0
"ensemble-096","Ensemble 96","passed",2,0,0
"ensemble-097","Ensemble 97","failed",0,1,1
"ensemble-098","Ensemble 98","passed",2,0,0
"ensemble-099","Ensemble 99","failed",0,1,1
"ensemble-100","Ensemble 100","failed",0,1,1
