"time","kind","series","series_label","record","observed","predicted","unit","model","label"
1954,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1954",4.40903714715002,5.05322105333346,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1955,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1955",3.14529508758885,4.7659417472435,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1956,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1956",3.55845376339654,4.63099072156651,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1957,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1957",3.81367935187817,4.5100474659956,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1958,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1958",4.19937988018333,4.39191932226178,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1959,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1959",5.02003875847804,4.24193418019977,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1960,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1960",6.09415385779237,4.1145273038472,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1961,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1961",5.9871599837675,3.94514623503308,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1962,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1962",4.31836862588877,3.6763911719862,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1963,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1963",2.6756633141332,3.32872949217038,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1964,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1964",2.42251196662564,2.93850901564408,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1965,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1965",2.71599052736943,2.49224124235352,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1966,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1966",2.44814503331434,2.05224429404415,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1967,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1967",1.94746079529619,1.81394916878713,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1968,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1968",1.71471945569896,1.75189111558133,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1969,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1969",1.65433171113289,1.68863878871589,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1970,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1970",1.54780579698768,1.48902577968214,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1971,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1971",1.23412080025738,1.23260383007629,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1972,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1972",1.07338614840291,1.04233974183652,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1973,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1973",0.989103263951998,0.865759149532346,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1974,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1974",0.580301639759145,0.741152896876202,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1975,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1975",0.58813811691667,0.714651959542337,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1976,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1976",0.851064006357214,0.723886619442383,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1977,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1977",0.863018267252948,0.68080204987889,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1978,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1978",0.935245185300877,0.717707991048501,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1979,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1979",0.811891863308134,0.84200252906662,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1980,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1980",0.857986996795637,0.925982082342435,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1981,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1981",0.969775742290399,0.866004033834907,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1982,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1982",0.754187984251701,0.75326484098311,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1983,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1983",0.847323525052082,0.683537998912292,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1984,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1984",0.697012441179108,0.665233949904791,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1985,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1985",0.700113985527936,0.714680065592976,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1986,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1986",0.916792661518106,0.759397850118366,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1987,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1987",0.932698710694853,0.810227732442538,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1988,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1988",0.933673375591985,0.768286620435342,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1989,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1989",0.68771709247243,0.756447897743041,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1990,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1990",0.776975789161292,0.762326313200317,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1991,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1991",0.655727821196814,0.726725855174442,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
1992,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1992",0.872502177541898,0.710642814150925,"geometric-mean-scaled index","formats","Illustrative ALB outputs"
