"year","value","model"
1954,0.996924372976471,"Diagnostic"
1955,0.990303179134773,"Diagnostic"
1956,0.98577877597364,"Diagnostic"
1957,0.981351051989542,"Diagnostic"
1958,0.975966306500481,"Diagnostic"
1959,0.963809756330066,"Diagnostic"
1960,0.952578512252473,"Diagnostic"
1961,0.938049623907154,"Diagnostic"
1962,0.918065916838279,"Diagnostic"
1963,0.890716233700074,"Diagnostic"
1964,0.869284990523822,"Diagnostic"
1965,0.866904146316212,"Diagnostic"
1966,0.855425669898783,"Diagnostic"
1967,0.825296462117441,"Diagnostic"
1968,0.784718961456113,"Diagnostic"
1969,0.759421515631149,"Diagnostic"
1970,0.743563632106971,"Diagnostic"
1971,0.713645237484005,"Diagnostic"
1972,0.681388131623728,"Diagnostic"
1973,0.642418370662253,"Diagnostic"
1974,0.607520145002937,"Diagnostic"
1975,0.614840142864902,"Diagnostic"
1976,0.669404101074095,"Diagnostic"
1977,0.711265221476001,"Diagnostic"
1978,0.715608032782309,"Diagnostic"
1979,0.700778628650069,"Diagnostic"
1980,0.676310909073571,"Diagnostic"
1981,0.640354100690459,"Diagnostic"
1982,0.627799886902226,"Diagnostic"
1983,0.652548326614445,"Diagnostic"
1984,0.68080553638533,"Diagnostic"
1985,0.695693093863639,"Diagnostic"
1986,0.689954199675352,"Diagnostic"
1987,0.679336599147198,"Diagnostic"
1988,0.661976239111717,"Diagnostic"
1989,0.635508438463113,"Diagnostic"
1990,0.636818710475566,"Diagnostic"
1991,0.635235146962726,"Diagnostic"
1992,0.634430177960873,"Diagnostic"
1993,0.638900215957631,"Diagnostic"
1994,0.637781286947313,"Diagnostic"
1995,0.646370734761608,"Diagnostic"
1996,0.652231990661402,"Diagnostic"
1997,0.663380488880837,"Diagnostic"
1998,0.653840251969026,"Diagnostic"
1999,0.648278791508346,"Diagnostic"
2000,0.63241854429045,"Diagnostic"
2001,0.60040970885715,"Diagnostic"
2002,0.565252312736127,"Diagnostic"
2003,0.535221725999121,"Diagnostic"
2004,0.525538115510552,"Diagnostic"
2005,0.542006512071403,"Diagnostic"
2006,0.547146256989939,"Diagnostic"
2007,0.536827121823333,"Diagnostic"
2008,0.524304353587817,"Diagnostic"
2009,0.511153752978661,"Diagnostic"
2010,0.501882761649498,"Diagnostic"
2011,0.50640987102095,"Diagnostic"
2012,0.509172787261542,"Diagnostic"
2013,0.501701358608563,"Diagnostic"
2014,0.508445203832983,"Diagnostic"
2015,0.496520635667687,"Diagnostic"
2016,0.476957498262039,"Diagnostic"
2017,0.457054786076381,"Diagnostic"
2018,0.45144001169523,"Diagnostic"
2019,0.434747840377849,"Diagnostic"
2020,0.416085411679199,"Diagnostic"
2021,0.425443492856604,"Diagnostic"
2022,0.457686299223471,"Diagnostic"
1954,1.03680134789553,"ASPM"
1955,1.02991530630016,"ASPM"
1956,1.02520992701259,"ASPM"
1957,1.02060509406912,"ASPM"
1958,1.0150049587605,"ASPM"
1959,1.00236214658327,"ASPM"
1960,0.990681652742572,"ASPM"
1961,0.97557160886344,"ASPM"
1962,0.95478855351181,"ASPM"
1963,0.926344883048077,"ASPM"
1964,0.904056390144775,"ASPM"
1965,0.90158031216886,"ASPM"
1966,0.889642696694734,"ASPM"
1967,0.858308320602139,"ASPM"
1968,0.816107719914358,"ASPM"
1969,0.789798376256395,"ASPM"
1970,0.77330617739125,"ASPM"
1971,0.742191046983365,"ASPM"
1972,0.708643656888677,"ASPM"
1973,0.668115105488743,"ASPM"
1974,0.631820950803055,"ASPM"
1975,0.639433748579498,"ASPM"
1976,0.696180265117059,"ASPM"
1977,0.739715830335042,"ASPM"
1978,0.744232354093602,"ASPM"
1979,0.728809773796072,"ASPM"
1980,0.703363345436514,"ASPM"
1981,0.665968264718077,"ASPM"
1982,0.652911882378315,"ASPM"
1983,0.678650259679023,"ASPM"
1984,0.708037757840744,"ASPM"
1985,0.723520817618185,"ASPM"
1986,0.717552367662366,"ASPM"
1987,0.706510063113086,"ASPM"
1988,0.688455288676186,"ASPM"
1989,0.660928776001638,"ASPM"
1990,0.662291458894589,"ASPM"
1991,0.660644552841235,"ASPM"
1992,0.659807385079308,"ASPM"
1993,0.664456224595937,"ASPM"
1994,0.663292538425206,"ASPM"
1995,0.672225564152073,"ASPM"
1996,0.678321270287858,"ASPM"
1997,0.68991570843607,"ASPM"
1998,0.679993862047787,"ASPM"
1999,0.67420994316868,"ASPM"
2000,0.657715286062068,"ASPM"
2001,0.624426097211435,"ASPM"
2002,0.587862405245572,"ASPM"
2003,0.556630595039086,"ASPM"
2004,0.546559640130974,"ASPM"
2005,0.563686772554259,"ASPM"
2006,0.569032107269537,"ASPM"
2007,0.558300206696266,"ASPM"
2008,0.54527652773133,"ASPM"
2009,0.531599903097807,"ASPM"
2010,0.521958072115477,"ASPM"
2011,0.526666265861788,"ASPM"
2012,0.529539698752004,"ASPM"
2013,0.521769412952906,"ASPM"
2014,0.528783011986302,"ASPM"
2015,0.516381461094395,"ASPM"
2016,0.496035798192521,"ASPM"
2017,0.475336977519436,"ASPM"
2018,0.46949761216304,"ASPM"
2019,0.452137753992963,"ASPM"
2020,0.432728828146367,"ASPM"
2021,0.442461232570868,"ASPM"
2022,0.475993751192409,"ASPM"
