"time","group","predicted","observed","unit","gear_family"
2001,"Longline",1000,1023.19551281507,"fish","longline"
2002,"Longline",1049.4807918509,958.659183366021,"fish","longline"
2003,"Longline",1095.88510772084,967.983739756937,"fish","longline"
2004,"Longline",1136.32775200467,1091.35370604211,"fish","longline"
2005,"Longline",1168.29419696158,1254.68014852303,"fish","longline"
2006,"Longline",1189.79692387112,1331.95436345724,"fish","longline"
2007,"Longline",1199.49899732081,1265.67433210459,"fish","longline"
2008,"Longline",1196.79718937479,1125.15165598467,"fish","longline"
2009,"Longline",1181.85948536514,1040.20312971582,"fish","longline"
2010,"Longline",1155.61463937758,1075.11952736881,"fish","longline"
2011,"Longline",1119.69442882079,1169.62008389164,"fish","longline"
2012,"Longline",1076.33219841047,1203.16542294189,"fish","longline"
2013,"Longline",1028.22400161197,1113.30751810835,"fish","longline"
2014,"Longline",978.360973093978,950.555509952914,"fish","longline"
2015,"Longline",929.843354462076,824.343969445468,"fish","longline"
2016,"Longline",885.687736251531,802.269946189784,"fish","longline"
2017,"Longline",848.639500938414,858.554520903656,"fish","longline"
2018,"Longline",821.002128354283,908.692846072104,"fish","longline"
2019,"Longline",804.493976466981,887.948372264438,"fish","longline"
2020,"Longline",800.141442204924,804.372140952915,"fish","longline"
2001,"Purse seine",1000,1023.19551281507,"fish","purse_seine"
2002,"Purse seine",1049.4807918509,958.659183366021,"fish","purse_seine"
2003,"Purse seine",1095.88510772084,967.983739756937,"fish","purse_seine"
2004,"Purse seine",1136.32775200467,1091.35370604211,"fish","purse_seine"
2005,"Purse seine",1168.29419696158,1254.68014852303,"fish","purse_seine"
2006,"Purse seine",1189.79692387112,1331.95436345724,"fish","purse_seine"
2007,"Purse seine",1199.49899732081,1265.67433210459,"fish","purse_seine"
2008,"Purse seine",1196.79718937479,1125.15165598467,"fish","purse_seine"
2009,"Purse seine",1181.85948536514,1040.20312971582,"fish","purse_seine"
2010,"Purse seine",1155.61463937758,1075.11952736881,"fish","purse_seine"
2011,"Purse seine",1119.69442882079,1169.62008389164,"fish","purse_seine"
2012,"Purse seine",1076.33219841047,1203.16542294189,"fish","purse_seine"
2013,"Purse seine",1028.22400161197,1113.30751810835,"fish","purse_seine"
2014,"Purse seine",978.360973093978,950.555509952914,"fish","purse_seine"
2015,"Purse seine",929.843354462076,824.343969445468,"fish","purse_seine"
2016,"Purse seine",885.687736251531,802.269946189784,"fish","purse_seine"
2017,"Purse seine",848.639500938414,858.554520903656,"fish","purse_seine"
2018,"Purse seine",821.002128354283,908.692846072104,"fish","purse_seine"
2019,"Purse seine",804.493976466981,887.948372264438,"fish","purse_seine"
2020,"Purse seine",800.141442204924,804.372140952915,"fish","purse_seine"
2001,"Other",1000,1023.19551281507,"fish","other"
2002,"Other",1049.4807918509,958.659183366021,"fish","other"
2003,"Other",1095.88510772084,967.983739756937,"fish","other"
2004,"Other",1136.32775200467,1091.35370604211,"fish","other"
2005,"Other",1168.29419696158,1254.68014852303,"fish","other"
2006,"Other",1189.79692387112,1331.95436345724,"fish","other"
2007,"Other",1199.49899732081,1265.67433210459,"fish","other"
2008,"Other",1196.79718937479,1125.15165598467,"fish","other"
2009,"Other",1181.85948536514,1040.20312971582,"fish","other"
2010,"Other",1155.61463937758,1075.11952736881,"fish","other"
2011,"Other",1119.69442882079,1169.62008389164,"fish","other"
2012,"Other",1076.33219841047,1203.16542294189,"fish","other"
2013,"Other",1028.22400161197,1113.30751810835,"fish","other"
2014,"Other",978.360973093978,950.555509952914,"fish","other"
2015,"Other",929.843354462076,824.343969445468,"fish","other"
2016,"Other",885.687736251531,802.269946189784,"fish","other"
2017,"Other",848.639500938414,858.554520903656,"fish","other"
2018,"Other",821.002128354283,908.692846072104,"fish","other"
2019,"Other",804.493976466981,887.948372264438,"fish","other"
2020,"Other",800.141442204924,804.372140952915,"fish","other"
