"year","gear","value"
1954,"Longline",8000
1955,"Longline",8800
1956,"Longline",9600
1957,"Longline",10400
1958,"Longline",11200
1959,"Longline",12000
1960,"Longline",12800
1961,"Longline",13600
1962,"Longline",14400
1963,"Longline",15200
1964,"Longline",16000
1965,"Longline",16800
1966,"Longline",17600
1967,"Longline",18400
1968,"Longline",19200
1969,"Longline",20000
1970,"Longline",20800
1971,"Longline",21600
1972,"Longline",22400
1973,"Longline",23200
1974,"Longline",24000
1975,"Longline",24800
1976,"Longline",25600
1977,"Longline",26400
1978,"Longline",27200
1979,"Longline",28000
1980,"Longline",28800
1981,"Longline",29600
1982,"Longline",30400
1983,"Longline",31200
1984,"Longline",32000
1985,"Longline",32800
1986,"Longline",33600
1987,"Longline",34400
1988,"Longline",35200
1989,"Longline",36000
1990,"Longline",36800
1991,"Longline",37600
1992,"Longline",38400
1993,"Longline",39200
1994,"Longline",40000
1995,"Longline",40800
1996,"Longline",41600
1997,"Longline",42400
1998,"Longline",43200
1999,"Longline",44000
2000,"Longline",44800
2001,"Longline",45600
2002,"Longline",46400
2003,"Longline",47200
2004,"Longline",48000
2005,"Longline",48800
2006,"Longline",49600
2007,"Longline",50400
2008,"Longline",51200
2009,"Longline",52000
2010,"Longline",52800
2011,"Longline",53600
2012,"Longline",54400
2013,"Longline",55200
2014,"Longline",56000
2015,"Longline",56800
2016,"Longline",57600
2017,"Longline",58400
2018,"Longline",59200
2019,"Longline",60000
2020,"Longline",60800
2021,"Longline",61600
2022,"Longline",62400
1954,"Other",2000
1955,"Other",2200
1956,"Other",2400
1957,"Other",2600
1958,"Other",2800
1959,"Other",3000
1960,"Other",3200
1961,"Other",3400
1962,"Other",3600
1963,"Other",3800
1964,"Other",4000
1965,"Other",4200
1966,"Other",4400
1967,"Other",4600
1968,"Other",4800
1969,"Other",5000
1970,"Other",5200
1971,"Other",5400
1972,"Other",5600
1973,"Other",5800
1974,"Other",6000
1975,"Other",6200
1976,"Other",6400
1977,"Other",6600
1978,"Other",6800
1979,"Other",7000
1980,"Other",7200
1981,"Other",7400
1982,"Other",7600
1983,"Other",7800
1984,"Other",8000
1985,"Other",8200
1986,"Other",8400
1987,"Other",8600
1988,"Other",8800
1989,"Other",9000
1990,"Other",9200
1991,"Other",9400
1992,"Other",9600
1993,"Other",9800
1994,"Other",10000
1995,"Other",10200
1996,"Other",10400
1997,"Other",10600
1998,"Other",10800
1999,"Other",11000
2000,"Other",11200
2001,"Other",11400
2002,"Other",11600
2003,"Other",11800
2004,"Other",12000
2005,"Other",12200
2006,"Other",12400
2007,"Other",12600
2008,"Other",12800
2009,"Other",13000
2010,"Other",13200
2011,"Other",13400
2012,"Other",13600
2013,"Other",13800
2014,"Other",14000
2015,"Other",14200
2016,"Other",14400
2017,"Other",14600
2018,"Other",14800
2019,"Other",15000
2020,"Other",15200
2021,"Other",15400
2022,"Other",15600
