"year","region","gear","value"
1954,"Region 1","Longline",5600
1955,"Region 1","Longline",6160
1956,"Region 1","Longline",6720
1957,"Region 1","Longline",7280
1958,"Region 1","Longline",7840
1959,"Region 1","Longline",8400
1960,"Region 1","Longline",8960
1961,"Region 1","Longline",9520
1962,"Region 1","Longline",10080
1963,"Region 1","Longline",10640
1964,"Region 1","Longline",11200
1965,"Region 1","Longline",11760
1966,"Region 1","Longline",12320
1967,"Region 1","Longline",12880
1968,"Region 1","Longline",13440
1969,"Region 1","Longline",14000
1970,"Region 1","Longline",14560
1971,"Region 1","Longline",15120
1972,"Region 1","Longline",15680
1973,"Region 1","Longline",16240
1974,"Region 1","Longline",16800
1975,"Region 1","Longline",17360
1976,"Region 1","Longline",17920
1977,"Region 1","Longline",18480
1978,"Region 1","Longline",19040
1979,"Region 1","Longline",19600
1980,"Region 1","Longline",20160
1981,"Region 1","Longline",20720
1982,"Region 1","Longline",21280
1983,"Region 1","Longline",21840
1984,"Region 1","Longline",22400
1985,"Region 1","Longline",22960
1986,"Region 1","Longline",23520
1987,"Region 1","Longline",24080
1988,"Region 1","Longline",24640
1989,"Region 1","Longline",25200
1990,"Region 1","Longline",25760
1991,"Region 1","Longline",26320
1992,"Region 1","Longline",26880
1993,"Region 1","Longline",27440
1994,"Region 1","Longline",28000
1995,"Region 1","Longline",28560
1996,"Region 1","Longline",29120
1997,"Region 1","Longline",29680
1998,"Region 1","Longline",30240
1999,"Region 1","Longline",30800
2000,"Region 1","Longline",31360
2001,"Region 1","Longline",31920
2002,"Region 1","Longline",32480
2003,"Region 1","Longline",33040
2004,"Region 1","Longline",33600
2005,"Region 1","Longline",34160
2006,"Region 1","Longline",34720
2007,"Region 1","Longline",35280
2008,"Region 1","Longline",35840
2009,"Region 1","Longline",36400
2010,"Region 1","Longline",36960
2011,"Region 1","Longline",37520
2012,"Region 1","Longline",38080
2013,"Region 1","Longline",38640
2014,"Region 1","Longline",39200
2015,"Region 1","Longline",39760
2016,"Region 1","Longline",40320
2017,"Region 1","Longline",40880
2018,"Region 1","Longline",41440
2019,"Region 1","Longline",42000
2020,"Region 1","Longline",42560
2021,"Region 1","Longline",43120
2022,"Region 1","Longline",43680
1954,"Region 2","Longline",2400
1955,"Region 2","Longline",2640
1956,"Region 2","Longline",2880
1957,"Region 2","Longline",3120
1958,"Region 2","Longline",3360
1959,"Region 2","Longline",3600
1960,"Region 2","Longline",3840
1961,"Region 2","Longline",4080
1962,"Region 2","Longline",4320
1963,"Region 2","Longline",4560
1964,"Region 2","Longline",4800
1965,"Region 2","Longline",5040
1966,"Region 2","Longline",5280
1967,"Region 2","Longline",5520
1968,"Region 2","Longline",5760
1969,"Region 2","Longline",6000
1970,"Region 2","Longline",6240
1971,"Region 2","Longline",6480
1972,"Region 2","Longline",6720
1973,"Region 2","Longline",6960
1974,"Region 2","Longline",7200
