"condition_bin","bin","group","observed","predicted","bin_unit","condition_unit"
30,1,"Region 1",0.123582843452729,0.147800647301925,"year","cm"
35,1,"Region 1",0.0611887826427387,0.0654145977732064,"year","cm"
40,1,"Region 1",0.024149379040221,0.0214072700825576,"year","cm"
45,1,"Region 1",0.00759732401586496,0.00518007651940788,"year","cm"
50,1,"Region 1",0.00190517930491674,0.000926828405753384,"year","cm"
55,1,"Region 1",0.000380830381156791,0.000122617023666346,"year","cm"
60,1,"Region 1",6.0680317589419e-05,1.19947300493237e-05,"year","cm"
65,1,"Region 1",7.70698703698216e-06,8.67597836264516e-07,"year","cm"
70,1,"Region 1",7.80264660675831e-07,4.64017880472057e-08,"year","cm"
75,1,"Region 1",6.29679815585029e-08,1.83501342337534e-09,"year","cm"
80,1,"Region 1",4.05058856654886e-09,5.36576994865331e-11,"year","cm"
85,1,"Region 1",2.0770024961059e-10,1.16014727949406e-12,"year","cm"
90,1,"Region 1",8.48938891839565e-12,1.85473760260843e-14,"year","cm"
30,2,"Region 1",0.225898623837858,0.278619148822386,"year","cm"
35,2,"Region 1",0.153637941195463,0.188176643188369,"year","cm"
40,2,"Region 1",0.0832921165337146,0.0939742236942454,"year","cm"
45,2,"Region 1",0.0359939776754587,0.0347008449876442,"year","cm"
50,2,"Region 1",0.0123987046132563,0.00947457259109489,"year","cm"
55,2,"Region 1",0.00340442138329999,0.00191279081920328,"year","cm"
60,2,"Region 1",0.000745127910987895,0.000285537796345361,"year","cm"
65,2,"Region 1",0.000129998660975169,3.15172271788006e-05,"year","cm"
70,2,"Region 1",1.80787105731722e-05,2.57229441390921e-06,"year","cm"
75,2,"Region 1",2.00408690751249e-06,1.55232131496012e-07,"year","cm"
80,2,"Region 1",1.77086793901461e-07,6.92677117250196e-09,"year","cm"
85,2,"Region 1",1.24731551747891e-08,2.28543216157e-10,"year","cm"
90,2,"Region 1",7.00304635397622e-10,5.57563200393684e-12,"year","cm"
30,3,"Region 1",0.264758076532547,0.290647507405049,"year","cm"
35,3,"Region 1",0.247346275362223,0.299555829382612,"year","cm"
40,3,"Region 1",0.184196790356334,0.228284918910767,"year","cm"
45,3,"Region 1",0.109340049783996,0.128636715317272,"year","cm"
50,3,"Region 1",0.0517364948524587,0.053597056093788,"year","cm"
55,3,"Region 1",0.0195135040194405,0.0165122100192634,"year","cm"
60,3,"Region 1",0.00586670226205424,0.00376147123803196,"year","cm"
65,3,"Region 1",0.00140596127759661,0.000633575770928773,"year","cm"
70,3,"Region 1",0.000268579707738101,7.89092017108337e-05,"year","cm"
75,3,"Region 1",4.08971985330146e-05,7.26683020629853e-06,"year","cm"
80,3,"Region 1",4.96403058041999e-06,4.94823879028925e-07,"year","cm"
85,3,"Region 1",4.80281504504763e-07,2.49140630964155e-08,"year","cm"
90,3,"Region 1",3.70405820249542e-08,9.27527392217869e-10,"year","cm"
30,4,"Region 1",0.198959682672498,0.167781186428386,"year","cm"
35,4,"Region 1",0.255324506629475,0.263882658290253,"year","cm"
40,4,"Region 1",0.261180319503747,0.306878677231871,"year","cm"
45,4,"Region 1",0.212965337014902,0.263882658290253,"year","cm"
50,4,"Region 1",0.138419705410134,0.167781186428386,"year","cm"
55,4,"Region 1",0.071714577639426,0.078879463042303,"year","cm"
60,4,"Region 1",0.0296167565198682,0.0274203443108165,"year","cm"
65,4,"Region 1",0.00974962856795468,0.007048068817235,"year","cm"
70,4,"Region 1",0.0025583453656099,0.00133953986151481,"year","cm"
75,4,"Region 1",0.000535119526844928,0.000188247588433193,"year","cm"
80,4,"Region 1",8.92201505099236e-05,1.95610189921665e-05,"year","cm"
85,4,"Region 1",1.18575681608135e-05,1.50294054958258e-06,"year","cm"
90,4,"Region 1",1.25617120428215e-06,8.53847680399673e-08,"year","cm"
30,5,"Region 1",0.0958652418325788,0.0535970560937881,"year","cm"
35,5,"Region 1",0.168989553337298,0.128636715317272,"year","cm"
40,5,"Region 1",0.23745377022943,0.228284918910767,"year","cm"
45,5,"Region 1",0.265961520267622,0.299555829382612,"year","cm"
50,5,"Region 1",0.23745377022943,0.290647507405049,"year","cm"
55,5,"Region 1",0.168989553337298,0.208518073567047,"year","cm"
60,5,"Region 1",0.0958652418325788,0.110613740576053,"year","cm"
65,5,"Region 1",0.0433493921300422,0.0433873102821965,"year","cm"
70,5,"Region 1",0.0156251925303335,0.0125835926246338,"year","cm"
75,5,"Region 1",0.00448939965015349,0.00269857719866567,"year","cm"
80,5,"Region 1",0.0010281859975274,0.000427910867873848,"year","cm"
85,5,"Region 1",0.000187704907554717,5.01718436859083e-05,"year","cm"
90,5,"Region 1",2.73149302216272e-05,4.34965767078258e-06,"year","cm"
30,6,"Region 1",0.0296167565198682,0.00947457259109489,"year","cm"
35,6,"Region 1",0.0717145776394261,0.0347008449876442,"year","cm"
40,6,"Region 1",0.138419705410134,0.0939742236942454,"year","cm"
45,6,"Region 1",0.212965337014902,0.188176643188369,"year","cm"
50,6,"Region 1",0.261180319503747,0.278619148822386,"year","cm"
55,6,"Region 1",0.255324506629475,0.305031351517133,"year","cm"
60,6,"Region 1",0.198959682672498,0.246925686942823,"year","cm"
65,6,"Region 1",0.123582843452729,0.147800647301925,"year","cm"
70,6,"Region 1",0.0611887826427387,0.0654145977732064,"year","cm"
75,6,"Region 1",0.024149379040221,0.0214072700825576,"year","cm"
80,6,"Region 1",0.00759732401586496,0.00518007651940789,"year","cm"
85,6,"Region 1",0.00190517930491674,0.000926828405753384,"year","cm"
90,6,"Region 1",0.000380830381156791,0.000122617023666346,"year","cm"
30,7,"Region 1",0.00586670226205425,0.000926828405753384,"year","cm"
35,7,"Region 1",0.0195135040194405,0.00518007651940788,"year","cm"
40,7,"Region 1",0.0517364948524587,0.0214072700825576,"year","cm"
45,7,"Region 1",0.109340049783996,0.0654145977732064,"year","cm"
50,7,"Region 1",0.184196790356334,0.147800647301925,"year","cm"
55,7,"Region 1",0.247346275362223,0.246925686942823,"year","cm"
60,7,"Region 1",0.264758076532547,0.305031351517133,"year","cm"
