"year","region","gear","value"
1954,"Region 1","Longline",0
1955,"Region 1","Longline",0.00588235294117647
1956,"Region 1","Longline",0.0117647058823529
1957,"Region 1","Longline",0.0176470588235294
1958,"Region 1","Longline",0.0235294117647059
1959,"Region 1","Longline",0.0294117647058824
1960,"Region 1","Longline",0.0352941176470588
1961,"Region 1","Longline",0.0411764705882353
1962,"Region 1","Longline",0.0470588235294118
1963,"Region 1","Longline",0.0529411764705882
1964,"Region 1","Longline",0.0588235294117647
1965,"Region 1","Longline",0.0647058823529412
1966,"Region 1","Longline",0.0705882352941177
1967,"Region 1","Longline",0.0764705882352941
1968,"Region 1","Longline",0.0823529411764706
1969,"Region 1","Longline",0.0882352941176471
1970,"Region 1","Longline",0.0941176470588235
1971,"Region 1","Longline",0.1
1972,"Region 1","Longline",0.105882352941176
1973,"Region 1","Longline",0.111764705882353
1974,"Region 1","Longline",0.117647058823529
1975,"Region 1","Longline",0.123529411764706
1976,"Region 1","Longline",0.129411764705882
1977,"Region 1","Longline",0.135294117647059
1978,"Region 1","Longline",0.141176470588235
1979,"Region 1","Longline",0.147058823529412
1980,"Region 1","Longline",0.152941176470588
1981,"Region 1","Longline",0.158823529411765
1982,"Region 1","Longline",0.164705882352941
1983,"Region 1","Longline",0.170588235294118
1984,"Region 1","Longline",0.176470588235294
1985,"Region 1","Longline",0.182352941176471
1986,"Region 1","Longline",0.188235294117647
1987,"Region 1","Longline",0.194117647058824
1988,"Region 1","Longline",0.2
1989,"Region 1","Longline",0.205882352941176
1990,"Region 1","Longline",0.211764705882353
1991,"Region 1","Longline",0.217647058823529
1992,"Region 1","Longline",0.223529411764706
1993,"Region 1","Longline",0.229411764705882
1994,"Region 1","Longline",0.235294117647059
1995,"Region 1","Longline",0.241176470588235
1996,"Region 1","Longline",0.247058823529412
1997,"Region 1","Longline",0.252941176470588
1998,"Region 1","Longline",0.258823529411765
1999,"Region 1","Longline",0.264705882352941
2000,"Region 1","Longline",0.270588235294118
2001,"Region 1","Longline",0.276470588235294
2002,"Region 1","Longline",0.282352941176471
2003,"Region 1","Longline",0.288235294117647
2004,"Region 1","Longline",0.294117647058824
2005,"Region 1","Longline",0.3
2006,"Region 1","Longline",0.305882352941176
2007,"Region 1","Longline",0.311764705882353
2008,"Region 1","Longline",0.317647058823529
2009,"Region 1","Longline",0.323529411764706
2010,"Region 1","Longline",0.329411764705882
2011,"Region 1","Longline",0.335294117647059
2012,"Region 1","Longline",0.341176470588235
2013,"Region 1","Longline",0.347058823529412
2014,"Region 1","Longline",0.352941176470588
2015,"Region 1","Longline",0.358823529411765
2016,"Region 1","Longline",0.364705882352941
2017,"Region 1","Longline",0.370588235294118
2018,"Region 1","Longline",0.376470588235294
2019,"Region 1","Longline",0.382352941176471
2020,"Region 1","Longline",0.388235294117647
2021,"Region 1","Longline",0.394117647058824
2022,"Region 1","Longline",0.4
1954,"Region 2","Longline",0
1955,"Region 2","Longline",0.00470588235294118
1956,"Region 2","Longline",0.00941176470588235
1957,"Region 2","Longline",0.0141176470588235
1958,"Region 2","Longline",0.0188235294117647
1959,"Region 2","Longline",0.0235294117647059
1960,"Region 2","Longline",0.0282352941176471
1961,"Region 2","Longline",0.0329411764705882
1962,"Region 2","Longline",0.0376470588235294
1963,"Region 2","Longline",0.0423529411764706
1964,"Region 2","Longline",0.0470588235294118
1965,"Region 2","Longline",0.0517647058823529
1966,"Region 2","Longline",0.0564705882352941
1967,"Region 2","Longline",0.0611764705882353
1968,"Region 2","Longline",0.0658823529411765
1969,"Region 2","Longline",0.0705882352941177
1970,"Region 2","Longline",0.0752941176470588
1971,"Region 2","Longline",0.08
1972,"Region 2","Longline",0.0847058823529412
1973,"Region 2","Longline",0.0894117647058824
1974,"Region 2","Longline",0.0941176470588235
1975,"Region 2","Longline",0.0988235294117647
1976,"Region 2","Longline",0.103529411764706
1977,"Region 2","Longline",0.108235294117647
1978,"Region 2","Longline",0.112941176470588
1979,"Region 2","Longline",0.117647058823529
1980,"Region 2","Longline",0.122352941176471
1981,"Region 2","Longline",0.127058823529412
1982,"Region 2","Longline",0.131764705882353
1983,"Region 2","Longline",0.136470588235294
1984,"Region 2","Longline",0.141176470588235
1985,"Region 2","Longline",0.145882352941176
1986,"Region 2","Longline",0.150588235294118
1987,"Region 2","Longline",0.155294117647059
1988,"Region 2","Longline",0.16
1989,"Region 2","Longline",0.164705882352941
1990,"Region 2","Longline",0.169411764705882
1991,"Region 2","Longline",0.174117647058824
1992,"Region 2","Longline",0.178823529411765
1993,"Region 2","Longline",0.183529411764706
1994,"Region 2","Longline",0.188235294117647
1995,"Region 2","Longline",0.192941176470588
1996,"Region 2","Longline",0.197647058823529
1997,"Region 2","Longline",0.202352941176471
1998,"Region 2","Longline",0.207058823529412
1999,"Region 2","Longline",0.211764705882353
2000,"Region 2","Longline",0.216470588235294
2001,"Region 2","Longline",0.221176470588235
2002,"Region 2","Longline",0.225882352941177
2003,"Region 2","Longline",0.230588235294118
2004,"Region 2","Longline",0.235294117647059
2005,"Region 2","Longline",0.24
2006,"Region 2","Longline",0.244705882352941
2007,"Region 2","Longline",0.249411764705882
2008,"Region 2","Longline",0.254117647058824
2009,"Region 2","Longline",0.258823529411765
2010,"Region 2","Longline",0.263529411764706
2011,"Region 2","Longline",0.268235294117647
2012,"Region 2","Longline",0.272941176470588
2013,"Region 2","Longline",0.277647058823529
2014,"Region 2","Longline",0.282352941176471
2015,"Region 2","Longline",0.287058823529412
2016,"Region 2","Longline",0.291764705882353
2017,"Region 2","Longline",0.296470588235294
2018,"Region 2","Longline",0.301176470588235
2019,"Region 2","Longline",0.305882352941176
2020,"Region 2","Longline",0.310588235294118
2021,"Region 2","Longline",0.315294117647059
2022,"Region 2","Longline",0.32
1954,"Region 1","Other",0
1955,"Region 1","Other",0.00147058823529412
1956,"Region 1","Other",0.00294117647058824
1957,"Region 1","Other",0.00441176470588235
1958,"Region 1","Other",0.00588235294117647
1959,"Region 1","Other",0.00735294117647059
1960,"Region 1","Other",0.00882352941176471
1961,"Region 1","Other",0.0102941176470588
1962,"Region 1","Other",0.0117647058823529
1963,"Region 1","Other",0.0132352941176471
1964,"Region 1","Other",0.0147058823529412
1965,"Region 1","Other",0.0161764705882353
1966,"Region 1","Other",0.0176470588235294
1967,"Region 1","Other",0.0191176470588235
1968,"Region 1","Other",0.0205882352941176
1969,"Region 1","Other",0.0220588235294118
1970,"Region 1","Other",0.0235294117647059
1971,"Region 1","Other",0.025
1972,"Region 1","Other",0.0264705882352941
1973,"Region 1","Other",0.0279411764705882
1974,"Region 1","Other",0.0294117647058824
1975,"Region 1","Other",0.0308823529411765
1976,"Region 1","Other",0.0323529411764706
1977,"Region 1","Other",0.0338235294117647
1978,"Region 1","Other",0.0352941176470588
1979,"Region 1","Other",0.0367647058823529
1980,"Region 1","Other",0.0382352941176471
1981,"Region 1","Other",0.0397058823529412
1982,"Region 1","Other",0.0411764705882353
1983,"Region 1","Other",0.0426470588235294
1984,"Region 1","Other",0.0441176470588235
1985,"Region 1","Other",0.0455882352941177
1986,"Region 1","Other",0.0470588235294118
1987,"Region 1","Other",0.0485294117647059
1988,"Region 1","Other",0.05
1989,"Region 1","Other",0.0514705882352941
1990,"Region 1","Other",0.0529411764705882
1991,"Region 1","Other",0.0544117647058824
1992,"Region 1","Other",0.0558823529411765
1993,"Region 1","Other",0.0573529411764706
