"year","stage","region","value"
1954,"Juvenile","Region 1",0.013
1955,"Juvenile","Region 1",0.0156
1956,"Juvenile","Region 1",0.0182
1957,"Juvenile","Region 1",0.0208
1958,"Juvenile","Region 1",0.0234
1959,"Juvenile","Region 1",0.026
1960,"Juvenile","Region 1",0.0286
1961,"Juvenile","Region 1",0.0312
1962,"Juvenile","Region 1",0.0338
1963,"Juvenile","Region 1",0.0364
1964,"Juvenile","Region 1",0.039
1965,"Juvenile","Region 1",0.0416
1966,"Juvenile","Region 1",0.0442
1967,"Juvenile","Region 1",0.0468
1968,"Juvenile","Region 1",0.0494
1969,"Juvenile","Region 1",0.052
1970,"Juvenile","Region 1",0.0546
1971,"Juvenile","Region 1",0.0572
1972,"Juvenile","Region 1",0.0598
1973,"Juvenile","Region 1",0.0624
1974,"Juvenile","Region 1",0.065
1975,"Juvenile","Region 1",0.0676
1976,"Juvenile","Region 1",0.0702
1977,"Juvenile","Region 1",0.0728
1978,"Juvenile","Region 1",0.0754
1979,"Juvenile","Region 1",0.078
1980,"Juvenile","Region 1",0.0806
1981,"Juvenile","Region 1",0.0832
1982,"Juvenile","Region 1",0.0858
1983,"Juvenile","Region 1",0.0884
1984,"Juvenile","Region 1",0.091
1985,"Juvenile","Region 1",0.0936
1986,"Juvenile","Region 1",0.0962
1987,"Juvenile","Region 1",0.0988
1988,"Juvenile","Region 1",0.1014
1989,"Juvenile","Region 1",0.104
1990,"Juvenile","Region 1",0.1066
1991,"Juvenile","Region 1",0.1092
1992,"Juvenile","Region 1",0.1118
1993,"Juvenile","Region 1",0.1144
1994,"Juvenile","Region 1",0.117
1995,"Juvenile","Region 1",0.1196
1996,"Juvenile","Region 1",0.1222
1997,"Juvenile","Region 1",0.1248
1998,"Juvenile","Region 1",0.1274
1999,"Juvenile","Region 1",0.13
2000,"Juvenile","Region 1",0.1326
2001,"Juvenile","Region 1",0.1352
2002,"Juvenile","Region 1",0.1378
2003,"Juvenile","Region 1",0.1404
2004,"Juvenile","Region 1",0.143
2005,"Juvenile","Region 1",0.1456
2006,"Juvenile","Region 1",0.1482
2007,"Juvenile","Region 1",0.1508
2008,"Juvenile","Region 1",0.1534
2009,"Juvenile","Region 1",0.156
2010,"Juvenile","Region 1",0.1586
2011,"Juvenile","Region 1",0.1612
2012,"Juvenile","Region 1",0.1638
2013,"Juvenile","Region 1",0.1664
2014,"Juvenile","Region 1",0.169
2015,"Juvenile","Region 1",0.1716
2016,"Juvenile","Region 1",0.1742
2017,"Juvenile","Region 1",0.1768
2018,"Juvenile","Region 1",0.1794
2019,"Juvenile","Region 1",0.182
2020,"Juvenile","Region 1",0.1846
2021,"Juvenile","Region 1",0.1872
2022,"Juvenile","Region 1",0.1898
1954,"Adult","Region 1",0.02
1955,"Adult","Region 1",0.024
1956,"Adult","Region 1",0.028
1957,"Adult","Region 1",0.032
1958,"Adult","Region 1",0.036
1959,"Adult","Region 1",0.04
1960,"Adult","Region 1",0.044
1961,"Adult","Region 1",0.048
1962,"Adult","Region 1",0.052
1963,"Adult","Region 1",0.056
1964,"Adult","Region 1",0.06
1965,"Adult","Region 1",0.064
1966,"Adult","Region 1",0.068
1967,"Adult","Region 1",0.072
1968,"Adult","Region 1",0.076
1969,"Adult","Region 1",0.08
1970,"Adult","Region 1",0.084
1971,"Adult","Region 1",0.088
1972,"Adult","Region 1",0.092
1973,"Adult","Region 1",0.096
1974,"Adult","Region 1",0.1
1975,"Adult","Region 1",0.104
1976,"Adult","Region 1",0.108
1977,"Adult","Region 1",0.112
1978,"Adult","Region 1",0.116
1979,"Adult","Region 1",0.12
1980,"Adult","Region 1",0.124
1981,"Adult","Region 1",0.128
1982,"Adult","Region 1",0.132
1983,"Adult","Region 1",0.136
1984,"Adult","Region 1",0.14
1985,"Adult","Region 1",0.144
1986,"Adult","Region 1",0.148
1987,"Adult","Region 1",0.152
1988,"Adult","Region 1",0.156
1989,"Adult","Region 1",0.16
1990,"Adult","Region 1",0.164
1991,"Adult","Region 1",0.168
1992,"Adult","Region 1",0.172
1993,"Adult","Region 1",0.176
1994,"Adult","Region 1",0.18
1995,"Adult","Region 1",0.184
1996,"Adult","Region 1",0.188
1997,"Adult","Region 1",0.192
1998,"Adult","Region 1",0.196
1999,"Adult","Region 1",0.2
2000,"Adult","Region 1",0.204
2001,"Adult","Region 1",0.208
2002,"Adult","Region 1",0.212
2003,"Adult","Region 1",0.216
2004,"Adult","Region 1",0.22
2005,"Adult","Region 1",0.224
2006,"Adult","Region 1",0.228
2007,"Adult","Region 1",0.232
2008,"Adult","Region 1",0.236
2009,"Adult","Region 1",0.24
2010,"Adult","Region 1",0.244
2011,"Adult","Region 1",0.248
2012,"Adult","Region 1",0.252
2013,"Adult","Region 1",0.256
2014,"Adult","Region 1",0.26
2015,"Adult","Region 1",0.264
2016,"Adult","Region 1",0.268
2017,"Adult","Region 1",0.272
2018,"Adult","Region 1",0.276
2019,"Adult","Region 1",0.28
2020,"Adult","Region 1",0.284
2021,"Adult","Region 1",0.288
2022,"Adult","Region 1",0.292
1954,"Juvenile","Region 2",0.0104
1955,"Juvenile","Region 2",0.01248
1956,"Juvenile","Region 2",0.01456
1957,"Juvenile","Region 2",0.01664
1958,"Juvenile","Region 2",0.01872
1959,"Juvenile","Region 2",0.0208
1960,"Juvenile","Region 2",0.02288
1961,"Juvenile","Region 2",0.02496
1962,"Juvenile","Region 2",0.02704
1963,"Juvenile","Region 2",0.02912
1964,"Juvenile","Region 2",0.0312
1965,"Juvenile","Region 2",0.03328
1966,"Juvenile","Region 2",0.03536
1967,"Juvenile","Region 2",0.03744
1968,"Juvenile","Region 2",0.03952
1969,"Juvenile","Region 2",0.0416
1970,"Juvenile","Region 2",0.04368
1971,"Juvenile","Region 2",0.04576
1972,"Juvenile","Region 2",0.04784
1973,"Juvenile","Region 2",0.04992
1974,"Juvenile","Region 2",0.052
1975,"Juvenile","Region 2",0.05408
1976,"Juvenile","Region 2",0.05616
1977,"Juvenile","Region 2",0.05824
1978,"Juvenile","Region 2",0.06032
1979,"Juvenile","Region 2",0.0624
1980,"Juvenile","Region 2",0.06448
1981,"Juvenile","Region 2",0.06656
1982,"Juvenile","Region 2",0.06864
1983,"Juvenile","Region 2",0.07072
1984,"Juvenile","Region 2",0.0728
1985,"Juvenile","Region 2",0.07488
1986,"Juvenile","Region 2",0.07696
1987,"Juvenile","Region 2",0.07904
1988,"Juvenile","Region 2",0.08112
1989,"Juvenile","Region 2",0.0832
1990,"Juvenile","Region 2",0.08528
1991,"Juvenile","Region 2",0.08736
1992,"Juvenile","Region 2",0.08944
1993,"Juvenile","Region 2",0.09152
1994,"Juvenile","Region 2",0.0936
1995,"Juvenile","Region 2",0.09568
1996,"Juvenile","Region 2",0.09776
1997,"Juvenile","Region 2",0.09984
1998,"Juvenile","Region 2",0.10192
1999,"Juvenile","Region 2",0.104
2000,"Juvenile","Region 2",0.10608
2001,"Juvenile","Region 2",0.10816
2002,"Juvenile","Region 2",0.11024
2003,"Juvenile","Region 2",0.11232
2004,"Juvenile","Region 2",0.1144
2005,"Juvenile","Region 2",0.11648
2006,"Juvenile","Region 2",0.11856
2007,"Juvenile","Region 2",0.12064
2008,"Juvenile","Region 2",0.12272
2009,"Juvenile","Region 2",0.1248
2010,"Juvenile","Region 2",0.12688
2011,"Juvenile","Region 2",0.12896
2012,"Juvenile","Region 2",0.13104
2013,"Juvenile","Region 2",0.13312
2014,"Juvenile","Region 2",0.1352
2015,"Juvenile","Region 2",0.13728
2016,"Juvenile","Region 2",0.13936
2017,"Juvenile","Region 2",0.14144
2018,"Juvenile","Region 2",0.14352
2019,"Juvenile","Region 2",0.1456
2020,"Juvenile","Region 2",0.14768
2021,"Juvenile","Region 2",0.14976
2022,"Juvenile","Region 2",0.15184
1954,"Adult","Region 2",0.016
1955,"Adult","Region 2",0.0192
1956,"Adult","Region 2",0.0224
1957,"Adult","Region 2",0.0256
1958,"Adult","Region 2",0.0288
1959,"Adult","Region 2",0.032
1960,"Adult","Region 2",0.0352
1961,"Adult","Region 2",0.0384
1962,"Adult","Region 2",0.0416
1963,"Adult","Region 2",0.0448
1964,"Adult","Region 2",0.048
1965,"Adult","Region 2",0.0512
1966,"Adult","Region 2",0.0544
1967,"Adult","Region 2",0.0576
1968,"Adult","Region 2",0.0608
1969,"Adult","Region 2",0.064
1970,"Adult","Region 2",0.0672
1971,"Adult","Region 2",0.0704
1972,"Adult","Region 2",0.0736
1973,"Adult","Region 2",0.0768
1974,"Adult","Region 2",0.08
1975,"Adult","Region 2",0.0832
1976,"Adult","Region 2",0.0864
1977,"Adult","Region 2",0.0896
1978,"Adult","Region 2",0.0928
1979,"Adult","Region 2",0.096
1980,"Adult","Region 2",0.0992
1981,"Adult","Region 2",0.1024
1982,"Adult","Region 2",0.1056
1983,"Adult","Region 2",0.1088
1984,"Adult","Region 2",0.112
1985,"Adult","Region 2",0.1152
1986,"Adult","Region 2",0.1184
1987,"Adult","Region 2",0.1216
1988,"Adult","Region 2",0.1248
1989,"Adult","Region 2",0.128
1990,"Adult","Region 2",0.1312
1991,"Adult","Region 2",0.1344
1992,"Adult","Region 2",0.1376
1993,"Adult","Region 2",0.1408
1994,"Adult","Region 2",0.144
1995,"Adult","Region 2",0.1472
1996,"Adult","Region 2",0.1504
1997,"Adult","Region 2",0.1536
1998,"Adult","Region 2",0.1568
1999,"Adult","Region 2",0.16
2000,"Adult","Region 2",0.1632
2001,"Adult","Region 2",0.1664
2002,"Adult","Region 2",0.1696
2003,"Adult","Region 2",0.1728
2004,"Adult","Region 2",0.176
2005,"Adult","Region 2",0.1792
2006,"Adult","Region 2",0.1824
2007,"Adult","Region 2",0.1856
