"bin","group","scope","observed","predicted","bin_unit","unit"
20,"Fishery A","fishery",0.00626010731913162,0.00110457331434588,"cm","probability"
25,"Fishery A","fishery",0.0143432430146083,0.00378898437566294,"cm","probability"
30,"Fishery A","fishery",0.0289279881188244,0.010925787122379,"cm","probability"
35,"Fishery A","fishery",0.0513563795531672,0.0264840443820676,"cm","probability"
40,"Fishery A","fishery",0.0802556959257741,0.0539656648607882,"cm","probability"
45,"Fishery A","fishery",0.110398361006809,0.0924383977940567,"cm","probability"
50,"Fishery A","fishery",0.133676381880132,0.133103335634313,"cm","probability"
55,"Fishery A","fishery",0.142479385857655,0.161111715334521,"cm","probability"
60,"Fishery A","fishery",0.133676381880132,0.163933215042475,"cm","probability"
65,"Fishery A","fishery",0.110398361006809,0.140219509477064,"cm","probability"
70,"Fishery A","fishery",0.0802556959257741,0.10082113521631,"cm","probability"
75,"Fishery A","fishery",0.0513563795531672,0.0609391476164732,"cm","probability"
80,"Fishery A","fishery",0.0289279881188244,0.0309629848162471,"cm","probability"
85,"Fishery A","fishery",0.0143432430146083,0.0132248549315281,"cm","probability"
90,"Fishery A","fishery",0.00626010731913162,0.0047483275099156,"cm","probability"
95,"Fishery A","fishery",0.00240503552686794,0.00143315138632604,"cm","probability"
100,"Fishery A","fishery",0.000813329471171173,0.0003636177896024,"cm","probability"
20,"Fishery B","fishery",0.00626010731913162,0.00110457331434588,"cm","probability"
25,"Fishery B","fishery",0.0143432430146083,0.00378898437566294,"cm","probability"
30,"Fishery B","fishery",0.0289279881188244,0.010925787122379,"cm","probability"
35,"Fishery B","fishery",0.0513563795531672,0.0264840443820676,"cm","probability"
40,"Fishery B","fishery",0.0802556959257741,0.0539656648607882,"cm","probability"
45,"Fishery B","fishery",0.110398361006809,0.0924383977940567,"cm","probability"
50,"Fishery B","fishery",0.133676381880132,0.133103335634313,"cm","probability"
55,"Fishery B","fishery",0.142479385857655,0.161111715334521,"cm","probability"
60,"Fishery B","fishery",0.133676381880132,0.163933215042475,"cm","probability"
65,"Fishery B","fishery",0.110398361006809,0.140219509477064,"cm","probability"
70,"Fishery B","fishery",0.0802556959257741,0.10082113521631,"cm","probability"
75,"Fishery B","fishery",0.0513563795531672,0.0609391476164732,"cm","probability"
80,"Fishery B","fishery",0.0289279881188244,0.0309629848162471,"cm","probability"
85,"Fishery B","fishery",0.0143432430146083,0.0132248549315281,"cm","probability"
90,"Fishery B","fishery",0.00626010731913162,0.0047483275099156,"cm","probability"
95,"Fishery B","fishery",0.00240503552686794,0.00143315138632604,"cm","probability"
100,"Fishery B","fishery",0.000813329471171173,0.0003636177896024,"cm","probability"
20,"Fishery A","region",0.00626010731913162,0.00110457331434588,"cm","probability"
25,"Fishery A","region",0.0143432430146083,0.00378898437566294,"cm","probability"
30,"Fishery A","region",0.0289279881188244,0.010925787122379,"cm","probability"
35,"Fishery A","region",0.0513563795531672,0.0264840443820676,"cm","probability"
40,"Fishery A","region",0.0802556959257741,0.0539656648607882,"cm","probability"
45,"Fishery A","region",0.110398361006809,0.0924383977940567,"cm","probability"
50,"Fishery A","region",0.133676381880132,0.133103335634313,"cm","probability"
55,"Fishery A","region",0.142479385857655,0.161111715334521,"cm","probability"
60,"Fishery A","region",0.133676381880132,0.163933215042475,"cm","probability"
65,"Fishery A","region",0.110398361006809,0.140219509477064,"cm","probability"
70,"Fishery A","region",0.0802556959257741,0.10082113521631,"cm","probability"
75,"Fishery A","region",0.0513563795531672,0.0609391476164732,"cm","probability"
80,"Fishery A","region",0.0289279881188244,0.0309629848162471,"cm","probability"
85,"Fishery A","region",0.0143432430146083,0.0132248549315281,"cm","probability"
90,"Fishery A","region",0.00626010731913162,0.0047483275099156,"cm","probability"
95,"Fishery A","region",0.00240503552686794,0.00143315138632604,"cm","probability"
100,"Fishery A","region",0.000813329471171173,0.0003636177896024,"cm","probability"
20,"Fishery B","region",0.00626010731913162,0.00110457331434588,"cm","probability"
25,"Fishery B","region",0.0143432430146083,0.00378898437566294,"cm","probability"
30,"Fishery B","region",0.0289279881188244,0.010925787122379,"cm","probability"
35,"Fishery B","region",0.0513563795531672,0.0264840443820676,"cm","probability"
40,"Fishery B","region",0.0802556959257741,0.0539656648607882,"cm","probability"
45,"Fishery B","region",0.110398361006809,0.0924383977940567,"cm","probability"
50,"Fishery B","region",0.133676381880132,0.133103335634313,"cm","probability"
55,"Fishery B","region",0.142479385857655,0.161111715334521,"cm","probability"
60,"Fishery B","region",0.133676381880132,0.163933215042475,"cm","probability"
65,"Fishery B","region",0.110398361006809,0.140219509477064,"cm","probability"
70,"Fishery B","region",0.0802556959257741,0.10082113521631,"cm","probability"
75,"Fishery B","region",0.0513563795531672,0.0609391476164732,"cm","probability"
80,"Fishery B","region",0.0289279881188244,0.0309629848162471,"cm","probability"
85,"Fishery B","region",0.0143432430146083,0.0132248549315281,"cm","probability"
90,"Fishery B","region",0.00626010731913162,0.0047483275099156,"cm","probability"
95,"Fishery B","region",0.00240503552686794,0.00143315138632604,"cm","probability"
100,"Fishery B","region",0.000813329471171173,0.0003636177896024,"cm","probability"
