"length","region","type","value"
30,"Region 1","Observed",1.5930751236379e-05
32,"Region 1","Observed",3.10288664826692e-05
34,"Region 1","Observed",5.87803042441475e-05
36,"Region 1","Observed",0.000108301385605808
38,"Region 1","Observed",0.000194076280726656
40,"Region 1","Observed",0.000338257296099802
42,"Region 1","Observed",0.000573400608542069
44,"Region 1","Observed",0.000945377779935708
46,"Region 1","Observed",0.00151596402689259
48,"Region 1","Observed",0.00236433311786828
50,"Region 1","Observed",0.00358644933208895
52,"Region 1","Observed",0.00529123436503004
54,"Region 1","Observed",0.00759251329561282
56,"Region 1","Observed",0.0105962058929886
58,"Region 1","Observed",0.0143830662245792
60,"Region 1","Observed",0.0189884203052598
62,"Region 1","Observed",0.0243816142947032
64,"Region 1","Observed",0.0304489514363754
66,"Region 1","Observed",0.0369843926144084
68,"Region 1","Observed",0.0436918973285426
70,"Region 1","Observed",0.0502018339036673
72,"Region 1","Observed",0.05610150667316
74,"Region 1","Observed",0.0609769547872998
76,"Region 1","Observed",0.0644604306966452
78,"Region 1","Observed",0.0662760990857891
80,"Region 1","Observed",0.0662760990857891
82,"Region 1","Observed",0.0644604306966452
84,"Region 1","Observed",0.0609769547872998
86,"Region 1","Observed",0.05610150667316
88,"Region 1","Observed",0.0502018339036673
90,"Region 1","Observed",0.0436918973285426
92,"Region 1","Observed",0.0369843926144084
94,"Region 1","Observed",0.0304489514363754
96,"Region 1","Observed",0.0243816142947032
98,"Region 1","Observed",0.0189884203052598
100,"Region 1","Observed",0.0143830662245792
102,"Region 1","Observed",0.0105962058929886
104,"Region 1","Observed",0.00759251329561282
106,"Region 1","Observed",0.00529123436503004
108,"Region 1","Observed",0.00358644933208895
110,"Region 1","Observed",0.00236433311786828
112,"Region 1","Observed",0.00151596402689259
114,"Region 1","Observed",0.000945377779935708
116,"Region 1","Observed",0.000573400608542069
118,"Region 1","Observed",0.000338257296099802
120,"Region 1","Observed",0.000194076280726656
30,"Region 2","Observed",1.5930751236379e-05
32,"Region 2","Observed",3.10288664826692e-05
34,"Region 2","Observed",5.87803042441475e-05
36,"Region 2","Observed",0.000108301385605808
38,"Region 2","Observed",0.000194076280726656
40,"Region 2","Observed",0.000338257296099802
42,"Region 2","Observed",0.000573400608542069
44,"Region 2","Observed",0.000945377779935708
46,"Region 2","Observed",0.00151596402689259
48,"Region 2","Observed",0.00236433311786828
50,"Region 2","Observed",0.00358644933208895
52,"Region 2","Observed",0.00529123436503004
54,"Region 2","Observed",0.00759251329561282
56,"Region 2","Observed",0.0105962058929886
58,"Region 2","Observed",0.0143830662245792
60,"Region 2","Observed",0.0189884203052598
62,"Region 2","Observed",0.0243816142947032
