"year","fishery","type","value"
1980,"Fishery 7","Observed",75.2482330439053
1981,"Fishery 7","Observed",75.1021299976727
1982,"Fishery 7","Observed",74.0267774325482
1983,"Fishery 7","Observed",72.6141689304652
1984,"Fishery 7","Observed",71.7425545054811
1985,"Fishery 7","Observed",71.7755432863105
1986,"Fishery 7","Observed",72.2346338893928
1987,"Fishery 7","Observed",72.2461399529282
1988,"Fishery 7","Observed",71.3515004246921
1989,"Fishery 7","Observed",69.935869094683
1990,"Fishery 7","Observed",68.8808310466073
1991,"Fishery 7","Observed",68.7604304181921
1992,"Fishery 7","Observed",69.3195755820929
1993,"Fishery 7","Observed",69.7142772018488
1994,"Fishery 7","Observed",69.2927563308768
1995,"Fishery 7","Observed",68.1991950346891
1996,"Fishery 7","Observed",67.2449736517647
1997,"Fishery 7","Observed",67.1657193015364
1998,"Fishery 7","Observed",67.9471845663777
1999,"Fishery 7","Observed",68.8397058787215
2000,"Fishery 7","Observed",69.0479274262489
2001,"Fishery 7","Observed",68.4616540030868
2002,"Fishery 7","Observed",67.7558962083507
2003,"Fishery 7","Observed",67.7681466809308
2004,"Fishery 7","Observed",68.7254498436027
2005,"Fishery 7","Observed",70.0319395997318
2006,"Fishery 7","Observed",70.8122398735949
2007,"Fishery 7","Observed",70.7111972658804
2008,"Fishery 7","Observed",70.2147546442907
2009,"Fishery 7","Observed",70.197044179992
2010,"Fishery 7","Observed",71.110196112107
2011,"Fishery 7","Observed",72.5618510393164
2012,"Fishery 7","Observed",73.6689151205264
2013,"Fishery 7","Observed",73.8624261773768
2014,"Fishery 7","Observed",73.4036504709669
2015,"Fishery 7","Observed",73.1370224581058
2016,"Fishery 7","Observed",73.7071805184616
2017,"Fishery 7","Observed",74.9600553090016
2018,"Fishery 7","Observed",76.0787446315538
2019,"Fishery 7","Observed",76.3293422159236
2020,"Fishery 7","Observed",75.7310904456774
2021,"Fishery 7","Observed",75.034793440632
2022,"Fishery 7","Observed",75.0293981973457
1980,"Fishery 8","Observed",77.2482330439053
1981,"Fishery 8","Observed",77.1021299976727
1982,"Fishery 8","Observed",76.0267774325482
1983,"Fishery 8","Observed",74.6141689304652
1984,"Fishery 8","Observed",73.7425545054811
1985,"Fishery 8","Observed",73.7755432863105
1986,"Fishery 8","Observed",74.2346338893928
1987,"Fishery 8","Observed",74.2461399529282
1988,"Fishery 8","Observed",73.3515004246921
1989,"Fishery 8","Observed",71.935869094683
1990,"Fishery 8","Observed",70.8808310466073
1991,"Fishery 8","Observed",70.7604304181921
1992,"Fishery 8","Observed",71.3195755820929
1993,"Fishery 8","Observed",71.7142772018488
1994,"Fishery 8","Observed",71.2927563308768
1995,"Fishery 8","Observed",70.1991950346891
1996,"Fishery 8","Observed",69.2449736517647
1997,"Fishery 8","Observed",69.1657193015364
1998,"Fishery 8","Observed",69.9471845663777
1999,"Fishery 8","Observed",70.8397058787215
2000,"Fishery 8","Observed",71.0479274262489
2001,"Fishery 8","Observed",70.4616540030868
2002,"Fishery 8","Observed",69.7558962083507
2003,"Fishery 8","Observed",69.7681466809308
2004,"Fishery 8","Observed",70.7254498436027
2005,"Fishery 8","Observed",72.0319395997318
2006,"Fishery 8","Observed",72.8122398735949
2007,"Fishery 8","Observed",72.7111972658804
2008,"Fishery 8","Observed",72.2147546442907
2009,"Fishery 8","Observed",72.197044179992
2010,"Fishery 8","Observed",73.110196112107
2011,"Fishery 8","Observed",74.5618510393164
2012,"Fishery 8","Observed",75.6689151205264
2013,"Fishery 8","Observed",75.8624261773768
2014,"Fishery 8","Observed",75.4036504709669
2015,"Fishery 8","Observed",75.1370224581058
2016,"Fishery 8","Observed",75.7071805184616
2017,"Fishery 8","Observed",76.9600553090016
2018,"Fishery 8","Observed",78.0787446315538
2019,"Fishery 8","Observed",78.3293422159236
2020,"Fishery 8","Observed",77.7310904456774
2021,"Fishery 8","Observed",77.034793440632
2022,"Fishery 8","Observed",77.0293981973457
1980,"Fishery 9","Observed",79.2482330439053
1981,"Fishery 9","Observed",79.1021299976727
1982,"Fishery 9","Observed",78.0267774325482
1983,"Fishery 9","Observed",76.6141689304652
1984,"Fishery 9","Observed",75.7425545054811
1985,"Fishery 9","Observed",75.7755432863105
1986,"Fishery 9","Observed",76.2346338893928
1987,"Fishery 9","Observed",76.2461399529282
1988,"Fishery 9","Observed",75.3515004246921
1989,"Fishery 9","Observed",73.935869094683
1990,"Fishery 9","Observed",72.8808310466073
1991,"Fishery 9","Observed",72.7604304181921
1992,"Fishery 9","Observed",73.3195755820929
1993,"Fishery 9","Observed",73.7142772018488
1994,"Fishery 9","Observed",73.2927563308768
1995,"Fishery 9","Observed",72.1991950346891
1996,"Fishery 9","Observed",71.2449736517647
1997,"Fishery 9","Observed",71.1657193015364
1998,"Fishery 9","Observed",71.9471845663777
1999,"Fishery 9","Observed",72.8397058787215
2000,"Fishery 9","Observed",73.0479274262489
2001,"Fishery 9","Observed",72.4616540030868
2002,"Fishery 9","Observed",71.7558962083507
2003,"Fishery 9","Observed",71.7681466809308
2004,"Fishery 9","Observed",72.7254498436027
2005,"Fishery 9","Observed",74.0319395997318
2006,"Fishery 9","Observed",74.8122398735949
2007,"Fishery 9","Observed",74.7111972658804
2008,"Fishery 9","Observed",74.2147546442907
2009,"Fishery 9","Observed",74.197044179992
2010,"Fishery 9","Observed",75.110196112107
2011,"Fishery 9","Observed",76.5618510393164
2012,"Fishery 9","Observed",77.6689151205264
2013,"Fishery 9","Observed",77.8624261773768
2014,"Fishery 9","Observed",77.4036504709669
2015,"Fishery 9","Observed",77.1370224581058
2016,"Fishery 9","Observed",77.7071805184616
2017,"Fishery 9","Observed",78.9600553090016
2018,"Fishery 9","Observed",80.0787446315538
2019,"Fishery 9","Observed",80.3293422159236
2020,"Fishery 9","Observed",79.7310904456774
2021,"Fishery 9","Observed",79.034793440632
2022,"Fishery 9","Observed",79.0293981973457
1980,"Fishery 10","Observed",81.2482330439053
1981,"Fishery 10","Observed",81.1021299976727
1982,"Fishery 10","Observed",80.0267774325482
1983,"Fishery 10","Observed",78.6141689304652
1984,"Fishery 10","Observed",77.7425545054811
1985,"Fishery 10","Observed",77.7755432863105
1986,"Fishery 10","Observed",78.2346338893928
1987,"Fishery 10","Observed",78.2461399529282
1988,"Fishery 10","Observed",77.3515004246921
1989,"Fishery 10","Observed",75.935869094683
1990,"Fishery 10","Observed",74.8808310466073
1991,"Fishery 10","Observed",74.7604304181921
1992,"Fishery 10","Observed",75.3195755820929
1993,"Fishery 10","Observed",75.7142772018488
1994,"Fishery 10","Observed",75.2927563308768
1995,"Fishery 10","Observed",74.1991950346891
1996,"Fishery 10","Observed",73.2449736517647
1997,"Fishery 10","Observed",73.1657193015364
1998,"Fishery 10","Observed",73.9471845663777
1999,"Fishery 10","Observed",74.8397058787215
2000,"Fishery 10","Observed",75.0479274262489
2001,"Fishery 10","Observed",74.4616540030868
2002,"Fishery 10","Observed",73.7558962083507
2003,"Fishery 10","Observed",73.7681466809308
2004,"Fishery 10","Observed",74.7254498436027
2005,"Fishery 10","Observed",76.0319395997318
2006,"Fishery 10","Observed",76.8122398735949
2007,"Fishery 10","Observed",76.7111972658804
2008,"Fishery 10","Observed",76.2147546442907
2009,"Fishery 10","Observed",76.197044179992
2010,"Fishery 10","Observed",77.110196112107
2011,"Fishery 10","Observed",78.5618510393164
2012,"Fishery 10","Observed",79.6689151205264
2013,"Fishery 10","Observed",79.8624261773768
2014,"Fishery 10","Observed",79.4036504709669
2015,"Fishery 10","Observed",79.1370224581058
2016,"Fishery 10","Observed",79.7071805184616
2017,"Fishery 10","Observed",80.9600553090016
2018,"Fishery 10","Observed",82.0787446315538
2019,"Fishery 10","Observed",82.3293422159236
2020,"Fishery 10","Observed",81.7310904456774
2021,"Fishery 10","Observed",81.034793440632
2022,"Fishery 10","Observed",81.0293981973457
1980,"Fishery 11","Observed",83.2482330439053
1981,"Fishery 11","Observed",83.1021299976727
1982,"Fishery 11","Observed",82.0267774325482
1983,"Fishery 11","Observed",80.6141689304652
1984,"Fishery 11","Observed",79.7425545054811
1985,"Fishery 11","Observed",79.7755432863105
1986,"Fishery 11","Observed",80.2346338893928
1987,"Fishery 11","Observed",80.2461399529282
1988,"Fishery 11","Observed",79.3515004246921
1989,"Fishery 11","Observed",77.935869094683
1990,"Fishery 11","Observed",76.8808310466073
1991,"Fishery 11","Observed",76.7604304181921
1992,"Fishery 11","Observed",77.3195755820929
1993,"Fishery 11","Observed",77.7142772018488
1994,"Fishery 11","Observed",77.2927563308768
1995,"Fishery 11","Observed",76.1991950346891
1996,"Fishery 11","Observed",75.2449736517647
1997,"Fishery 11","Observed",75.1657193015364
1998,"Fishery 11","Observed",75.9471845663777
1999,"Fishery 11","Observed",76.8397058787215
2000,"Fishery 11","Observed",77.0479274262489
2001,"Fishery 11","Observed",76.4616540030868
2002,"Fishery 11","Observed",75.7558962083507
2003,"Fishery 11","Observed",75.7681466809308
2004,"Fishery 11","Observed",76.7254498436027
2005,"Fishery 11","Observed",78.0319395997318
2006,"Fishery 11","Observed",78.8122398735949
2007,"Fishery 11","Observed",78.7111972658804
2008,"Fishery 11","Observed",78.2147546442907
2009,"Fishery 11","Observed",78.197044179992
2010,"Fishery 11","Observed",79.110196112107
2011,"Fishery 11","Observed",80.5618510393164
2012,"Fishery 11","Observed",81.6689151205264
2013,"Fishery 11","Observed",81.8624261773768
2014,"Fishery 11","Observed",81.4036504709669
2015,"Fishery 11","Observed",81.1370224581058
2016,"Fishery 11","Observed",81.7071805184616
2017,"Fishery 11","Observed",82.9600553090016
2018,"Fishery 11","Observed",84.0787446315538
2019,"Fishery 11","Observed",84.3293422159236
2020,"Fishery 11","Observed",83.7310904456774
2021,"Fishery 11","Observed",83.034793440632
2022,"Fishery 11","Observed",83.0293981973457
1980,"Fishery 12","Observed",85.2482330439053
1981,"Fishery 12","Observed",85.1021299976727
1982,"Fishery 12","Observed",84.0267774325482
1983,"Fishery 12","Observed",82.6141689304652
1984,"Fishery 12","Observed",81.7425545054811
1985,"Fishery 12","Observed",81.7755432863105
1986,"Fishery 12","Observed",82.2346338893928
1987,"Fishery 12","Observed",82.2461399529282
1988,"Fishery 12","Observed",81.3515004246921
1989,"Fishery 12","Observed",79.935869094683
1990,"Fishery 12","Observed",78.8808310466073
1991,"Fishery 12","Observed",78.7604304181921
1992,"Fishery 12","Observed",79.3195755820929
1993,"Fishery 12","Observed",79.7142772018488
1994,"Fishery 12","Observed",79.2927563308768
1995,"Fishery 12","Observed",78.1991950346891
1996,"Fishery 12","Observed",77.2449736517647
1997,"Fishery 12","Observed",77.1657193015364
1998,"Fishery 12","Observed",77.9471845663777
1999,"Fishery 12","Observed",78.8397058787215
2000,"Fishery 12","Observed",79.0479274262489
2001,"Fishery 12","Observed",78.4616540030868
2002,"Fishery 12","Observed",77.7558962083507
2003,"Fishery 12","Observed",77.7681466809308
2004,"Fishery 12","Observed",78.7254498436027
2005,"Fishery 12","Observed",80.0319395997318
2006,"Fishery 12","Observed",80.8122398735949
2007,"Fishery 12","Observed",80.7111972658804
2008,"Fishery 12","Observed",80.2147546442907
2009,"Fishery 12","Observed",80.197044179992
2010,"Fishery 12","Observed",81.110196112107
2011,"Fishery 12","Observed",82.5618510393164
2012,"Fishery 12","Observed",83.6689151205264
2013,"Fishery 12","Observed",83.8624261773768
2014,"Fishery 12","Observed",83.4036504709669
2015,"Fishery 12","Observed",83.1370224581058
2016,"Fishery 12","Observed",83.7071805184616
2017,"Fishery 12","Observed",84.9600553090016
2018,"Fishery 12","Observed",86.0787446315538
2019,"Fishery 12","Observed",86.3293422159236
2020,"Fishery 12","Observed",85.7310904456774
2021,"Fishery 12","Observed",85.034793440632
2022,"Fishery 12","Observed",85.0293981973457
1980,"Fishery 7","Predicted",74.5332301551891
1981,"Fishery 7","Predicted",74.1275218326772
1982,"Fishery 7","Predicted",73.6886142435344
1983,"Fishery 7","Predicted",73.2233563938929
1984,"Fishery 7","Predicted",72.7390084768869
1985,"Fishery 7","Predicted",72.2431285797668
1986,"Fishery 7","Predicted",71.7434547424759
1987,"Fishery 7","Predicted",71.2477842081249
1988,"Fishery 7","Predicted",70.7638517496211
1989,"Fishery 7","Predicted",70.2992089711239
1990,"Fishery 7","Predicted",69.861106467788
1991,"Fishery 7","Predicted",69.4563806826508
1992,"Fishery 7","Predicted",69.0913472262254
1993,"Fishery 7","Predicted",68.7717023235106
1994,"Fishery 7","Predicted",68.5024339263054
1995,"Fishery 7","Predicted",68.2877438778888
1996,"Fishery 7","Predicted",68.1309823446617
1997,"Fishery 7","Predicted",68.0345955379196
1998,"Fishery 7","Predicted",68.0000875415444
1999,"Fishery 7","Predicted",68.0279968412781
2000,"Fishery 7","Predicted",68.1178879218328
2001,"Fishery 7","Predicted",68.2683580629613
2002,"Fishery 7","Predicted",68.4770592284373
2003,"Fishery 7","Predicted",68.7407347063755
2004,"Fishery 7","Predicted",69.0552699291312
2005,"Fishery 7","Predicted",69.4157566797524
2006,"Fishery 7","Predicted",69.8165696830635
2007,"Fishery 7","Predicted",70.2514543862032
2008,"Fishery 7","Predicted",70.71362455883
2009,"Fishery 7","Predicted",71.1958681899768
2010,"Fishery 7","Predicted",71.6906600290702
2011,"Fishery 7","Predicted",72.1902790149485
2012,"Fishery 7","Predicted",72.6869287604391
2013,"Fishery 7","Predicted",73.1728592123722
2014,"Fishery 7","Predicted",73.6404875885692
2015,"Fishery 7","Predicted",74.0825167046219
2016,"Fishery 7","Predicted",74.4920488440146
2017,"Fishery 7","Predicted",74.8626933946838
2018,"Fishery 7","Predicted",75.1886665723816
2019,"Fishery 7","Predicted",75.4648816746945
2020,"Fishery 7","Predicted",75.6870284573335
2021,"Fishery 7","Predicted",75.8516403940544
2022,"Fishery 7","Predicted",75.9561487706405
1980,"Fishery 8","Predicted",76.5332301551891
1981,"Fishery 8","Predicted",76.1275218326772
1982,"Fishery 8","Predicted",75.6886142435344
1983,"Fishery 8","Predicted",75.2233563938929
1984,"Fishery 8","Predicted",74.7390084768869
1985,"Fishery 8","Predicted",74.2431285797668
1986,"Fishery 8","Predicted",73.7434547424759
1987,"Fishery 8","Predicted",73.2477842081249
1988,"Fishery 8","Predicted",72.7638517496211
1989,"Fishery 8","Predicted",72.2992089711239
1990,"Fishery 8","Predicted",71.861106467788
1991,"Fishery 8","Predicted",71.4563806826508
1992,"Fishery 8","Predicted",71.0913472262254
1993,"Fishery 8","Predicted",70.7717023235106
1994,"Fishery 8","Predicted",70.5024339263054
1995,"Fishery 8","Predicted",70.2877438778888
1996,"Fishery 8","Predicted",70.1309823446617
1997,"Fishery 8","Predicted",70.0345955379196
1998,"Fishery 8","Predicted",70.0000875415444
1999,"Fishery 8","Predicted",70.0279968412781
2000,"Fishery 8","Predicted",70.1178879218328
2001,"Fishery 8","Predicted",70.2683580629613
2002,"Fishery 8","Predicted",70.4770592284373
2003,"Fishery 8","Predicted",70.7407347063755
2004,"Fishery 8","Predicted",71.0552699291312
2005,"Fishery 8","Predicted",71.4157566797524
2006,"Fishery 8","Predicted",71.8165696830635
2007,"Fishery 8","Predicted",72.2514543862032
2008,"Fishery 8","Predicted",72.71362455883
2009,"Fishery 8","Predicted",73.1958681899768
2010,"Fishery 8","Predicted",73.6906600290702
2011,"Fishery 8","Predicted",74.1902790149485
2012,"Fishery 8","Predicted",74.6869287604391
2013,"Fishery 8","Predicted",75.1728592123722
2014,"Fishery 8","Predicted",75.6404875885692
2015,"Fishery 8","Predicted",76.0825167046219
2016,"Fishery 8","Predicted",76.4920488440146
2017,"Fishery 8","Predicted",76.8626933946838
2018,"Fishery 8","Predicted",77.1886665723816
2019,"Fishery 8","Predicted",77.4648816746945
2020,"Fishery 8","Predicted",77.6870284573335
2021,"Fishery 8","Predicted",77.8516403940544
2022,"Fishery 8","Predicted",77.9561487706405
1980,"Fishery 9","Predicted",78.5332301551891
1981,"Fishery 9","Predicted",78.1275218326772
1982,"Fishery 9","Predicted",77.6886142435344
1983,"Fishery 9","Predicted",77.2233563938929
1984,"Fishery 9","Predicted",76.7390084768869
1985,"Fishery 9","Predicted",76.2431285797668
1986,"Fishery 9","Predicted",75.7434547424759
1987,"Fishery 9","Predicted",75.2477842081249
1988,"Fishery 9","Predicted",74.7638517496211
1989,"Fishery 9","Predicted",74.2992089711239
1990,"Fishery 9","Predicted",73.861106467788
1991,"Fishery 9","Predicted",73.4563806826508
1992,"Fishery 9","Predicted",73.0913472262254
1993,"Fishery 9","Predicted",72.7717023235106
1994,"Fishery 9","Predicted",72.5024339263054
1995,"Fishery 9","Predicted",72.2877438778888
1996,"Fishery 9","Predicted",72.1309823446617
1997,"Fishery 9","Predicted",72.0345955379196
1998,"Fishery 9","Predicted",72.0000875415444
1999,"Fishery 9","Predicted",72.0279968412781
2000,"Fishery 9","Predicted",72.1178879218328
2001,"Fishery 9","Predicted",72.2683580629613
2002,"Fishery 9","Predicted",72.4770592284373
2003,"Fishery 9","Predicted",72.7407347063755
2004,"Fishery 9","Predicted",73.0552699291312
2005,"Fishery 9","Predicted",73.4157566797524
2006,"Fishery 9","Predicted",73.8165696830635
2007,"Fishery 9","Predicted",74.2514543862032
2008,"Fishery 9","Predicted",74.71362455883
2009,"Fishery 9","Predicted",75.1958681899768
2010,"Fishery 9","Predicted",75.6906600290702
2011,"Fishery 9","Predicted",76.1902790149485
2012,"Fishery 9","Predicted",76.6869287604391
2013,"Fishery 9","Predicted",77.1728592123722
2014,"Fishery 9","Predicted",77.6404875885692
2015,"Fishery 9","Predicted",78.0825167046219
2016,"Fishery 9","Predicted",78.4920488440146
2017,"Fishery 9","Predicted",78.8626933946838
2018,"Fishery 9","Predicted",79.1886665723816
2019,"Fishery 9","Predicted",79.4648816746945
2020,"Fishery 9","Predicted",79.6870284573335
2021,"Fishery 9","Predicted",79.8516403940544
2022,"Fishery 9","Predicted",79.9561487706405
1980,"Fishery 10","Predicted",80.5332301551891
1981,"Fishery 10","Predicted",80.1275218326772
1982,"Fishery 10","Predicted",79.6886142435344
1983,"Fishery 10","Predicted",79.2233563938929
1984,"Fishery 10","Predicted",78.7390084768869
1985,"Fishery 10","Predicted",78.2431285797668
1986,"Fishery 10","Predicted",77.7434547424759
1987,"Fishery 10","Predicted",77.2477842081249
1988,"Fishery 10","Predicted",76.7638517496211
1989,"Fishery 10","Predicted",76.2992089711239
1990,"Fishery 10","Predicted",75.861106467788
1991,"Fishery 10","Predicted",75.4563806826508
1992,"Fishery 10","Predicted",75.0913472262254
1993,"Fishery 10","Predicted",74.7717023235106
