"time","group","predicted","observed","unit","statistic","gear_family"
2001,"Longline",50,51.1597756407533,"cm","Mean","longline"
2002,"Longline",52.4740395925452,47.932959168301,"cm","Mean","longline"
2003,"Longline",54.794255386042,48.3991869878469,"cm","Mean","longline"
2004,"Longline",56.8163876002333,54.5676853021056,"cm","Mean","longline"
2005,"Longline",58.414709848079,62.7340074261514,"cm","Mean","longline"
2006,"Longline",59.4898461935559,66.5977181728622,"cm","Mean","longline"
2007,"Longline",59.9749498660405,63.2837166052294,"cm","Mean","longline"
2008,"Longline",59.8398594687394,56.2575827992336,"cm","Mean","longline"
2009,"Longline",59.0929742682568,52.0101564857908,"cm","Mean","longline"
2010,"Longline",57.7807319688792,53.7559763684404,"cm","Mean","longline"
2011,"Longline",55.9847214410396,58.4810041945818,"cm","Mean","longline"
2012,"Longline",53.8166099205233,60.1582711470946,"cm","Mean","longline"
2013,"Longline",51.4112000805987,55.6653759054174,"cm","Mean","longline"
2014,"Longline",48.9180486546989,47.5277754976457,"cm","Mean","longline"
2015,"Longline",46.4921677231038,41.2171984722734,"cm","Mean","longline"
2016,"Longline",44.2843868125766,40.1134973094892,"cm","Mean","longline"
2017,"Longline",42.4319750469207,42.9277260451828,"cm","Mean","longline"
2018,"Longline",41.0501064177142,45.4346423036052,"cm","Mean","longline"
2019,"Longline",40.224698823349,44.3974186132219,"cm","Mean","longline"
2020,"Longline",40.0070721102462,40.2186070476458,"cm","Mean","longline"
2001,"Other",50,51.1597756407533,"cm","Mean","other"
2002,"Other",52.4740395925452,47.932959168301,"cm","Mean","other"
2003,"Other",54.794255386042,48.3991869878469,"cm","Mean","other"
2004,"Other",56.8163876002333,54.5676853021056,"cm","Mean","other"
2005,"Other",58.414709848079,62.7340074261514,"cm","Mean","other"
2006,"Other",59.4898461935559,66.5977181728622,"cm","Mean","other"
2007,"Other",59.9749498660405,63.2837166052294,"cm","Mean","other"
2008,"Other",59.8398594687394,56.2575827992336,"cm","Mean","other"
2009,"Other",59.0929742682568,52.0101564857908,"cm","Mean","other"
2010,"Other",57.7807319688792,53.7559763684404,"cm","Mean","other"
2011,"Other",55.9847214410396,58.4810041945818,"cm","Mean","other"
2012,"Other",53.8166099205233,60.1582711470946,"cm","Mean","other"
2013,"Other",51.4112000805987,55.6653759054174,"cm","Mean","other"
2014,"Other",48.9180486546989,47.5277754976457,"cm","Mean","other"
2015,"Other",46.4921677231038,41.2171984722734,"cm","Mean","other"
2016,"Other",44.2843868125766,40.1134973094892,"cm","Mean","other"
2017,"Other",42.4319750469207,42.9277260451828,"cm","Mean","other"
2018,"Other",41.0501064177142,45.4346423036052,"cm","Mean","other"
2019,"Other",40.224698823349,44.3974186132219,"cm","Mean","other"
2020,"Other",40.0070721102462,40.2186070476458,"cm","Mean","other"
