"structure","region","polygon","longitude","latitude"
"Reference","Region 1",1,160,-30
"Reference","Region 1",1,175,-30
"Reference","Region 1",1,175,-10
"Reference","Region 1",1,160,-10
"Reference","Region 2",2,175,-30
"Reference","Region 2",2,190,-30
"Reference","Region 2",2,190,-10
"Reference","Region 2",2,175,-10
"Alternative","Region 1",1,160,-28
"Alternative","Region 1",1,175,-28
"Alternative","Region 1",1,175,-8
"Alternative","Region 1",1,160,-8
"Alternative","Region 2",2,175,-28
"Alternative","Region 2",2,190,-28
"Alternative","Region 2",2,190,-8
"Alternative","Region 2",2,175,-8
