"length","fishery","value"
30,"Fishery 1",0.00368423989943599
32,"Fishery 1",0.0054862988994504
34,"Fishery 1",0.0081625711531599
36,"Fishery 1",0.0121284349842742
38,"Fishery 1",0.0179862099620916
40,"Fishery 1",0.0265969935768659
42,"Fishery 1",0.0391657227967644
44,"Fishery 1",0.0573241758988688
46,"Fishery 1",0.0831726964939224
48,"Fishery 1",0.119202922022118
50,"Fishery 1",0.167981614866076
52,"Fishery 1",0.231475216500982
54,"Fishery 1",0.310025518872388
56,"Fishery 1",0.401312339887548
58,"Fishery 1",0.5
60,"Fishery 1",0.598687660112452
62,"Fishery 1",0.689974481127613
64,"Fishery 1",0.768524783499018
66,"Fishery 1",0.832018385133924
68,"Fishery 1",0.880797077977882
70,"Fishery 1",0.916827303506078
72,"Fishery 1",0.942675824101131
74,"Fishery 1",0.960834277203236
76,"Fishery 1",0.973403006423134
78,"Fishery 1",0.982013790037908
80,"Fishery 1",0.987871565015726
82,"Fishery 1",0.99183742884684
84,"Fishery 1",0.994513701100549
86,"Fishery 1",0.996315760100564
88,"Fishery 1",0.997527376843365
90,"Fishery 1",0.998341198919826
92,"Fishery 1",0.99888746396714
94,"Fishery 1",0.999253971166163
96,"Fishery 1",0.999499798892921
98,"Fishery 1",0.999664649869534
100,"Fishery 1",0.999775183229767
102,"Fishery 1",0.99984928964194
104,"Fishery 1",0.999898970806092
106,"Fishery 1",0.99993227585038
108,"Fishery 1",0.999954602131298
110,"Fishery 1",0.999969568443099
112,"Fishery 1",0.99997960091272
114,"Fishery 1",0.999986325990915
116,"Fishery 1",0.99999083399628
118,"Fishery 1",0.999993855825398
120,"Fishery 1",0.999995881428255
30,"Fishery 2",0.00202532038904988
32,"Fishery 2",0.00301841632470842
34,"Fishery 2",0.00449627316094118
36,"Fishery 2",0.00669285092428486
38,"Fishery 2",0.00995180186690432
40,"Fishery 2",0.0147740316932731
42,"Fishery 2",0.0218812709361305
44,"Fishery 2",0.0322954646984505
46,"Fishery 2",0.0474258731775668
48,"Fishery 2",0.0691384203433468
50,"Fishery 2",0.0997504891196851
52,"Fishery 2",0.141851064900488
54,"Fishery 2",0.197816111441418
56,"Fishery 2",0.268941421369995
58,"Fishery 2",0.354343693774205
60,"Fishery 2",0.450166002687522
62,"Fishery 2",0.549833997312478
64,"Fishery 2",0.645656306225795
66,"Fishery 2",0.731058578630005
68,"Fishery 2",0.802183888558582
70,"Fishery 2",0.858148935099512
72,"Fishery 2",0.900249510880315
74,"Fishery 2",0.930861579656653
76,"Fishery 2",0.952574126822433
78,"Fishery 2",0.967704535301549
80,"Fishery 2",0.978118729063869
82,"Fishery 2",0.985225968306727
84,"Fishery 2",0.990048198133096
86,"Fishery 2",0.993307149075715
88,"Fishery 2",0.995503726839059
90,"Fishery 2",0.996981583675292
92,"Fishery 2",0.99797467961095
94,"Fishery 2",0.998641480049571
96,"Fishery 2",0.999088948805599
98,"Fishery 2",0.999389120640566
100,"Fishery 2",0.999590432835014
102,"Fishery 2",0.999725421843899
104,"Fishery 2",0.999815928095037
106,"Fishery 2",0.999876605424014
108,"Fishery 2",0.999917282777148
110,"Fishery 2",0.999944551475277
112,"Fishery 2",0.999962831062897
114,"Fishery 2",0.999975084611061
116,"Fishery 2",0.999983298578152
118,"Fishery 2",0.999988804640495
120,"Fishery 2",0.999992495498403
30,"Fishery 3",0.00111253603286032
32,"Fishery 3",0.00165880108017442
34,"Fishery 3",0.00247262315663477
36,"Fishery 3",0.00368423989943599
38,"Fishery 3",0.0054862988994504
40,"Fishery 3",0.0081625711531599
42,"Fishery 3",0.0121284349842742
44,"Fishery 3",0.0179862099620916
46,"Fishery 3",0.0265969935768659
48,"Fishery 3",0.0391657227967644
50,"Fishery 3",0.0573241758988688
52,"Fishery 3",0.0831726964939224
54,"Fishery 3",0.119202922022118
56,"Fishery 3",0.167981614866076
58,"Fishery 3",0.231475216500982
60,"Fishery 3",0.310025518872388
62,"Fishery 3",0.401312339887548
