"x","value","group","facet","x_label","x_unit","label","unit","definition"
5,0.0474258731775668,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
8.27586206896552,0.0576979923085706,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
11.551724137931,0.0700314138515298,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
14.8275862068966,0.0847640532448805,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
18.1034482758621,0.102255236568353,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
21.3793103448276,0.12287119485573,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
24.6551724137931,0.146963172852941,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
27.9310344827586,0.174837388566269,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
31.2068965517241,0.206717284726555,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
34.4827586206897,0.242700428045235,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
37.7586206896552,0.282714887520041,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
41.0344827586207,0.32648243395348,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
44.3103448275862,0.373497517393183,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
47.5862068965517,0.423030572597934,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
50.8620689655172,0.47416097005573,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
54.1379310344828,0.52583902994427,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
57.4137931034483,0.576969427402066,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
60.6896551724138,0.626502482606817,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
63.9655172413793,0.67351756604652,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
67.2413793103448,0.717285112479959,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
70.5172413793103,0.757299571954765,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
73.7931034482759,0.793282715273445,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
77.0689655172414,0.825162611433731,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
80.3448275862069,0.853036827147059,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
83.6206896551724,0.87712880514427,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
86.8965517241379,0.897744763431647,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
90.1724137931034,0.91523594675512,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
93.448275862069,0.92996858614847,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
96.7241379310345,0.942302007691429,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
100,0.952574126822433,"Reference","all","Length","cm","Selectivity","ratio","Illustrative Selectivity"
