"longitude","latitude","group","value","unit"
165,-25,"Longline",500,"t"
170,-25,"Longline",1000,"t"
175,-25,"Longline",1500,"t"
180,-25,"Longline",2000,"t"
185,-25,"Longline",2500,"t"
165,-20,"Longline",3000,"t"
170,-20,"Longline",3500,"t"
175,-20,"Longline",4000,"t"
180,-20,"Longline",4500,"t"
185,-20,"Longline",5000,"t"
165,-15,"Longline",5500,"t"
170,-15,"Longline",6000,"t"
175,-15,"Longline",6500,"t"
180,-15,"Longline",7000,"t"
185,-15,"Longline",7500,"t"
165,-25,"Other",8000,"t"
170,-25,"Other",8500,"t"
175,-25,"Other",9000,"t"
180,-25,"Other",9500,"t"
185,-25,"Other",10000,"t"
165,-20,"Other",10500,"t"
170,-20,"Other",11000,"t"
175,-20,"Other",11500,"t"
180,-20,"Other",12000,"t"
185,-20,"Other",12500,"t"
165,-15,"Other",13000,"t"
170,-15,"Other",13500,"t"
175,-15,"Other",14000,"t"
180,-15,"Other",14500,"t"
185,-15,"Other",15000,"t"
