"longitude","latitude","group","value","unit"
165,-25,"Longline",0.05,"relative"
170,-25,"Longline",0.1,"relative"
175,-25,"Longline",0.15,"relative"
180,-25,"Longline",0.2,"relative"
185,-25,"Longline",0.25,"relative"
165,-20,"Longline",0.3,"relative"
170,-20,"Longline",0.35,"relative"
175,-20,"Longline",0.4,"relative"
180,-20,"Longline",0.45,"relative"
185,-20,"Longline",0.5,"relative"
165,-15,"Longline",0.55,"relative"
170,-15,"Longline",0.6,"relative"
175,-15,"Longline",0.65,"relative"
180,-15,"Longline",0.7,"relative"
185,-15,"Longline",0.75,"relative"
165,-25,"Other",0.8,"relative"
170,-25,"Other",0.85,"relative"
175,-25,"Other",0.9,"relative"
180,-25,"Other",0.95,"relative"
185,-25,"Other",1,"relative"
165,-20,"Other",1.05,"relative"
170,-20,"Other",1.1,"relative"
175,-20,"Other",1.15,"relative"
180,-20,"Other",1.2,"relative"
185,-20,"Other",1.25,"relative"
165,-15,"Other",1.3,"relative"
170,-15,"Other",1.35,"relative"
175,-15,"Other",1.4,"relative"
180,-15,"Other",1.45,"relative"
185,-15,"Other",1.5,"relative"
