"time","group","facet","metric","value","unit","definition"
2001,"Juvenile","Region 1","fishing_mortality",0.88,"per year","Illustrative fishing_mortality"
2002,"Juvenile","Region 1","fishing_mortality",0.858272722584933,"per year","Illustrative fishing_mortality"
2003,"Juvenile","Region 1","fishing_mortality",0.837081893560628,"per year","Illustrative fishing_mortality"
2004,"Juvenile","Region 1","fishing_mortality",0.816414267969127,"per year","Illustrative fishing_mortality"
2005,"Juvenile","Region 1","fishing_mortality",0.796256927871644,"per year","Illustrative fishing_mortality"
2006,"Juvenile","Region 1","fishing_mortality",0.776597274274444,"per year","Illustrative fishing_mortality"
2007,"Juvenile","Region 1","fishing_mortality",0.757423019254051,"per year","Illustrative fishing_mortality"
2008,"Juvenile","Region 1","fishing_mortality",0.738722178276903,"per year","Illustrative fishing_mortality"
2009,"Juvenile","Region 1","fishing_mortality",0.720483062708624,"per year","Illustrative fishing_mortality"
2010,"Juvenile","Region 1","fishing_mortality",0.702694272508252,"per year","Illustrative fishing_mortality"
2011,"Juvenile","Region 1","fishing_mortality",0.685344689102836,"per year","Illustrative fishing_mortality"
2012,"Juvenile","Region 1","fishing_mortality",0.668423468437972,"per year","Illustrative fishing_mortality"
2013,"Juvenile","Region 1","fishing_mortality",0.651920034199912,"per year","Illustrative fishing_mortality"
2014,"Juvenile","Region 1","fishing_mortality",0.635824071205024,"per year","Illustrative fishing_mortality"
2015,"Juvenile","Region 1","fishing_mortality",0.620125518952468,"per year","Illustrative fishing_mortality"
2016,"Juvenile","Region 1","fishing_mortality",0.604814565336056,"per year","Illustrative fishing_mortality"
2017,"Juvenile","Region 1","fishing_mortality",0.589881640511363,"per year","Illustrative fishing_mortality"
2018,"Juvenile","Region 1","fishing_mortality",0.575317410914266,"per year","Illustrative fishing_mortality"
2019,"Juvenile","Region 1","fishing_mortality",0.561112773427161,"per year","Illustrative fishing_mortality"
2020,"Juvenile","Region 1","fishing_mortality",0.547258849689218,"per year","Illustrative fishing_mortality"
2001,"Adult","Region 1","fishing_mortality",0.96,"per year","Illustrative fishing_mortality"
2002,"Adult","Region 1","fishing_mortality",0.936297515547199,"per year","Illustrative fishing_mortality"
2003,"Adult","Region 1","fishing_mortality",0.913180247520685,"per year","Illustrative fishing_mortality"
2004,"Adult","Region 1","fishing_mortality",0.890633746875411,"per year","Illustrative fishing_mortality"
2005,"Adult","Region 1","fishing_mortality",0.868643921314521,"per year","Illustrative fishing_mortality"
2006,"Adult","Region 1","fishing_mortality",0.847197026481212,"per year","Illustrative fishing_mortality"
2007,"Adult","Region 1","fishing_mortality",0.826279657368056,"per year","Illustrative fishing_mortality"
