"x","value","group","facet","x_label","x_unit","label","unit","definition"
1e+05,4742587.31775668,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
165517.24137931,5769799.23085706,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
231034.482758621,7003141.38515298,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
296551.724137931,8476405.32448805,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
362068.965517241,10225523.6568353,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
427586.206896552,12287119.485573,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
493103.448275862,14696317.2852941,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
558620.689655172,17483738.8566269,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
624137.931034483,20671728.4726555,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
689655.172413793,24270042.8045235,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
755172.413793103,28271488.7520041,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
820689.655172414,32648243.395348,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
886206.896551724,37349751.7393183,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
951724.137931034,42303057.2597934,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1017241.37931034,47416097.005573,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1082758.62068966,52583902.994427,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1148275.86206897,57696942.7402066,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1213793.10344828,62650248.2606817,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1279310.34482759,67351756.604652,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1344827.5862069,71728511.2479959,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1410344.82758621,75729957.1954765,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1475862.06896552,79328271.5273445,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1541379.31034483,82516261.1433731,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1606896.55172414,85303682.7147059,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1672413.79310345,87712880.514427,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1737931.03448276,89774476.3431647,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1803448.27586207,91523594.675512,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1868965.51724138,92996858.614847,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
1934482.75862069,94230200.7691429,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
2e+06,95257412.6822433,"Reference","all","Spawning potential","t","Recruitment","fish","Illustrative Recruitment"
