"spawning","recruitment"
0,0
43478.2608695652,29629629.6296296
86956.5217391304,51612903.2258065
130434.782608696,68571428.5714286
173913.043478261,82051282.051282
217391.304347826,93023255.8139535
260869.565217391,102127659.574468
304347.826086957,109803921.568627
347826.086956522,116363636.363636
391304.347826087,122033898.305085
434782.608695652,126984126.984127
478260.869565217,131343283.58209
521739.130434783,135211267.605634
565217.391304348,138666666.666667
608695.652173913,141772151.898734
652173.913043478,144578313.253012
695652.173913043,147126436.781609
739130.434782609,149450549.450549
782608.695652174,151578947.368421
826086.956521739,153535353.535354
869565.217391304,155339805.825243
913043.47826087,157009345.794392
956521.739130435,158558558.558559
1e+06,1.6e+08
1043478.26086957,161344537.815126
1086956.52173913,162601626.01626
1130434.7826087,163779527.559055
1173913.04347826,164885496.183206
1217391.30434783,165925925.925926
1260869.56521739,166906474.820144
1304347.82608696,167832167.832168
1347826.08695652,168707482.993197
1391304.34782609,169536423.84106
1434782.60869565,170322580.645161
1478260.86956522,171069182.389937
1521739.13043478,171779141.104294
1565217.39130435,172455089.820359
1608695.65217391,173099415.204678
1652173.91304348,173714285.714286
1695652.17391304,174301675.977654
1739130.43478261,174863387.978142
1782608.69565217,175401069.518717
1826086.95652174,175916230.366492
1869565.2173913,176410256.410256
1913043.47826087,176884422.110553
1956521.73913043,177339901.477833
2e+06,177777777.777778
2043478.26086957,178199052.132701
2086956.52173913,178604651.162791
2130434.7826087,178995433.789954
2173913.04347826,179372197.309417
2217391.30434783,179735682.819383
2260869.56521739,180086580.08658
2304347.82608696,180425531.914894
2347826.08695652,180753138.075314
2391304.34782609,181069958.847737
2434782.60869565,181376518.218623
2478260.86956522,181673306.772908
2521739.13043478,181960784.313726
2565217.39130435,182239382.239382
2608695.65217391,182509505.703422
2652173.91304348,182771535.580524
2695652.17391304,183025830.258303
2739130.43478261,183272727.272727
2782608.69565217,183512544.802867
2826086.95652174,183745583.038869
2869565.2173913,183972125.43554
2913043.47826087,184192439.862543
2956521.73913043,184406779.661017
3e+06,184615384.615385
