"time","programme","type","value"
0,"Programme A","Observed",1200
1,"Programme A","Observed",858.533322693079
2,"Programme A","Observed",578.41782934419
3,"Programme A","Observed",365.513489137455
4,"Programme A","Observed",227.607425886802
5,"Programme A","Observed",149.943816205791
6,"Programme A","Observed",106.428135744356
7,"Programme A","Observed",76.8074091866153
8,"Programme A","Observed",52.7861733490674
9,"Programme A","Observed",33.8694856029409
10,"Programme A","Observed",21.0222136218508
11,"Programme A","Observed",13.5541947957881
12,"Programme A","Observed",9.45177395752821
0,"Programme B","Observed",1200
1,"Programme B","Observed",858.533322693079
2,"Programme B","Observed",578.41782934419
3,"Programme B","Observed",365.513489137455
4,"Programme B","Observed",227.607425886802
5,"Programme B","Observed",149.943816205791
6,"Programme B","Observed",106.428135744356
7,"Programme B","Observed",76.8074091866153
8,"Programme B","Observed",52.7861733490674
9,"Programme B","Observed",33.8694856029409
10,"Programme B","Observed",21.0222136218508
11,"Programme B","Observed",13.5541947957881
12,"Programme B","Observed",9.45177395752821
0,"Programme A","Predicted",1200
1,"Programme A","Predicted",804.384055242767
2,"Programme A","Predicted",539.194756940666
3,"Programme A","Predicted",361.433054294642
4,"Programme A","Predicted",242.275821593586
5,"Programme A","Predicted",162.402339883935
6,"Programme A","Predicted",108.861543947295
7,"Programme A","Predicted",72.9720751502615
8,"Programme A","Predicted",48.9146447740395
9,"Programme A","Predicted",32.7884669367511
10,"Programme A","Predicted",21.978766666481
11,"Programme A","Predicted",14.7328078836821
12,"Programme A","Predicted",9.87569645882403
0,"Programme B","Predicted",1200
1,"Programme B","Predicted",804.384055242767
2,"Programme B","Predicted",539.194756940666
3,"Programme B","Predicted",361.433054294642
4,"Programme B","Predicted",242.275821593586
5,"Programme B","Predicted",162.402339883935
6,"Programme B","Predicted",108.861543947295
7,"Programme B","Predicted",72.9720751502615
8,"Programme B","Predicted",48.9146447740395
9,"Programme B","Predicted",32.7884669367511
10,"Programme B","Predicted",21.978766666481
11,"Programme B","Predicted",14.7328078836821
12,"Programme B","Predicted",9.87569645882403
