"time","group","predicted","observed","unit","time_unit"
1,"Programme A",172.141595285012,187,"fish","quarter"
2,"Programme A",148.163644136344,162,"fish","quarter"
3,"Programme A",127.525630324355,129,"fish","quarter"
4,"Programme A",109.762327218805,101,"fish","quarter"
5,"Programme A",94.4733105482029,85,"fish","quarter"
6,"Programme A",81.3139319481198,79,"fish","quarter"
7,"Programme A",69.9875498222311,75,"fish","quarter"
8,"Programme A",60.2388423824404,66,"fish","quarter"
9,"Programme A",51.8480521291783,54,"fish","quarter"
10,"Programme A",44.626032029686,42,"fish","quarter"
11,"Programme A",38.4099817241508,35,"fish","quarter"
12,"Programme A",33.0597776443173,31,"fish","quarter"
13,"Programme A",28.4548143173027,30,"fish","quarter"
14,"Programme A",24.4912856505964,27,"fish","quarter"
15,"Programme A",21.0798449123729,22,"fish","quarter"
16,"Programme A",18.1435906578825,18,"fish","quarter"
17,"Programme A",15.6163332002306,14,"fish","quarter"
18,"Programme A",13.44110254795,12,"fish","quarter"
19,"Programme A",11.5688641749677,12,"fish","quarter"
20,"Programme A",9.95741367357279,11,"fish","quarter"
