"time","group","predicted","observed","unit"
2001,"Programme A",1000,1023.19551281507,"fish"
2002,"Programme A",1049.4807918509,958.659183366021,"fish"
2003,"Programme A",1095.88510772084,967.983739756937,"fish"
2004,"Programme A",1136.32775200467,1091.35370604211,"fish"
2005,"Programme A",1168.29419696158,1254.68014852303,"fish"
2006,"Programme A",1189.79692387112,1331.95436345724,"fish"
2007,"Programme A",1199.49899732081,1265.67433210459,"fish"
2008,"Programme A",1196.79718937479,1125.15165598467,"fish"
2009,"Programme A",1181.85948536514,1040.20312971582,"fish"
2010,"Programme A",1155.61463937758,1075.11952736881,"fish"
2011,"Programme A",1119.69442882079,1169.62008389164,"fish"
2012,"Programme A",1076.33219841047,1203.16542294189,"fish"
2013,"Programme A",1028.22400161197,1113.30751810835,"fish"
2014,"Programme A",978.360973093978,950.555509952914,"fish"
2015,"Programme A",929.843354462076,824.343969445468,"fish"
2016,"Programme A",885.687736251531,802.269946189784,"fish"
2017,"Programme A",848.639500938414,858.554520903656,"fish"
2018,"Programme A",821.002128354283,908.692846072104,"fish"
2019,"Programme A",804.493976466981,887.948372264438,"fish"
2020,"Programme A",800.141442204924,804.372140952915,"fish"
