"time","programme","region","released","recaptured"
2001,"Programme A","Region 1",1000,52
2002,"Programme A","Region 1",1000,43
2003,"Programme A","Region 1",1000,40
2004,"Programme A","Region 1",1000,47
2005,"Programme A","Region 1",1000,56
2006,"Programme A","Region 1",1000,60
2007,"Programme A","Region 1",1000,55
2008,"Programme A","Region 1",1000,45
2009,"Programme A","Region 1",1000,40
2010,"Programme A","Region 1",1000,44
2011,"Programme A","Region 1",1000,54
2012,"Programme A","Region 1",1000,60
2013,"Programme A","Region 1",1000,57
2014,"Programme A","Region 1",1000,48
2015,"Programme A","Region 1",1000,41
2016,"Programme A","Region 1",1000,42
2017,"Programme A","Region 1",1000,51
2018,"Programme A","Region 1",1000,59
2019,"Programme A","Region 1",1000,59
2020,"Programme A","Region 1",1000,50
