"group","rate","estimated","prior_x","prior_density"
"Programme A",0.7,TRUE,0,0
"Programme A",0.7,TRUE,0.01,2.46985200000001e-10
"Programme A",0.7,TRUE,0.02,1.54893312e-08
"Programme A",0.7,TRUE,0.03,1.728508572e-07
"Programme A",0.7,TRUE,0.04,9.512681472e-07
"Programme A",0.7,TRUE,0.05,3.55359375000001e-06
"Programme A",0.7,TRUE,0.06,1.03887608832e-05
"Programme A",0.7,TRUE,0.07,2.56421642652e-05
"Programme A",0.7,TRUE,0.08,5.59134277632001e-05
"Programme A",0.7,TRUE,0.09,0.0001109017456092
"Programme A",0.7,TRUE,0.1,0.00020412
"Programme A",0.7,TRUE,0.11,0.0003536198739612
"Programme A",0.7,TRUE,0.12,0.000582711194419201
"Programme A",0.7,TRUE,0.13,0.000920659756489203
"Programme A",0.7,TRUE,0.14,0.0014033488960512
"Programme A",0.7,TRUE,0.15,0.00207389109375
"Programme A",0.7,TRUE,0.16,0.0029831769096192
"Programme A",0.7,TRUE,0.17,0.0041903495635932
"Programme A",0.7,TRUE,0.18,0.00576319449323519
"Programme A",0.7,TRUE,0.19,0.0077784342360732
"Programme A",0.7,TRUE,0.2,0.01032192
"Programme A",0.7,TRUE,0.21,0.0134887123012572
"Programme A",0.7,TRUE,0.22,0.0173830440655872
"Programme A",0.7,TRUE,0.23,0.0221181606042012
"Programme A",0.7,TRUE,0.24,0.0278160318922752
"Programme A",0.7,TRUE,0.25,0.03460693359375
"Programme A",0.7,TRUE,0.26,0.0426288942922752
"Programme A",0.7,TRUE,0.27,0.0520270074042013
"Programme A",0.7,TRUE,0.28,0.0629526072655873
"Programme A",0.7,TRUE,0.29,0.0755623099012572
"Programme A",0.7,TRUE,0.3,0.09001692
"Programme A",0.7,TRUE,0.31,0.106480206636073
"Programme A",0.7,TRUE,0.32,0.125117551293235
"Programme A",0.7,TRUE,0.33,0.146094472763593
"Programme A",0.7,TRUE,0.34,0.169575034509619
"Programme A",0.7,TRUE,0.35,0.19572014109375
"Programme A",0.7,TRUE,0.36,0.224685731296051
"Programme A",0.7,TRUE,0.37,0.256620876556489
"Programme A",0.7,TRUE,0.38,0.291665794394419
"Programme A",0.7,TRUE,0.39,0.329949787473961
"Programme A",0.7,TRUE,0.4,0.37158912
"Programme A",0.7,TRUE,0.41,0.41668484414561
"Programme A",0.7,TRUE,0.42,0.465320590227763
"Programme A",0.7,TRUE,0.43,0.517560335364265
"Programme A",0.7,TRUE,0.44,0.573446166360883
"Programme A",0.7,TRUE,0.45,0.63299605359375
"Programme A",0.7,TRUE,0.46,0.696201653668147
"Programme A",0.7,TRUE,0.47,0.763026159650857
"Programme A",0.7,TRUE,0.48,0.833402218689331
"Programme A",0.7,TRUE,0.49,0.907229937846986
"Programme A",0.7,TRUE,0.5,0.984375
"Programme A",0.7,TRUE,0.51,1.06466691265707
"Programme A",0.7,TRUE,0.52,1.14789741357957
"Programme A",0.7,TRUE,0.53,1.23381905809582
"Programme A",0.7,TRUE,0.54,1.32214401401887
"Programme A",0.7,TRUE,0.55,1.41254309109375
"Programme A",0.7,TRUE,0.56,1.50464503291576
"Programme A",0.7,TRUE,0.57,1.59803610027771
"Programme A",0.7,TRUE,0.58,1.69225997591992
"Programme A",0.7,TRUE,0.59,1.78681802167313
"Programme A",0.7,TRUE,0.6,1.88116992
"Programme A",0.7,TRUE,0.61,1.97473473295764
"Programme A",0.7,TRUE,0.62,2.06689241261906
"Programme A",0.7,TRUE,0.63,2.15698579800785
"Programme A",0.7,TRUE,0.64,2.24432313461637
"Programme A",0.7,TRUE,0.65,2.32818115359375
"Programme A",0.7,TRUE,0.66,2.4078087487061
"Programme A",0.7,TRUE,0.67,2.48243129018743
"Programme A",0.7,TRUE,0.68,2.5512556156158
"Programme A",0.7,TRUE,0.69,2.61347573896519
"Programme A",0.7,TRUE,0.7,2.66827932
"Programme A",0.7,TRUE,0.71,2.71485493719454
"Programme A",0.7,TRUE,0.72,2.75240020837663
"Programme A",0.7,TRUE,0.73,2.78013080430996
"Programme A",0.7,TRUE,0.74,2.7972904014462
"Programme A",0.7,TRUE,0.75,2.80316162109375
"Programme A",0.7,TRUE,0.76,2.79707800326636
"Programme A",0.7,TRUE,0.77,2.77843706449044
"Programme A",0.7,TRUE,0.78,2.74671448986655
"Programme A",0.7,TRUE,0.79,2.70147951069598
"Programme A",0.7,TRUE,0.8,2.64241152
"Programme A",0.7,TRUE,0.81,2.56931797927495
"Programme A",0.7,TRUE,0.82,2.48215367084268
"Programme A",0.7,TRUE,0.83,2.38104135117175
"Programme A",0.7,TRUE,0.84,2.26629386156114
"Programme A",0.7,TRUE,0.85,2.13843775359375
"Programme A",0.7,TRUE,0.86,1.99823848778373
"Programme A",0.7,TRUE,0.87,1.84672726485713
"Programme A",0.7,TRUE,0.88,1.68522955012178
"Programme A",0.7,TRUE,0.89,1.51539535239828
"Programme A",0.7,TRUE,0.9,1.33923132
"Programme A",0.7,TRUE,0.91,1.15913471726609
"Programme A",0.7,TRUE,0.92,0.977929346167602
"Programme A",0.7,TRUE,0.93,0.798903478522824
"Programme A",0.7,TRUE,0.94,0.625849865374002
"Programme A",0.7,TRUE,0.95,0.463107891093749
"Programme A",0.7,TRUE,0.96,0.315607940805428
"Programme A",0.7,TRUE,0.97,0.188918050717898
"Programme A",0.7,TRUE,0.98,0.0892929119910914
"Programme A",0.7,TRUE,0.99,0.0237252997649053
"Programme A",0.7,TRUE,1,0
