"year","region","quantity","value"
1954,"Region 1","Spawning potential",0.75
1955,"Region 1","Spawning potential",0.75
1956,"Region 1","Spawning potential",0.75
1957,"Region 1","Spawning potential",0.75
1958,"Region 1","Spawning potential",0.75
1959,"Region 1","Spawning potential",0.75
1960,"Region 1","Spawning potential",0.75
1961,"Region 1","Spawning potential",0.75
1962,"Region 1","Spawning potential",0.75
1963,"Region 1","Spawning potential",0.75
1964,"Region 1","Spawning potential",0.75
1965,"Region 1","Spawning potential",0.75
1966,"Region 1","Spawning potential",0.75
1967,"Region 1","Spawning potential",0.75
1968,"Region 1","Spawning potential",0.75
1969,"Region 1","Spawning potential",0.75
1970,"Region 1","Spawning potential",0.75
1971,"Region 1","Spawning potential",0.75
1972,"Region 1","Spawning potential",0.75
1973,"Region 1","Spawning potential",0.75
1974,"Region 1","Spawning potential",0.75
1975,"Region 1","Spawning potential",0.75
1976,"Region 1","Spawning potential",0.75
1977,"Region 1","Spawning potential",0.75
1978,"Region 1","Spawning potential",0.75
1979,"Region 1","Spawning potential",0.75
1980,"Region 1","Spawning potential",0.75
1981,"Region 1","Spawning potential",0.75
1982,"Region 1","Spawning potential",0.75
1983,"Region 1","Spawning potential",0.75
1984,"Region 1","Spawning potential",0.75
1985,"Region 1","Spawning potential",0.75
1986,"Region 1","Spawning potential",0.75
1987,"Region 1","Spawning potential",0.75
1988,"Region 1","Spawning potential",0.75
1989,"Region 1","Spawning potential",0.75
1990,"Region 1","Spawning potential",0.75
1991,"Region 1","Spawning potential",0.75
1992,"Region 1","Spawning potential",0.75
1993,"Region 1","Spawning potential",0.75
1994,"Region 1","Spawning potential",0.75
1995,"Region 1","Spawning potential",0.75
1996,"Region 1","Spawning potential",0.75
1997,"Region 1","Spawning potential",0.75
1998,"Region 1","Spawning potential",0.75
1999,"Region 1","Spawning potential",0.75
2000,"Region 1","Spawning potential",0.75
2001,"Region 1","Spawning potential",0.75
2002,"Region 1","Spawning potential",0.75
2003,"Region 1","Spawning potential",0.75
2004,"Region 1","Spawning potential",0.75
2005,"Region 1","Spawning potential",0.75
2006,"Region 1","Spawning potential",0.75
2007,"Region 1","Spawning potential",0.75
2008,"Region 1","Spawning potential",0.75
2009,"Region 1","Spawning potential",0.75
2010,"Region 1","Spawning potential",0.75
2011,"Region 1","Spawning potential",0.75
2012,"Region 1","Spawning potential",0.75
2013,"Region 1","Spawning potential",0.75
2014,"Region 1","Spawning potential",0.75
2015,"Region 1","Spawning potential",0.75
2016,"Region 1","Spawning potential",0.75
2017,"Region 1","Spawning potential",0.75
2018,"Region 1","Spawning potential",0.75
2019,"Region 1","Spawning potential",0.75
2020,"Region 1","Spawning potential",0.75
2021,"Region 1","Spawning potential",0.75
2022,"Region 1","Spawning potential",0.75
1954,"Region 2","Spawning potential",0.25
1955,"Region 2","Spawning potential",0.25
1956,"Region 2","Spawning potential",0.25
1957,"Region 2","Spawning potential",0.25
1958,"Region 2","Spawning potential",0.25
1959,"Region 2","Spawning potential",0.25
1960,"Region 2","Spawning potential",0.25
1961,"Region 2","Spawning potential",0.25
1962,"Region 2","Spawning potential",0.25
1963,"Region 2","Spawning potential",0.25
1964,"Region 2","Spawning potential",0.25
1965,"Region 2","Spawning potential",0.25
1966,"Region 2","Spawning potential",0.25
1967,"Region 2","Spawning potential",0.25
1968,"Region 2","Spawning potential",0.25
1969,"Region 2","Spawning potential",0.25
1970,"Region 2","Spawning potential",0.25
1971,"Region 2","Spawning potential",0.25
1972,"Region 2","Spawning potential",0.25
1973,"Region 2","Spawning potential",0.25
1974,"Region 2","Spawning potential",0.25
1975,"Region 2","Spawning potential",0.25
1976,"Region 2","Spawning potential",0.25
1977,"Region 2","Spawning potential",0.25
1978,"Region 2","Spawning potential",0.25
1979,"Region 2","Spawning potential",0.25
1980,"Region 2","Spawning potential",0.25
1981,"Region 2","Spawning potential",0.25
1982,"Region 2","Spawning potential",0.25
1983,"Region 2","Spawning potential",0.25
1984,"Region 2","Spawning potential",0.25
1985,"Region 2","Spawning potential",0.25
1986,"Region 2","Spawning potential",0.25
1987,"Region 2","Spawning potential",0.25
1988,"Region 2","Spawning potential",0.25
1989,"Region 2","Spawning potential",0.25
1990,"Region 2","Spawning potential",0.25
1991,"Region 2","Spawning potential",0.25
1992,"Region 2","Spawning potential",0.25
1993,"Region 2","Spawning potential",0.25
1994,"Region 2","Spawning potential",0.25
1995,"Region 2","Spawning potential",0.25
1996,"Region 2","Spawning potential",0.25
1997,"Region 2","Spawning potential",0.25
1998,"Region 2","Spawning potential",0.25
1999,"Region 2","Spawning potential",0.25
2000,"Region 2","Spawning potential",0.25
2001,"Region 2","Spawning potential",0.25
2002,"Region 2","Spawning potential",0.25
2003,"Region 2","Spawning potential",0.25
2004,"Region 2","Spawning potential",0.25
2005,"Region 2","Spawning potential",0.25
2006,"Region 2","Spawning potential",0.25
2007,"Region 2","Spawning potential",0.25
2008,"Region 2","Spawning potential",0.25
2009,"Region 2","Spawning potential",0.25
2010,"Region 2","Spawning potential",0.25
2011,"Region 2","Spawning potential",0.25
2012,"Region 2","Spawning potential",0.25
2013,"Region 2","Spawning potential",0.25
2014,"Region 2","Spawning potential",0.25
2015,"Region 2","Spawning potential",0.25
2016,"Region 2","Spawning potential",0.25
2017,"Region 2","Spawning potential",0.25
2018,"Region 2","Spawning potential",0.25
2019,"Region 2","Spawning potential",0.25
2020,"Region 2","Spawning potential",0.25
2021,"Region 2","Spawning potential",0.25
2022,"Region 2","Spawning potential",0.25
1954,"Region 1","Recruitment",0.75
1955,"Region 1","Recruitment",0.75
1956,"Region 1","Recruitment",0.75
1957,"Region 1","Recruitment",0.75
1958,"Region 1","Recruitment",0.75
1959,"Region 1","Recruitment",0.75
1960,"Region 1","Recruitment",0.75
1961,"Region 1","Recruitment",0.75
1962,"Region 1","Recruitment",0.75
1963,"Region 1","Recruitment",0.75
1964,"Region 1","Recruitment",0.75
1965,"Region 1","Recruitment",0.75
1966,"Region 1","Recruitment",0.75
1967,"Region 1","Recruitment",0.75
1968,"Region 1","Recruitment",0.75
1969,"Region 1","Recruitment",0.75
1970,"Region 1","Recruitment",0.75
1971,"Region 1","Recruitment",0.75
1972,"Region 1","Recruitment",0.75
1973,"Region 1","Recruitment",0.75
1974,"Region 1","Recruitment",0.75
1975,"Region 1","Recruitment",0.75
1976,"Region 1","Recruitment",0.75
1977,"Region 1","Recruitment",0.75
1978,"Region 1","Recruitment",0.75
1979,"Region 1","Recruitment",0.75
1980,"Region 1","Recruitment",0.75
1981,"Region 1","Recruitment",0.75
1982,"Region 1","Recruitment",0.75
1983,"Region 1","Recruitment",0.75
1984,"Region 1","Recruitment",0.75
1985,"Region 1","Recruitment",0.75
1986,"Region 1","Recruitment",0.75
1987,"Region 1","Recruitment",0.75
1988,"Region 1","Recruitment",0.75
1989,"Region 1","Recruitment",0.75
1990,"Region 1","Recruitment",0.75
1991,"Region 1","Recruitment",0.75
1992,"Region 1","Recruitment",0.75
1993,"Region 1","Recruitment",0.75
1994,"Region 1","Recruitment",0.75
1995,"Region 1","Recruitment",0.75
1996,"Region 1","Recruitment",0.75
1997,"Region 1","Recruitment",0.75
1998,"Region 1","Recruitment",0.75
1999,"Region 1","Recruitment",0.75
2000,"Region 1","Recruitment",0.75
2001,"Region 1","Recruitment",0.75
2002,"Region 1","Recruitment",0.75
2003,"Region 1","Recruitment",0.75
2004,"Region 1","Recruitment",0.75
2005,"Region 1","Recruitment",0.75
2006,"Region 1","Recruitment",0.75
2007,"Region 1","Recruitment",0.75
2008,"Region 1","Recruitment",0.75
2009,"Region 1","Recruitment",0.75
2010,"Region 1","Recruitment",0.75
2011,"Region 1","Recruitment",0.75
2012,"Region 1","Recruitment",0.75
2013,"Region 1","Recruitment",0.75
2014,"Region 1","Recruitment",0.75
2015,"Region 1","Recruitment",0.75
2016,"Region 1","Recruitment",0.75
2017,"Region 1","Recruitment",0.75
2018,"Region 1","Recruitment",0.75
2019,"Region 1","Recruitment",0.75
2020,"Region 1","Recruitment",0.75
2021,"Region 1","Recruitment",0.75
2022,"Region 1","Recruitment",0.75
1954,"Region 2","Recruitment",0.25
1955,"Region 2","Recruitment",0.25
1956,"Region 2","Recruitment",0.25
1957,"Region 2","Recruitment",0.25
1958,"Region 2","Recruitment",0.25
1959,"Region 2","Recruitment",0.25
1960,"Region 2","Recruitment",0.25
1961,"Region 2","Recruitment",0.25
1962,"Region 2","Recruitment",0.25
1963,"Region 2","Recruitment",0.25
1964,"Region 2","Recruitment",0.25
1965,"Region 2","Recruitment",0.25
1966,"Region 2","Recruitment",0.25
1967,"Region 2","Recruitment",0.25
1968,"Region 2","Recruitment",0.25
1969,"Region 2","Recruitment",0.25
1970,"Region 2","Recruitment",0.25
1971,"Region 2","Recruitment",0.25
1972,"Region 2","Recruitment",0.25
1973,"Region 2","Recruitment",0.25
1974,"Region 2","Recruitment",0.25
1975,"Region 2","Recruitment",0.25
1976,"Region 2","Recruitment",0.25
1977,"Region 2","Recruitment",0.25
1978,"Region 2","Recruitment",0.25
1979,"Region 2","Recruitment",0.25
1980,"Region 2","Recruitment",0.25
1981,"Region 2","Recruitment",0.25
1982,"Region 2","Recruitment",0.25
1983,"Region 2","Recruitment",0.25
1984,"Region 2","Recruitment",0.25
1985,"Region 2","Recruitment",0.25
1986,"Region 2","Recruitment",0.25
1987,"Region 2","Recruitment",0.25
1988,"Region 2","Recruitment",0.25
1989,"Region 2","Recruitment",0.25
1990,"Region 2","Recruitment",0.25
1991,"Region 2","Recruitment",0.25
1992,"Region 2","Recruitment",0.25
1993,"Region 2","Recruitment",0.25
1994,"Region 2","Recruitment",0.25
1995,"Region 2","Recruitment",0.25
1996,"Region 2","Recruitment",0.25
1997,"Region 2","Recruitment",0.25
1998,"Region 2","Recruitment",0.25
1999,"Region 2","Recruitment",0.25
2000,"Region 2","Recruitment",0.25
2001,"Region 2","Recruitment",0.25
2002,"Region 2","Recruitment",0.25
2003,"Region 2","Recruitment",0.25
2004,"Region 2","Recruitment",0.25
2005,"Region 2","Recruitment",0.25
2006,"Region 2","Recruitment",0.25
2007,"Region 2","Recruitment",0.25
2008,"Region 2","Recruitment",0.25
2009,"Region 2","Recruitment",0.25
2010,"Region 2","Recruitment",0.25
2011,"Region 2","Recruitment",0.25
2012,"Region 2","Recruitment",0.25
2013,"Region 2","Recruitment",0.25
2014,"Region 2","Recruitment",0.25
2015,"Region 2","Recruitment",0.25
2016,"Region 2","Recruitment",0.25
2017,"Region 2","Recruitment",0.25
2018,"Region 2","Recruitment",0.25
2019,"Region 2","Recruitment",0.25
2020,"Region 2","Recruitment",0.25
2021,"Region 2","Recruitment",0.25
2022,"Region 2","Recruitment",0.25
