"time","metric","group","value","unit","definition","initial_state","display_name","coverage","model","label"
1954,"spawning_biomass","all",1239615.42822914,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",0.916666666666742,"formats","Illustrative ALB outputs"
1955,"spawning_biomass","all",1162709.56007971,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1956,"spawning_biomass","all",1145526.1147006,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1957,"spawning_biomass","all",1131587.88394815,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1958,"spawning_biomass","all",1112288.62852715,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1959,"spawning_biomass","all",1082247.28656791,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1960,"spawning_biomass","all",1023724.88113246,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1961,"spawning_biomass","all",936290.131728865,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1962,"spawning_biomass","all",821963.079561218,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1963,"spawning_biomass","all",680989.198117914,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
1964,"spawning_biomass","all",582990.089304205,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"formats","Illustrative ALB outputs"
