"time","series","observed","unit","predicted","naive_scale","kind","cutoff","lead","model","label"
2018,"Index 18 (Region 1)",0.44199217333407,"geometric-mean-scaled index",0.368018456670358,0.229377535471516,"index",2017,1,"hindcast-1","Through 2017"
2019,"Index 18 (Region 1)",0.466975339471439,"geometric-mean-scaled index",0.356162616591629,0.229377535471516,"index",2017,2,"hindcast-1","Through 2017"
2020,"Index 18 (Region 1)",0.377731205082218,"geometric-mean-scaled index",0.344688716443967,0.229377535471516,"index",2017,3,"hindcast-1","Through 2017"
2018,"Index 19 (Region 1)",1.1614387047662,"geometric-mean-scaled index",0.842955600849805,0.294005847599979,"index",2017,1,"hindcast-1","Through 2017"
2019,"Index 19 (Region 1)",0.909406517143503,"geometric-mean-scaled index",0.831363464769502,0.294005847599979,"index",2017,2,"hindcast-1","Through 2017"
2020,"Index 19 (Region 1)",0.960523282163485,"geometric-mean-scaled index",0.819930741140779,0.294005847599979,"index",2017,3,"hindcast-1","Through 2017"
2018,"Index 20 (Region 2)",0.64550184014846,"geometric-mean-scaled index",0.562501503696675,0.268043930267646,"index",2017,1,"hindcast-1","Through 2017"
2019,"Index 20 (Region 2)",0.713722524698996,"geometric-mean-scaled index",0.552281103176839,0.268043930267646,"index",2017,2,"hindcast-1","Through 2017"
2020,"Index 20 (Region 2)",0.772716002092201,"geometric-mean-scaled index",0.542246402759312,0.268043930267646,"index",2017,3,"hindcast-1","Through 2017"
2019,"Index 18 (Region 1)",0.466975339471439,"geometric-mean-scaled index",0.3601997515399,0.22675590045558,"index",2018,1,"hindcast-2","Through 2018"
2020,"Index 18 (Region 1)",0.377731205082218,"geometric-mean-scaled index",0.348685103733821,0.22675590045558,"index",2018,2,"hindcast-2","Through 2018"
2021,"Index 18 (Region 1)",0.384903092509445,"geometric-mean-scaled index",0.337538549224672,0.22675590045558,"index",2018,3,"hindcast-2","Through 2018"
2019,"Index 19 (Region 1)",0.909406517143503,"geometric-mean-scaled index",0.871790057926863,0.301228726970214,"index",2018,1,"hindcast-2","Through 2018"
2020,"Index 19 (Region 1)",0.960523282163485,"geometric-mean-scaled index",0.861991218611545,0.301228726970214,"index",2018,2,"hindcast-2","Through 2018"
2021,"Index 19 (Region 1)",0.974737478989675,"geometric-mean-scaled index",0.85230251734042,0.301228726970214,"index",2018,3,"hindcast-2","Through 2018"
2019,"Index 20 (Region 2)",0.713722524698996,"geometric-mean-scaled index",0.556978679474089,0.265244106783026,"index",2018,1,"hindcast-2","Through 2018"
2020,"Index 20 (Region 2)",0.772716002092201,"geometric-mean-scaled index",0.546963904133191,0.265244106783026,"index",2018,2,"hindcast-2","Through 2018"
2021,"Index 20 (Region 2)",0.751048561936257,"geometric-mean-scaled index",0.537129199823419,0.265244106783026,"index",2018,3,"hindcast-2","Through 2018"
2020,"Index 18 (Region 1)",0.377731205082218,"geometric-mean-scaled index",0.354214846418289,0.223651704542992,"index",2019,1,"hindcast-3","Through 2019"
2021,"Index 18 (Region 1)",0.384903092509445,"geometric-mean-scaled index",0.343012329654471,0.223651704542992,"index",2019,2,"hindcast-3","Through 2019"
2022,"Index 18 (Region 1)",0.533173522636986,"geometric-mean-scaled index",0.332164107418713,0.223651704542992,"index",2019,3,"hindcast-3","Through 2019"
2020,"Index 19 (Region 1)",0.960523282163485,"geometric-mean-scaled index",0.86720888773413,0.299406632920306,"index",2019,1,"hindcast-3","Through 2019"
2021,"Index 19 (Region 1)",0.974737478989675,"geometric-mean-scaled index",0.857729234131929,0.299406632920306,"index",2019,2,"hindcast-3","Through 2019"
2022,"Index 19 (Region 1)",0.665420460916155,"geometric-mean-scaled index",0.848353204735716,0.299406632920306,"index",2019,3,"hindcast-3","Through 2019"
2020,"Index 20 (Region 2)",0.772716002092201,"geometric-mean-scaled index",0.555245930114159,0.262212977210219,"index",2019,1,"hindcast-3","Through 2019"
2021,"Index 20 (Region 2)",0.751048561936257,"geometric-mean-scaled index",0.54544579760967,0.262212977210219,"index",2019,2,"hindcast-3","Through 2019"
2022,"Index 20 (Region 2)",1.00202993070836,"geometric-mean-scaled index",0.535818638182328,0.262212977210219,"index",2019,3,"hindcast-3","Through 2019"
2021,"Index 18 (Region 1)",0.384903092509445,"geometric-mean-scaled index",0.344331190578176,0.221615226207329,"index",2020,1,"hindcast-4","Through 2020"
2022,"Index 18 (Region 1)",0.533173522636986,"geometric-mean-scaled index",0.333469485324094,0.221615226207329,"index",2020,2,"hindcast-4","Through 2020"
2021,"Index 19 (Region 1)",0.974737478989675,"geometric-mean-scaled index",0.869905682456095,0.290539137638152,"index",2020,1,"hindcast-4","Through 2020"
2022,"Index 19 (Region 1)",0.665420460916155,"geometric-mean-scaled index",0.86100318473371,0.290539137638152,"index",2020,2,"hindcast-4","Through 2020"
2021,"Index 20 (Region 2)",0.751048561936257,"geometric-mean-scaled index",0.556315070762067,0.259133893879658,"index",2020,1,"hindcast-4","Through 2020"
2022,"Index 20 (Region 2)",1.00202993070836,"geometric-mean-scaled index",0.546733982475251,0.259133893879658,"index",2020,2,"hindcast-4","Through 2020"
2022,"Index 18 (Region 1)",0.533173522636986,"geometric-mean-scaled index",0.33566162257445,0.218414579359865,"index",2021,1,"hindcast-5","Through 2021"
2022,"Index 19 (Region 1)",0.665420460916155,"geometric-mean-scaled index",0.874165154399837,0.281010691403256,"index",2021,1,"hindcast-5","Through 2021"
2022,"Index 20 (Region 2)",1.00202993070836,"geometric-mean-scaled index",0.556472299359904,0.255589618450946,"index",2021,1,"hindcast-5","Through 2021"
