"time","series","observed","unit"
1954,"Index 18 (Region 1)",4.40903714715002,"geometric-mean-scaled index"
1955,"Index 18 (Region 1)",3.14529508758885,"geometric-mean-scaled index"
1956,"Index 18 (Region 1)",3.55845376339654,"geometric-mean-scaled index"
1957,"Index 18 (Region 1)",3.81367935187817,"geometric-mean-scaled index"
1958,"Index 18 (Region 1)",4.19937988018333,"geometric-mean-scaled index"
1959,"Index 18 (Region 1)",5.02003875847804,"geometric-mean-scaled index"
1960,"Index 18 (Region 1)",6.09415385779237,"geometric-mean-scaled index"
1961,"Index 18 (Region 1)",5.9871599837675,"geometric-mean-scaled index"
1962,"Index 18 (Region 1)",4.31836862588877,"geometric-mean-scaled index"
1963,"Index 18 (Region 1)",2.6756633141332,"geometric-mean-scaled index"
1964,"Index 18 (Region 1)",2.42251196662564,"geometric-mean-scaled index"
1965,"Index 18 (Region 1)",2.71599052736943,"geometric-mean-scaled index"
1966,"Index 18 (Region 1)",2.44814503331434,"geometric-mean-scaled index"
1967,"Index 18 (Region 1)",1.94746079529619,"geometric-mean-scaled index"
1968,"Index 18 (Region 1)",1.71471945569896,"geometric-mean-scaled index"
1969,"Index 18 (Region 1)",1.65433171113289,"geometric-mean-scaled index"
1970,"Index 18 (Region 1)",1.54780579698768,"geometric-mean-scaled index"
1971,"Index 18 (Region 1)",1.23412080025738,"geometric-mean-scaled index"
1972,"Index 18 (Region 1)",1.07338614840291,"geometric-mean-scaled index"
1973,"Index 18 (Region 1)",0.989103263951998,"geometric-mean-scaled index"
1974,"Index 18 (Region 1)",0.580301639759145,"geometric-mean-scaled index"
1975,"Index 18 (Region 1)",0.58813811691667,"geometric-mean-scaled index"
1976,"Index 18 (Region 1)",0.851064006357214,"geometric-mean-scaled index"
1977,"Index 18 (Region 1)",0.863018267252948,"geometric-mean-scaled index"
1978,"Index 18 (Region 1)",0.935245185300877,"geometric-mean-scaled index"
1979,"Index 18 (Region 1)",0.811891863308134,"geometric-mean-scaled index"
1980,"Index 18 (Region 1)",0.857986996795637,"geometric-mean-scaled index"
1981,"Index 18 (Region 1)",0.969775742290399,"geometric-mean-scaled index"
1982,"Index 18 (Region 1)",0.754187984251701,"geometric-mean-scaled index"
1983,"Index 18 (Region 1)",0.847323525052082,"geometric-mean-scaled index"
1984,"Index 18 (Region 1)",0.697012441179108,"geometric-mean-scaled index"
1985,"Index 18 (Region 1)",0.700113985527936,"geometric-mean-scaled index"
1986,"Index 18 (Region 1)",0.916792661518106,"geometric-mean-scaled index"
1987,"Index 18 (Region 1)",0.932698710694853,"geometric-mean-scaled index"
1988,"Index 18 (Region 1)",0.933673375591985,"geometric-mean-scaled index"
1989,"Index 18 (Region 1)",0.68771709247243,"geometric-mean-scaled index"
1990,"Index 18 (Region 1)",0.776975789161292,"geometric-mean-scaled index"
1991,"Index 18 (Region 1)",0.655727821196814,"geometric-mean-scaled index"
1992,"Index 18 (Region 1)",0.872502177541898,"geometric-mean-scaled index"
1993,"Index 18 (Region 1)",0.879147658089477,"geometric-mean-scaled index"
1994,"Index 18 (Region 1)",0.948738796667378,"geometric-mean-scaled index"
1995,"Index 18 (Region 1)",0.883131727989847,"geometric-mean-scaled index"
1996,"Index 18 (Region 1)",0.837306959406211,"geometric-mean-scaled index"
1997,"Index 18 (Region 1)",0.95208949005856,"geometric-mean-scaled index"
1998,"Index 18 (Region 1)",0.856547687420413,"geometric-mean-scaled index"
1999,"Index 18 (Region 1)",0.61266101448799,"geometric-mean-scaled index"
2000,"Index 18 (Region 1)",0.679263091965619,"geometric-mean-scaled index"
2001,"Index 18 (Region 1)",0.663388123597169,"geometric-mean-scaled index"
2002,"Index 18 (Region 1)",0.695863453728742,"geometric-mean-scaled index"
2003,"Index 18 (Region 1)",0.520428254256146,"geometric-mean-scaled index"
2004,"Index 18 (Region 1)",0.457969008695485,"geometric-mean-scaled index"
2005,"Index 18 (Region 1)",0.57000982730679,"geometric-mean-scaled index"
2006,"Index 18 (Region 1)",0.692547701969523,"geometric-mean-scaled index"
2007,"Index 18 (Region 1)",0.763296075617131,"geometric-mean-scaled index"
2008,"Index 18 (Region 1)",0.557991706511396,"geometric-mean-scaled index"
2009,"Index 18 (Region 1)",0.644374806432787,"geometric-mean-scaled index"
2010,"Index 18 (Region 1)",0.629833334064991,"geometric-mean-scaled index"
2011,"Index 18 (Region 1)",0.472776191924379,"geometric-mean-scaled index"
2012,"Index 18 (Region 1)",0.561037772817115,"geometric-mean-scaled index"
2013,"Index 18 (Region 1)",0.518607359493591,"geometric-mean-scaled index"
2014,"Index 18 (Region 1)",0.534249440170542,"geometric-mean-scaled index"
2015,"Index 18 (Region 1)",0.610459945494768,"geometric-mean-scaled index"
2016,"Index 18 (Region 1)",0.483833914957584,"geometric-mean-scaled index"
2017,"Index 18 (Region 1)",0.503585067785675,"geometric-mean-scaled index"
2018,"Index 18 (Region 1)",0.44199217333407,"geometric-mean-scaled index"
2019,"Index 18 (Region 1)",0.466975339471439,"geometric-mean-scaled index"
2020,"Index 18 (Region 1)",0.377731205082218,"geometric-mean-scaled index"
2021,"Index 18 (Region 1)",0.384903092509445,"geometric-mean-scaled index"
2022,"Index 18 (Region 1)",0.533173522636986,"geometric-mean-scaled index"
1992,"Index 19 (Region 1)",1.85927115000846,"geometric-mean-scaled index"
1993,"Index 19 (Region 1)",0.849266654622091,"geometric-mean-scaled index"
1994,"Index 19 (Region 1)",1.00123553533734,"geometric-mean-scaled index"
1995,"Index 19 (Region 1)",1.31046507492219,"geometric-mean-scaled index"
1996,"Index 19 (Region 1)",1.21306505673522,"geometric-mean-scaled index"
1997,"Index 19 (Region 1)",0.799390157141791,"geometric-mean-scaled index"
1998,"Index 19 (Region 1)",1.99291282185133,"geometric-mean-scaled index"
1999,"Index 19 (Region 1)",1.3696369541503,"geometric-mean-scaled index"
2000,"Index 19 (Region 1)",0.965612099781253,"geometric-mean-scaled index"
2001,"Index 19 (Region 1)",0.810369966030035,"geometric-mean-scaled index"
2002,"Index 19 (Region 1)",0.74171237247259,"geometric-mean-scaled index"
2003,"Index 19 (Region 1)",1.03600097632011,"geometric-mean-scaled index"
2004,"Index 19 (Region 1)",1.05045112419079,"geometric-mean-scaled index"
2005,"Index 19 (Region 1)",0.734713898314047,"geometric-mean-scaled index"
2006,"Index 19 (Region 1)",0.882670668461906,"geometric-mean-scaled index"
2007,"Index 19 (Region 1)",1.03363575876466,"geometric-mean-scaled index"
2008,"Index 19 (Region 1)",1.33647576097039,"geometric-mean-scaled index"
2009,"Index 19 (Region 1)",0.832547956398684,"geometric-mean-scaled index"
2010,"Index 19 (Region 1)",1.1710748925389,"geometric-mean-scaled index"
2011,"Index 19 (Region 1)",1.14908021933067,"geometric-mean-scaled index"
2012,"Index 19 (Region 1)",0.992144371207608,"geometric-mean-scaled index"
2013,"Index 19 (Region 1)",0.812541615693899,"geometric-mean-scaled index"
2014,"Index 19 (Region 1)",0.869128916645273,"geometric-mean-scaled index"
2015,"Index 19 (Region 1)",0.923487470227196,"geometric-mean-scaled index"
2016,"Index 19 (Region 1)",0.994049496935054,"geometric-mean-scaled index"
2017,"Index 19 (Region 1)",0.679637993540111,"geometric-mean-scaled index"
2018,"Index 19 (Region 1)",1.1614387047662,"geometric-mean-scaled index"
2019,"Index 19 (Region 1)",0.909406517143503,"geometric-mean-scaled index"
2020,"Index 19 (Region 1)",0.960523282163485,"geometric-mean-scaled index"
2021,"Index 19 (Region 1)",0.974737478989675,"geometric-mean-scaled index"
2022,"Index 19 (Region 1)",0.665420460916155,"geometric-mean-scaled index"
1954,"Index 20 (Region 2)",4.21096154805618,"geometric-mean-scaled index"
1955,"Index 20 (Region 2)",3.11733650195403,"geometric-mean-scaled index"
1956,"Index 20 (Region 2)",3.11471220345346,"geometric-mean-scaled index"
1957,"Index 20 (Region 2)",2.49122048423764,"geometric-mean-scaled index"
1958,"Index 20 (Region 2)",3.38277838084962,"geometric-mean-scaled index"
1959,"Index 20 (Region 2)",3.53910335426992,"geometric-mean-scaled index"
1960,"Index 20 (Region 2)",2.88806453309758,"geometric-mean-scaled index"
1961,"Index 20 (Region 2)",2.77519235560544,"geometric-mean-scaled index"
1962,"Index 20 (Region 2)",2.84542670742501,"geometric-mean-scaled index"
1963,"Index 20 (Region 2)",2.15624779216803,"geometric-mean-scaled index"
1964,"Index 20 (Region 2)",1.77294323917794,"geometric-mean-scaled index"
1965,"Index 20 (Region 2)",1.39305357413891,"geometric-mean-scaled index"
1966,"Index 20 (Region 2)",2.15604911541288,"geometric-mean-scaled index"
1967,"Index 20 (Region 2)",1.83466830687541,"geometric-mean-scaled index"
1968,"Index 20 (Region 2)",1.49027459282616,"geometric-mean-scaled index"
1969,"Index 20 (Region 2)",0.90397341842816,"geometric-mean-scaled index"
1970,"Index 20 (Region 2)",1.74296686069583,"geometric-mean-scaled index"
1971,"Index 20 (Region 2)",1.05128168838887,"geometric-mean-scaled index"
1972,"Index 20 (Region 2)",1.03629787461149,"geometric-mean-scaled index"
1973,"Index 20 (Region 2)",1.14631510743072,"geometric-mean-scaled index"
1974,"Index 20 (Region 2)",0.503606327140092,"geometric-mean-scaled index"
1975,"Index 20 (Region 2)",0.345168043176568,"geometric-mean-scaled index"
1976,"Index 20 (Region 2)",0.392881567888747,"geometric-mean-scaled index"
1977,"Index 20 (Region 2)",0.722292569399697,"geometric-mean-scaled index"
1978,"Index 20 (Region 2)",1.34450541165844,"geometric-mean-scaled index"
1979,"Index 20 (Region 2)",0.925834385511787,"geometric-mean-scaled index"
1980,"Index 20 (Region 2)",0.665679781043966,"geometric-mean-scaled index"
1981,"Index 20 (Region 2)",0.591226781169868,"geometric-mean-scaled index"
1982,"Index 20 (Region 2)",0.474104859767232,"geometric-mean-scaled index"
1983,"Index 20 (Region 2)",0.516419783951321,"geometric-mean-scaled index"
1984,"Index 20 (Region 2)",0.705603550009173,"geometric-mean-scaled index"
1985,"Index 20 (Region 2)",0.596630644214555,"geometric-mean-scaled index"
1986,"Index 20 (Region 2)",0.576521368772823,"geometric-mean-scaled index"
1987,"Index 20 (Region 2)",0.738069475063823,"geometric-mean-scaled index"
1988,"Index 20 (Region 2)",0.631881286279668,"geometric-mean-scaled index"
1989,"Index 20 (Region 2)",0.538572813890766,"geometric-mean-scaled index"
1990,"Index 20 (Region 2)",0.558798697122352,"geometric-mean-scaled index"
1991,"Index 20 (Region 2)",0.596239520556125,"geometric-mean-scaled index"
1992,"Index 20 (Region 2)",0.949703632796349,"geometric-mean-scaled index"
1993,"Index 20 (Region 2)",0.773853468646436,"geometric-mean-scaled index"
1994,"Index 20 (Region 2)",0.810781379423954,"geometric-mean-scaled index"
1995,"Index 20 (Region 2)",1.07726297359609,"geometric-mean-scaled index"
1996,"Index 20 (Region 2)",0.935003854840217,"geometric-mean-scaled index"
1997,"Index 20 (Region 2)",0.800397864000986,"geometric-mean-scaled index"
1998,"Index 20 (Region 2)",1.04349083940237,"geometric-mean-scaled index"
1999,"Index 20 (Region 2)",0.765213765192612,"geometric-mean-scaled index"
2000,"Index 20 (Region 2)",0.767097814359868,"geometric-mean-scaled index"
2001,"Index 20 (Region 2)",0.841773334723493,"geometric-mean-scaled index"
2002,"Index 20 (Region 2)",0.547333871289332,"geometric-mean-scaled index"
2003,"Index 20 (Region 2)",0.588325890023659,"geometric-mean-scaled index"
2004,"Index 20 (Region 2)",0.635814586790303,"geometric-mean-scaled index"
2005,"Index 20 (Region 2)",0.834789610625378,"geometric-mean-scaled index"
2006,"Index 20 (Region 2)",0.92372528101704,"geometric-mean-scaled index"
2007,"Index 20 (Region 2)",0.84623569961814,"geometric-mean-scaled index"
2008,"Index 20 (Region 2)",0.610796174186906,"geometric-mean-scaled index"
2009,"Index 20 (Region 2)",1.05927374250753,"geometric-mean-scaled index"
2010,"Index 20 (Region 2)",0.847323881897912,"geometric-mean-scaled index"
2011,"Index 20 (Region 2)",1.12583979197944,"geometric-mean-scaled index"
2012,"Index 20 (Region 2)",0.945525297290097,"geometric-mean-scaled index"
2013,"Index 20 (Region 2)",0.87877457395759,"geometric-mean-scaled index"
2014,"Index 20 (Region 2)",1.04373534993691,"geometric-mean-scaled index"
2015,"Index 20 (Region 2)",1.22377077691567,"geometric-mean-scaled index"
2016,"Index 20 (Region 2)",1.13572929605611,"geometric-mean-scaled index"
2017,"Index 20 (Region 2)",0.734357067400453,"geometric-mean-scaled index"
2018,"Index 20 (Region 2)",0.64550184014846,"geometric-mean-scaled index"
2019,"Index 20 (Region 2)",0.713722524698996,"geometric-mean-scaled index"
2020,"Index 20 (Region 2)",0.772716002092201,"geometric-mean-scaled index"
2021,"Index 20 (Region 2)",0.751048561936257,"geometric-mean-scaled index"
2022,"Index 20 (Region 2)",1.00202993070836,"geometric-mean-scaled index"
