"slot","id","kind","family","source","variant","feature","requirements","caption","status","reason","exported"
"tbl-open-science-resources","open-science-resources","table","table","resources","","","","Assessment resources and output provenance.","missing_data","Supply tables$resources",FALSE
"tbl-fisheries-definitions","fisheries-definitions","table","table","fisheries","","","","Fishery definitions and observation units.","missing_data","Supply tables$fisheries",FALSE
"tbl-dm-configuration","dm-configuration","table","table","composition_settings","","dm","","Dirichlet–multinomial composition settings.","missing_data","Supply tables$composition_settings",FALSE
"tbl-dm-groups","dm-groups","table","table","composition_groups","","dm","","Groups sharing composition-weight parameters.","missing_data","Supply tables$composition_groups",FALSE
"tbl-tag-definitions","tag-definitions","table","table","tag_definitions","","tagging","","Tag-release and reporting groups.","missing_data","Supply tables$tag_definitions",FALSE
"tbl-parameter-bounds","parameter-bounds","table","table","parameter_bounds","","","","Parameters on or near their declared bounds.","missing_data","Supply tables$parameter_bounds",FALSE
"tbl-parameter-correlations","parameter-correlations","table","table","parameter_correlations","","","","Parameter correlations from the supplied covariance estimate.","missing_data","Supply tables$parameter_correlations",FALSE
"tbl-manage-quant","manage-quant","table","table","management_summary","","","","Management quantities and supplied uncertainty summaries.","missing_data","Supply tables$management_summary",FALSE
"tbl-cmm-depletion","cmm-depletion","table","table","depletion_comparison","","","","Spawning-depletion comparisons for the declared reference periods.","missing_data","Supply tables$depletion_comparison",FALSE
"tbl-stock-status-refs","stock-status-refs","table","table","status_probabilities","","","","Stock-status probabilities for the declared reference points.","missing_data","Supply tables$status_probabilities",FALSE
"tbl-ref-points","ref-points","table","table","reference_points","","","","Model reference points and their definitions.","missing_data","Supply tables$reference_points",FALSE
"tbl-est-uncertainty","est-uncertainty","table","table","uncertainty_summary","","","","Comparison of supplied uncertainty summaries.","missing_data","Supply tables$uncertainty_summary",FALSE
"tbl-stock-projections","stock-projections","table","table","projection_summary","","","","Projected quantities by scenario and reporting period.","missing_data","Supply tables$projection_summary",FALSE
"fig-map-5regions","map-5regions","figure","regions","regions","","spatial","structure;region;polygon;longitude;latitude","Model regions.","missing_data","Supply tables$regions",FALSE
"fig-map-spatial-comparison","map-spatial-comparison","figure","regions","regions","comparison","spatial","structure;region;polygon;longitude;latitude","Comparison of model spatial structures.","missing_data","Supply tables$regions for comparison",FALSE
"fig-catch-hist-full","catch-hist-full","figure","stack","catch_history","overall","","time;metric;group;facet;value;unit;definition","Catch by fishing group.","missing_data","Supply tables$catch_history for overall",FALSE
"fig-catch-hist-regional","catch-hist-regional","figure","stack","catch_history","regional","","time;metric;group;facet;value;unit;definition","Catch by fishing group and region.","missing_data","Supply tables$catch_history for regional",FALSE
"fig-catch-map","catch-map","figure","spatial","spatial_catch","","spatial","longitude;latitude;group;value;unit","Spatial catch distribution by fishing group.","missing_data","Supply tables$spatial_catch",FALSE
"fig-data-coverage-tile","fig-data-coverage-tile","figure","core","model outputs","","","","Observation availability by series and year.","missing_data","Requires the corresponding model quantities or study collection",FALSE
"fig-catch-by-fishery-longline","catch-by-fishery-longline","figure","fit","catch_fits","longline","","time;observed;predicted;group;unit;gear_family","Observed and predicted catch for longline fisheries.","missing_data","Supply tables$catch_fits for longline",FALSE
