"Model","Label","Status","Passed","Failed","Unknown"
"diagnostic","Diagnostic model","passed",2,0,0
"jitter-001","Jitter 1","passed",2,0,0
"jitter-002","Jitter 2","passed",2,0,0
"jitter-003","Jitter 3","passed",2,0,0
"jitter-004","Jitter 4","passed",2,0,0
"jitter-005","Jitter 5","passed",2,0,0
"jitter-006","Jitter 6","passed",2,0,0
"jitter-007","Jitter 7","passed",2,0,0
"jitter-008","Jitter 8","passed",2,0,0
"jitter-009","Jitter 9","passed",2,0,0
"jitter-010","Jitter 10","passed",2,0,0
"jitter-011","Jitter 11","passed",2,0,0
"jitter-012","Jitter 12","passed",2,0,0
"jitter-013","Jitter 13","passed",2,0,0
"jitter-014","Jitter 14","passed",2,0,0
"jitter-015","Jitter 15","passed",2,0,0
"jitter-016","Jitter 16","passed",2,0,0
"jitter-017","Jitter 17","passed",2,0,0
"jitter-018","Jitter 18","passed",2,0,0
"jitter-019","Jitter 19","passed",2,0,0
"jitter-020","Jitter 20","passed",2,0,0
"jitter-021","Jitter 21","passed",2,0,0
"jitter-022","Jitter 22","passed",2,0,0
"jitter-023","Jitter 23","passed",2,0,0
"jitter-024","Jitter 24","passed",2,0,0
"jitter-025","Jitter 25","passed",2,0,0
"jitter-026","Jitter 26","passed",2,0,0
"jitter-027","Jitter 27","passed",2,0,0
"jitter-028","Jitter 28","passed",2,0,0
"jitter-029","Jitter 29","passed",2,0,0
"jitter-030","Jitter 30","passed",2,0,0
