"check","status","value","threshold","detail","model","label"
"catch_conditioning","passed",4.98242303796914e-05,0.001,"Maximum relative error of positive conditioned catches","reference","reference"
"refit_convergence","passed",0,0,"converged","reference","reference"
"refit_gradient","passed",2.24944743284919e-05,0.001,"Maximum absolute projected free gradient in the final phase","reference","reference"
"catch_conditioning","passed",0.000896599140755461,0.001,"Maximum relative error of positive conditioned catches","profile-1","profile-1"
"refit_convergence","passed",0,0,"converged","profile-1","profile-1"
"refit_gradient","passed",1.35643284253062e-06,0.001,"Maximum absolute projected free gradient in the final phase","profile-1","profile-1"
"profile_target","passed",0.000135599731952984,0.001,"Relative error from the effective native quantity target","profile-1","profile-1"
"catch_conditioning","passed",0.000196029950617738,0.001,"Maximum relative error of positive conditioned catches","profile-2","profile-2"
"refit_convergence","passed",0,0,"converged","profile-2","profile-2"
"refit_gradient","passed",2.7983411446948e-07,0.001,"Maximum absolute projected free gradient in the final phase","profile-2","profile-2"
"profile_target","passed",5.58059408126699e-05,0.001,"Relative error from the effective native quantity target","profile-2","profile-2"
"catch_conditioning","passed",4.98242710985641e-05,0.001,"Maximum relative error of positive conditioned catches","profile-3","profile-3"
"refit_convergence","passed",0,0,"converged","profile-3","profile-3"
"refit_gradient","passed",2.46545349014759e-07,0.001,"Maximum absolute projected free gradient in the final phase","profile-3","profile-3"
"profile_target","passed",3.26275673145915e-11,0.001,"Relative error from the effective native quantity target","profile-3","profile-3"
"catch_conditioning","passed",1.49940948194205e-05,0.001,"Maximum relative error of positive conditioned catches","profile-4","profile-4"
"refit_convergence","failed",3,0,"line search exceeded imax","profile-4","profile-4"
"refit_gradient","failed",0.00230541392705758,0.001,"Maximum absolute projected free gradient in the final phase","profile-4","profile-4"
"profile_target","passed",3.93770663651427e-05,0.001,"Relative error from the effective native quantity target","profile-4","profile-4"
"catch_conditioning","passed",5.2246861452776e-06,0.001,"Maximum relative error of positive conditioned catches","profile-5","profile-5"
"refit_convergence","passed",0,0,"converged","profile-5","profile-5"
"refit_gradient","passed",4.88477993889308e-07,0.001,"Maximum absolute projected free gradient in the final phase","profile-5","profile-5"
"profile_target","passed",6.73857072315265e-05,0.001,"Relative error from the effective native quantity target","profile-5","profile-5"
