"parameter","domain","group","component","x","target","requested_target","actual","target_tolerance","target_attained","relative_target_error","objective","penalty","penalty_weight","objective_basis","objective_with_penalty","unit","axis_label","axis_definition","profile_type","profile_id","converged","objective_label","objective_definition","component_id","parent_component_id","fishery","region","group_label","fishery_name"
"average_biomass","total","all","Total",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-41727.0363384063,0.00311412924226684,1e+06,"unpenalized",-41727.0332242771,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties",,,,,"all",
"average_biomass","total","all","CPUE",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-92.8519884508166,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","index",,,,"all",
"average_biomass","total","all","Length",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-42450.6941463815,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition",,,,"all",
"average_biomass","total","all","CAAL",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,783.239978662349,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length",,,,"all",
"average_biomass","total","all","Penalties",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,33.2698177628205,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties",,,,"all",
"average_biomass","index_region","index","Region 1",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-46.7575156698724,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","index/region/1","index",,"1","CPUE",
"average_biomass","index_region","index","Region 2",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-46.0944727809442,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","index/region/2","index",,"2","CPUE",
"average_biomass","length_region","length_composition","Region 1",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-36984.6451014732,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1","length_composition",,"1","Length",
"average_biomass","length_region","length_composition","Region 2",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-5466.04904490833,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/2","length_composition",,"2","Length",
"average_biomass","conditional_age_region","age_length","Region 1",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,783.239978662349,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","age_length/region/1","age_length",,"1","CAAL",
"average_biomass","penalties","penalties","Regional recruitment",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,0,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/no_penalty","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Movement",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,0,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/good_penalty","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Configured penalties",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,14.7605168395112,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/call_penalty_base","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Steepness",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,18.5092953371283,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/bh_steep_penalty","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Mean fishing mortality",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,0,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/fish_mortality_average_penalty","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Mortality bound",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,0,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/z_cutoff_penalty","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Parameter bounds",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,5.58618103156722e-06,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/parameter_bound_penalty","penalties",,,"Penalties",
"average_biomass","penalties","penalties","Static terms",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,0,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","penalties/static","penalties",,,"Penalties",
"average_biomass","index","index/region/1","18.L.INDEX.1abcd",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-36.8155263395573,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","index/region/1/fishery/18","index/region/1","18","1","Region 1",
"average_biomass","index","index/region/1","19.TR.INDEX.1ef",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-9.94198933031513,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","index/region/1/fishery/19","index/region/1","19","1","Region 1",
"average_biomass","index","index/region/2","20.L.INDEX.2abc",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-46.0944727809442,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","index/region/2/fishery/20","index/region/2","20","2","Region 2",
"average_biomass","length","length_composition/region/1","3.LL.DWFN.1c",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-8696.96443208298,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/3","length_composition/region/1","3","1","Region 1",
"average_biomass","length","length_composition/region/1","4.LL.DWFN.1d",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-4751.30846976023,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/4","length_composition/region/1","4","1","Region 1",
"average_biomass","length","length_composition/region/1","6.LL.PICT.1ab",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-8279.07174137156,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/6","length_composition/region/1","6","1","Region 1",
"average_biomass","length","length_composition/region/1","7.LL.AZ.1ab",734506.987566125,734466,734466,734506.987566125,734.466,TRUE,5.58059408126699e-05,-927.651645316761,,,"unpenalized",,"t","Average total biomass","Total biomass summed over regions and averaged across model periods in 1954-2022","quantity","average_biomass:FALSE:",TRUE,"NLL","MFCL fitting criterion, including robust composition terms and penalties","length_composition/region/1/fishery/7","length_composition/region/1","7","1","Region 1",
