"metric","x","value","group","x_unit","unit","definition","fishery","display_name","fishery_name","group_label"
"maturity",1,0.000617832463703172,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",2,0.000617819909779826,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",3,0.0062527349889161,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",4,0.266193636583093,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",5,0.72032903077441,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",6,0.942985198334564,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",7,0.99949996141633,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",8,0.996698371325518,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",9,0.977279305403015,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",10,0.956933869446899,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",11,0.939881938893879,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"maturity",12,0.926492381582499,"all","model age class","relative","Model reproductive coefficient at age",,"Reproductive coefficient",,"all"
"natural_mortality",1,0.678847893772411,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",2,0.553818535326457,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",3,0.473298459783727,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",4,0.401250454276449,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",5,0.351174850907857,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",6,0.33506878692078,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",7,0.324474274504896,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",8,0.317331050633563,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",9,0.312434306662769,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",10,0.30903927990422,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",11,0.306666890006541,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"natural_mortality",12,0.305000000114291,"all","model age class","per year","Annual instantaneous natural mortality at age",,,,"all"
"growth",1,45.53826,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",2,55.8189188609189,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",3,65.3151330794237,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",4,77.0430327432402,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",5,88.0289457150555,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",6,92.2603151763262,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",7,95.2727359795483,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",8,97.4173558665008,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",9,98.9441659504681,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",10,100.031141337895,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",11,100.804987086806,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"growth",12,101.355907788447,"all","model age class","cm","Mean length at the start of each model age class",,,,"all"
"weight_at_age",1,1.95664105615665,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",2,3.64832211847554,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",3,5.90058194640541,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",4,9.76113172595544,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",5,14.6479371101114,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",6,16.9183967719749,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",7,18.6739527304278,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",8,19.9972117867221,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",9,20.9775651740748,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",10,21.6953053290643,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",11,22.2164631586954,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"weight_at_age",12,22.5927010186601,"all","model age class","kg","Mean weight at the start of each model age class",,,,"all"
"selectivity",1,2.06115362243856e-09,"Fishery 1","model age class","relative selectivity","Fishery selectivity at age",1,,"1.LL.DWFN.1a","1.LL.DWFN.1a"
