"fishery","likelihood","divisor","record_cap","epsilon_scale","flag161","fishery_name"
3,"square_fita",51,1000,1,0,"3.LL.DWFN.1c"
4,"square_fita",164,1000,1,0,"4.LL.DWFN.1d"
6,"square_fita",89,1000,1,0,"6.LL.PICT.1ab"
7,"square_fita",29,1000,1,0,"7.LL.AZ.1ab"
8,"square_fita",372,1000,1,0,"8.LL.DWFN.1cd"
9,"square_fita",212,1000,1,0,"9.LL.PICT.1cd"
10,"square_fita",125,1000,1,0,"10.LL.AZ.1cd"
11,"square_fita",27,1000,1,0,"11.TR.ALL1c"
12,"square_fita",37,1000,1,0,"12.TR.All.1d"
13,"square_fita",358,1000,1,0,"13.DN.All.1cd"
14,"square_fita",123,1000,1,0,"14.LL.EPO.2a"
15,"square_fita",241,1000,1,0,"15.LL.EPO.2b"
16,"square_fita",450,1000,1,0,"16.LL.EPO.2c"
17,"square_fita",1,1000,1,0,"17.TR.EPO.2abc"
18,"square_fita",746,1000,1,0,"18.L.INDEX.1abcd"
19,"square_fita",55,1000,1,0,"19.TR.INDEX.1ef"
20,"square_fita",61,1000,1,0,"20.L.INDEX.2abc"
