"time","metric","group","value","unit","definition","initial_state","display_name","model","label"
1954.08333333333,"spawning_biomass","all",1951497.99045447,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1954.33333333333,"spawning_biomass","all",1767360.60666433,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1954.58333333333,"spawning_biomass","all",1599871.77743407,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1954.75,"spawning_biomass","all",1443058.50301936,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1954.83333333333,"spawning_biomass","all",1351889.29693683,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1955.08333333333,"spawning_biomass","all",1302662.81937848,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1955.33333333333,"spawning_biomass","all",1222141.60255806,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1955.58333333333,"spawning_biomass","all",1145866.799709,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1955.75,"spawning_biomass","all",1066637.60071627,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1955.83333333333,"spawning_biomass","all",999239.512926536,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1956.08333333333,"spawning_biomass","all",963015.457526758,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1956.33333333333,"spawning_biomass","all",903421.220681225,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1956.58333333333,"spawning_biomass","all",846592.755018849,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1956.75,"spawning_biomass","all",787775.868341891,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1956.83333333333,"spawning_biomass","all",737987.282605776,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1957.08333333333,"spawning_biomass","all",709209.819168659,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1957.33333333333,"spawning_biomass","all",663427.791813443,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1957.58333333333,"spawning_biomass","all",620704.348597867,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1957.75,"spawning_biomass","all",577345.888557288,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
1957.83333333333,"spawning_biomass","all",543863.943651801,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential","reference","reference"
