"time","metric","facet","value","unit","definition"
1954,"total_biomass","all",2629212.16744024,"t","Start-year biomass in the surplus-production demonstration"
1955,"total_biomass","all",2439243.59375858,"t","Start-year biomass in the surplus-production demonstration"
1956,"total_biomass","all",2373044.63759968,"t","Start-year biomass in the surplus-production demonstration"
1957,"total_biomass","all",2231631.75891703,"t","Start-year biomass in the surplus-production demonstration"
1958,"total_biomass","all",2088728.75589862,"t","Start-year biomass in the surplus-production demonstration"
1959,"total_biomass","all",1827103.4745734,"t","Start-year biomass in the surplus-production demonstration"
1960,"total_biomass","all",1592090.05023186,"t","Start-year biomass in the surplus-production demonstration"
1961,"total_biomass","all",1483463.06848343,"t","Start-year biomass in the surplus-production demonstration"
1962,"total_biomass","all",1463136.28663158,"t","Start-year biomass in the surplus-production demonstration"
1963,"total_biomass","all",1444839.26880619,"t","Start-year biomass in the surplus-production demonstration"
1964,"total_biomass","all",1283743.15173208,"t","Start-year biomass in the surplus-production demonstration"
1965,"total_biomass","all",1139397.3197234,"t","Start-year biomass in the surplus-production demonstration"
1966,"total_biomass","all",1079265.86847705,"t","Start-year biomass in the surplus-production demonstration"
1967,"total_biomass","all",981591.264136116,"t","Start-year biomass in the surplus-production demonstration"
1968,"total_biomass","all",893195.470846237,"t","Start-year biomass in the surplus-production demonstration"
1969,"total_biomass","all",816254.188036296,"t","Start-year biomass in the surplus-production demonstration"
1970,"total_biomass","all",745069.448665307,"t","Start-year biomass in the surplus-production demonstration"
1971,"total_biomass","all",680459.154042623,"t","Start-year biomass in the surplus-production demonstration"
1972,"total_biomass","all",647292.402968742,"t","Start-year biomass in the surplus-production demonstration"
1973,"total_biomass","all",698995.181257147,"t","Start-year biomass in the surplus-production demonstration"
1974,"total_biomass","all",788058.072154534,"t","Start-year biomass in the surplus-production demonstration"
1975,"total_biomass","all",771171.542876747,"t","Start-year biomass in the surplus-production demonstration"
1976,"total_biomass","all",731420.904722606,"t","Start-year biomass in the surplus-production demonstration"
1977,"total_biomass","all",691286.380094281,"t","Start-year biomass in the surplus-production demonstration"
1978,"total_biomass","all",654099.633256352,"t","Start-year biomass in the surplus-production demonstration"
1979,"total_biomass","all",646217.457369182,"t","Start-year biomass in the surplus-production demonstration"
1980,"total_biomass","all",668645.950750853,"t","Start-year biomass in the surplus-production demonstration"
