"Scenario","Quantity","Year","Median","Lower","Upper","Unit"
"Fixed catch","B/K",2052,0.9499,0.9473,0.952,"ratio"
"Fixed catch","Annual catch",2052,45150,45150,45150,"t"
"Fixed catch","Fishing mortality",2052,0.01518,0.01514,0.01522,"per year"
"Fixed catch","Total biomass",2052,2997000,2989000,3004000,"t"
"F = 0.08","B/K",2052,0.7427,0.7378,0.7519,"ratio"
"F = 0.08","Annual catch",2052,180200,179000,182400,"t"
"F = 0.08","Fishing mortality",2052,0.08,0.08,0.08,"per year"
"F = 0.08","Total biomass",2052,2343000,2328000,2372000,"t"
"F = 0.04","B/K",2052,0.8678,0.8609,0.8719,"ratio"
"F = 0.04","Annual catch",2052,107400,106500,107900,"t"
"F = 0.04","Fishing mortality",2052,0.04,0.04,0.04,"per year"
"F = 0.04","Total biomass",2052,2738000,2716000,2751000,"t"
