"time","control","target","achieved","unit","relative_error","catch_equation_error"
2023,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2024,"Catch",45145.9157404822,45145.9157404822,"t",0,1.61165356707099e-16
2025,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2026,"Catch",45145.9157404822,45145.9157404822,"t",0,1.61165356707099e-16
2027,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2028,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2029,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2030,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2031,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2032,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2033,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2034,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2035,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2036,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2037,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2038,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2039,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2040,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2041,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2042,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2043,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2044,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2045,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2046,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2047,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2048,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2049,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2050,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2051,"Catch",45145.9157404822,45145.9157404822,"t",0,0
2052,"Catch",45145.9157404822,45145.9157404822,"t",0,0
