"time","control","target","achieved","unit","relative_error","catch_equation_error"
2023,"F",0.08,0.08,"per year",0,0
2024,"F",0.08,0.08,"per year",0,0
2025,"F",0.08,0.08,"per year",0,0
2026,"F",0.08,0.08,"per year",0,0
2027,"F",0.08,0.08,"per year",0,0
2028,"F",0.08,0.08,"per year",0,0
2029,"F",0.08,0.08,"per year",0,0
2030,"F",0.08,0.08,"per year",0,0
2031,"F",0.08,0.08,"per year",1.38777878078145e-17,0
2032,"F",0.08,0.08,"per year",0,0
2033,"F",0.08,0.08,"per year",0,0
2034,"F",0.08,0.08,"per year",0,0
2035,"F",0.08,0.08,"per year",0,0
2036,"F",0.08,0.08,"per year",0,0
2037,"F",0.08,0.08,"per year",0,0
2038,"F",0.08,0.08,"per year",0,0
2039,"F",0.08,0.08,"per year",0,0
2040,"F",0.08,0.08,"per year",0,0
2041,"F",0.08,0.08,"per year",0,0
2042,"F",0.08,0.08,"per year",0,0
2043,"F",0.08,0.08,"per year",0,0
2044,"F",0.08,0.08,"per year",0,0
2045,"F",0.08,0.08,"per year",0,0
2046,"F",0.08,0.08,"per year",0,0
2047,"F",0.08,0.08,"per year",0,0
2048,"F",0.08,0.08,"per year",0,0
2049,"F",0.08,0.08,"per year",0,0
2050,"F",0.08,0.08,"per year",0,0
2051,"F",0.08,0.08,"per year",0,0
2052,"F",0.08,0.08,"per year",0,0
