"time","metric","group","value","unit","definition","model","label"
2023,"total_biomass","all",902918.314809643,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2023,"biomass_depletion","all",0.286181517918576,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2023,"fishing_mortality","all",0.0512932943875505,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2023,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2024,"total_biomass","all",1058707.07006399,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2024,"biomass_depletion","all",0.335559032719274,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2024,"fishing_mortality","all",0.0435783935800567,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2024,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2025,"total_biomass","all",1206514.10677325,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2025,"biomass_depletion","all",0.382406728054173,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2025,"fishing_mortality","all",0.0381365132133048,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2025,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2026,"total_biomass","all",1386690.45189504,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2026,"biomass_depletion","all",0.439513931545605,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2026,"fishing_mortality","all",0.0330983491609717,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2026,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2027,"total_biomass","all",1572395.33693485,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2027,"biomass_depletion","all",0.498373415303881,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2027,"fishing_mortality","all",0.0291317954271884,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2027,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2028,"total_biomass","all",1750870.31129958,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2028,"biomass_depletion","all",0.554941366398045,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2028,"fishing_mortality","all",0.0261230991187893,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2028,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2029,"total_biomass","all",1896263.81370409,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
2029,"biomass_depletion","all",0.601024087870356,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-1","fixed-catch 1"
2029,"fishing_mortality","all",0.0240958106397866,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-1","fixed-catch 1"
2029,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-1","fixed-catch 1"
2030,"total_biomass","all",2064439.74255233,"t","Illustrative surplus-production total_biomass","fixed-catch-1","fixed-catch 1"
