"Scenario","Quantity","Year","Median","Lower","Upper","Unit"
"fixed-catch","biomass depletion",2052,0.9499,0.9473,0.952,"ratio"
"fixed-catch","catch",2052,45150,45150,45150,"t"
"fixed-catch","fishing mortality",2052,0.01518,0.01514,0.01522,"per year"
"fixed-catch","total biomass",2052,2997000,2989000,3004000,"t"
"higher-F","biomass depletion",2052,0.7427,0.7378,0.7519,"ratio"
"higher-F","catch",2052,180200,179000,182400,"t"
"higher-F","fishing mortality",2052,0.08,0.08,0.08,"per year"
"higher-F","total biomass",2052,2343000,2328000,2372000,"t"
"lower-F","biomass depletion",2052,0.8678,0.8609,0.8719,"ratio"
"lower-F","catch",2052,107400,106500,107900,"t"
"lower-F","fishing mortality",2052,0.04,0.04,0.04,"per year"
"lower-F","total biomass",2052,2738000,2716000,2751000,"t"
